Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1152608,1682,67131,184,182769,902708,19940,,,,,North America
Europe,1356158,8778,133183,236,490179,732796,24163,,,,,Europe
Asia,510086,2758,18330,53,257400,234356,5778,,,,,Asia
South America,166468,654,8150,6,57298,101020,9748,,,,,South America
Oceania,8331,9,110,2,7035,1186,37,,,,,Australia/Oceania
Africa,38118,425,1594,2,12661,23863,122,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3232490,14306,228513,483,1007987,1995990,59792,415,29.3,,,All
USA,1064572,378,61669,13,147411,855492,18671,3216,186,6139911,18549,North America
Spain,236899,,24275,,132929,79695,7764,5067,519,1414477,30253,Europe
Italy,203591,,27682,,71252,104657,1795,3367,458,1910761,31603,Europe
France,166420,,24087,,48228,94105,4207,2550,369,463662,7103,Europe
UK,165221,,26097,,N/A,138780,1559,2434,384,818539,12058,Europe
Germany,161539,,6467,,123500,31572,2415,1928,77,2547052,30400,Europe
Turkey,117589,,3081,,44040,70468,1574,1394,37,991613,11757,Asia
Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,Europe
Iran,93657,,5957,,73791,13909,2965,1115,71,453386,5398,Asia
Brazil,79685,324,5513,2,34132,40040,8318,375,26,339552,1597,South America
Canada,51597,,2996,,20327,28274,557,1367,79,779613,20656,North America
Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,Europe
Netherlands,38802,,4711,,N/A,33841,804,2265,275,213372,12453,Europe
Peru,33931,,943,,10037,22951,623,1029,29,296262,8985,South America
India,33062,,1079,,8437,23546,,24,0.8,830201,602,Asia
Switzerland,29407,,1716,,22600,5091,167,3398,198,260500,30100,Europe
Ecuador,24675,,883,,1557,22235,146,1399,50,61529,3487,South America
Portugal,24505,,973,,1470,22062,169,2403,95,379551,37223,Europe
Saudi Arabia,21402,,157,,2953,18292,125,615,5,200000,5745,Asia
Sweden,20302,,2462,,1005,16835,479,2010,244,119500,11833,Europe
Ireland,20253,,1190,,13386,5677,129,4102,241,153954,31179,Europe
Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,North America
Singapore,16169,528,14,,1188,14967,22,2764,2,143919,24600,Asia
Israel,15870,36,219,4,8412,7239,117,1834,25,364467,42108,Asia
Pakistan,15759,234,346,3,4052,11361,111,71,2,174160,788,Asia
Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,Europe
Chile,15135,250,216,,8057,6862,377,792,11,172619,9030,South America
Japan,13965,70,425,12,2368,11172,306,110,3,164255,1299,Asia
Belarus,13181,,84,,2072,11025,92,1395,9,168986,17883,Europe
Poland,12781,141,628,4,3236,8917,160,338,17,324527,8575,Europe
Qatar,12564,,10,,1243,11311,72,4361,3,91415,31730,Asia
Romania,11978,,695,2,3569,7714,247,623,36,166993,8681,Europe
UAE,11929,,98,,2329,9502,1,1206,10,1122000,113443,Asia
S. Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091,Asia
Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558,Europe
Indonesia,10118,347,792,8,1522,7804,,37,3,94599,346,Asia
Denmark,9158,150,443,,6366,2349,66,1581,76,193165,33349,Europe
Serbia,8724,,173,,1292,7259,78,998,20,78942,9035,Europe
Philippines,8488,276,568,10,1043,6877,31,77,5,98941,903,Asia
Norway,7710,,207,,32,7471,40,1422,38,169124,31197,Europe
Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393,Asia
Czechia,7581,2,227,,3120,4234,68,708,21,242088,22606,Europe
Australia,6753,7,91,2,5715,947,34,265,4,563641,22104,Australia/Oceania
Dominican Republic,6652,,293,,1228,5131,144,613,27,25368,2339,North America
Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915,North America
Colombia,6211,4,278,,1411,4522,118,122,5,95085,1869,South America
