State,Confirmed,Deaths
Baden-Wrttemberg,46935,0
Bayern,64625,0
Berlin,13065,0
Brandenburg,4088,0
Bremen,2215,0
Hamburg,7150,0
Hessen,17586,0
"Mecklenburg-
Vorpommern",1105,0
Niedersachsen,18791,0
Nordrhein-Westfalen,65078,0
Rheinland-Pfalz,10085,0
Saarland,3232,0
Sachsen,6679,0
Sachsen-Anhalt,2443,0
Schleswig-Holstein,4405,0
Thringen,3933,0
