State,Confirmed,Deaths
Baden-Wrttemberg,46779,0
Bayern,64395,0
Berlin,12919,0
Brandenburg,4079,0
Bremen,2191,0
Hamburg,7075,0
Hessen,17516,0
"Mecklenburg-
Vorpommern",1105,0
Niedersachsen,18701,0
Nordrhein-Westfalen,64692,0
Rheinland-Pfalz,10037,0
Saarland,3227,0
Sachsen,6658,0
Sachsen-Anhalt,2393,0
Schleswig-Holstein,4384,0
Thringen,3919,0
