State,Confirmed,Deaths
Baden-Wrttemberg,34466,0
Bayern,46456,0
Berlin,6652,0
Branden-burg,3236,0
Bremen,1313,0
Hamburg,5069,0
Hessen,9804,0
"Meck-lenburg-
Vorpommern",760,0
Nieder-sachsen,11646,0
Nord-rhein-Westfalen,37395,0
Rheinland-Pfalz,6600,0
Saarland,2727,0
Sachsen,5236,0
Sachsen-Anhalt,1698,0
Schleswig-Holstein,3067,0
Thringen,2877,0
