#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,97838055,271,1456591,12,93901133,535,2480331,6961,,,,,,North America,,,,,,
,Asia,147085165,91392,1419918,343,125234604,76648,20430643,12963,,,,,,Asia,,,,,,
,South America,56671850,,1293076,,52752995,,2625779,10915,,,,,,South America,,,,,,
,Europe,189248566,16845,1809920,241,173153735,375965,14284911,10464,,,,,,Europe,,,,,,
,Oceania,6901309,35842,10323,25,6383027,6287,507959,166,,,,,,Australia/Oceania,,,,,,
,Africa,11868031,,253705,,11082431,,531895,957,,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,509613697,144350,6243548,621,462508631,459435,40861518,42426,65379,801.0,,,,All,,,,,,
1,USA,82662748,,1018335,,80465351,,1179062,1426,247115,3044,1000463737,2990818,334511757,North America,4,328,0,,,3525
2,India,43060086,,522223,,42521341,,16522,698,30658,372,834717702,594303,1404532227,Asia,33,2690,2,,,12
3,Brazil,30349463,,662701,,29384354,,302408,8318,140969,3078,63776166,296232,215291063,South America,7,325,3,,,1405
4,France,28303931,,145060,,25880440,,2278431,1677,431893,2213,266484045,4066309,65534632,Europe,2,452,0,,,34767
5,Germany,24140700,,134646,,21425200,182200,2580854,1980,286474,1598,122332384,1451701,84268279,Europe,3,626,1,,,30627
6,UK,21933206,,173352,,20875063,92713,884791,339,320049,2530,514985782,7514671,68530719,Europe,3,395,0,,,12911
7,Russia,18144788,7651,375061,159,17483483,8855,286244,2300,124239,2568,273400000,1871993,146047589,Europe,8,389,1,52,1,1960
8,S. Korea,16929564,34370,22243,110,N/A,N/A,N/A,668,329696,433,15804065,307778,51348952,Asia,3,2309,3,669,2,310382
9,Italy,16136057,,162688,,14729220,,1244149,416,267591,2698,211691841,3510580,60301104,Europe,4,371,0,,,20632
10,Turkey,15018547,,98691,,14870422,,49434,975,174676,1148,158238176,1840414,85979686,Asia,6,871,1,,,575
11,Spain,11786036,,103908,,11261340,,420788,339,251906,2221,471036328,10067564,46787517,Europe,4,450,0,,,8994
12,Vietnam,10563502,,43013,,9086075,,1434414,612,106786,435,85789114,867241,98921912,Asia,9,2300,1,,,14500
13,Argentina,9060923,,128344,,8895999,,36580,412,197210,2793,35716069,777357,45945534,South America,5,358,1,,,796
14,Netherlands,8035603,,22206,,7678509,34989,334888,94,467094,1291,21107399,1226931,17203414,Europe,2,775,1,,,19466
15,Japan,7660012,38450,29308,24,7178748,43345,451956,191,60902,233,46754605,371728,125776552,Asia,16,4292,3,306,0.2,3593
16,Iran,7216040,,140975,,6966954,,108111,1046,83970,1640,50811054,591264,85936350,Asia,12,610,2,,,1258
17,Colombia,6091343,,139778,,5924745,,26820,342,117450,2695,34371690,662736,51863331,South America,9,371,2,,,517
18,Indonesia,6044467,317,156133,33,5875083,4664,13251,2771,21684,560,95024563,340892,278752361,Asia,46,1785,3,1,0.1,48
19,Poland,5991464,267,115948,,5334398,24,541118,1588,158623,3070,36032893,953966,37771676,Europe,6,326,1,7,,14326
20,Mexico,5733785,271,324129,12,5034427,535,375229,4798,43642,2467,15766174,120003,131381631,North America,23,405,8,2,0.09,2856
21,Australia,5719465,30088,7006,17,5313222,,399237,132,219686,269,68886938,2645963,26034737,Australia/Oceania,5,3716,0,1156,0.7,15335
