State,Confirmed,Deaths
Baden-Wrttemberg,60721,0
Bayern,80880,0
Berlin,21905,0
Brandenburg,5574,0
Bremen,3630,0
Hamburg,10003,0
Hessen,26558,0
"Mecklenburg-
Vorpommern",1719,0
Niedersachsen,26356,0
Nordrhein-Westfalen,92694,0
Rheinland-Pfalz,13957,0
Saarland,4437,0
Sachsen,10520,0
Sachsen-Anhalt,3334,0
Schleswig-Holstein,5879,0
Thringen,5000,0
