#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,29352851,147503,619870,3220,18248574,86322,10484407,34620,,,,,,North America,,,
,Asia,22571056,67183,364479,986,21007285,80521,1199292,23720,,,,,,Asia,,,
,South America,15278004,53301,401851,1218,13428491,55603,1447662,19515,,,,,,South America,,,
,Europe,29020019,138837,665233,2901,16080345,97759,12274441,30093,,,,,,Europe,,,
,Africa,3452279,17800,85263,622,2903163,23999,463853,2785,,,,,,Africa,,,
,Oceania,49864,12,1073,,33913,12,14878,12,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,99724794,424636,2137784,8947,71702477,344216,25884533,110745,12794,274.3,,,,All,,,
1,USA,25686142,119199,429257,1611,15395778,64731,9861107,26892,77345,1293,298852182,899892,332097997,North America,13,774,1
2,India,10668356,12921,153503,127,10328738,12642,186115,8944,7688,111,191766871,138196,1387641848,Asia,130,9040,7
3,Brazil,8844577,28323,217037,562,7653770,25332,973770,8318,41444,1017,28600000,134013,213411432,South America,24,983,7
4,Russia,3719400,21127,69462,491,3131760,22445,518178,2300,25481,476,99300000,680277,145969890,Europe,39,2101,1
5,UK,3647463,30004,97939,610,1631400,15093,1918124,4076,53570,1438,67231066,987424,68087328,Europe,19,695,1
6,France,3053617,18436,73049,172,216965,240,2763603,2965,46723,1118,41889101,640945,65355200,Europe,21,895,2
7,Spain,2603472,,55441,,N/A,N/A,N/A,3908,55671,1186,30165217,645038,46765031,Europe,18,844,2
8,Italy,2466813,11629,85461,299,1882074,10885,499278,2400,40834,1415,30934035,512056,60411435,Europe,24,707,2
9,Turkey,2429605,5277,25073,140,2307721,5860,96811,1905,28634,295,28497084,335854,84849626,Asia,35,3384,3
10,Germany,2147740,10051,52777,241,1807500,12100,287463,4787,25588,629,37449922,446176,83935370,Europe,39,1590,2
11,Colombia,2013014,10045,51374,392,1832168,9859,129472,3482,39326,1004,9627333,188078,51188022,South America,25,996,5
12,Argentina,1867223,5031,46827,90,1656149,9481,164247,3619,41102,1031,5882914,129496,45429329,South America,24,970,8
13,Mexico,1752347,20057,149084,1470,1306138,14198,297125,5652,13511,1149,4404916,33964,129694962,North America,74,870,29
14,Poland,1475445,4683,35363,110,1230446,7664,209636,1482,39009,935,8328586,220198,37823122,Europe,26,1070,5
15,South Africa,1412986,8147,40874,300,1230520,13028,141592,546,23657,684,7993126,133824,59728863,Africa,42,1461,7
16,Iran,1372977,5945,57383,89,1164794,6319,150800,4090,16230,678,8634553,102067,84596958,Asia,62,1474,10
17,Ukraine,1191812,3915,21861,83,947514,5407,222437,177,27345,502,6057828,138991,43584462,Europe,37,1994,7
18,Peru,1093938,,39608,,1007748,,46582,1779,32920,1192,6060702,182388,33229711,South America,30,839,5
19,Indonesia,989262,11788,27835,171,798810,7751,162617,,3595,101,8754507,31817,275150984,Asia,278,9885,31
20,Netherlands,948933,4891,13540,30,N/A,N/A,N/A,680,55311,789,6970400,406288,17156315,Europe,18,1267,2
21,Czechia,937617,4222,15369,52,814903,332,107345,1046,87462,1434,5797458,540797,10720220,Europe,11,698,2
22,Canada,746920,4389,19070,96,663966,4982,63884,868,19693,503,16996450,448117,37928559,North America,51,1989,2
23,Romania,711010,1816,17776,54,653125,2936,40109,1020,37100,928,5300790,276591,19164741,Europe,27,1078,4
24,Chile,699110,4463,17933,79,654101,4299,27076,1263,36396,934,7651856,398355,19208645,South America,27,1071,3
25,Belgium,691854,2583,20726,51,47963,143,623165,327,59550,1784,7869430,677341,11618113,Europe,17,561,1
