Bundesland,Fälle
Baden-Württemberg,182
Bayern,172
Berlin,40
Brandenburg,4
Bremen,4
Hamburg,13
Hessen,19
Mecklenburg-Vorpommern,8
Niedersachsen,21
Nordrhein-Westfalen,398
Rheinland-Pfalz,19
Saarland,4
Sachsen,7
Schleswig Holstein,9
Thüringen,2
Gesamt,902
