Bundesland,Fälle
Baden-Wrttemberg,15
Bayern,23
Bremen,1
Hamburg,1
Hessen,8
Niedersachsen,1
Nordrhein-Westfalen,74
Rheinland-Pfalz,2
Schleswig-Holstein,2
Repatriierte,2
Gesamt,129
