#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,15285192,167529,398887,2934,9359462,90627,5526843,27779,,,,,,North America,,,
,Asia,16098425,108006,283312,1767,14427723,86922,1387390,26466,,,,,,Asia,,,
,South America,10855352,58775,320116,873,9725101,11510,810135,17071,,,,,,South America,,,
,Europe,16256571,216146,371148,5469,6548757,144492,9336666,29725,,,,,,Europe,,,
,Africa,2119814,14293,50727,309,1791163,9339,277924,2549,,,,,,Africa,,,
,Oceania,44136,17,1011,,32995,3,10130,22,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,60660211,564766,1425216,11352,41885860,342893,17349135,103616,7782,182.8,,,,All,,,
1,USA,13107884,150825,267930,2011,7716502,79436,5123452,23734,39508,808,185704305,559721,331780397,North America,25,1238,2
2,India,9266697,44699,135261,518,8677986,36582,453450,8944,6689,98,134841307,97329,1385419430,Asia,150,10243,10
3,Brazil,6166606,45157,170769,590,5476018,,519819,8318,28929,801,21900000,102738,213164112,South America,35,1248,10
4,France,2170097,16282,50618,381,156552,1873,1962927,4148,33217,775,20098815,307643,65331590,Europe,30,1291,3
5,Russia,2162503,23675,37538,507,1660419,25748,464546,2300,14816,257,73700000,504934,145959667,Europe,67,3888,2
6,Spain,1622632,8506,44037,369,N/A,N/A,N/A,2838,34700,942,21917246,468697,46762073,Europe,29,1062,2
7,UK,1557007,18213,56533,696,N/A,N/A,N/A,1489,22887,831,41858783,615308,68028987,Europe,44,1203,2
8,Italy,1480874,25853,52028,722,637149,31819,791697,3848,24507,861,20956187,346808,60425953,Europe,41,1161,3
9,Argentina,1381795,,37432,,1210634,,133729,4148,30462,825,3712880,81851,45361407,South America,33,1212,12
10,Colombia,1270991,8497,35860,183,1174959,7102,60172,2376,24873,702,6186303,121065,51099166,South America,40,1425,8
11,Mexico,1060152,10794,102739,813,791516,6823,165897,2852,8188,794,2742996,21186,129473032,North America,122,1260,47
12,Germany,983731,20825,15381,416,656400,19800,311950,3781,11726,183,26456866,315370,83891567,Europe,85,5454,3
13,Peru,954459,2020,35727,42,884747,2147,33985,985,28788,1078,4982778,150290,33154396,South America,35,928,7
14,Poland,924422,15362,14988,674,469527,14810,439907,2073,24436,396,6053471,160018,37829891,Europe,41,2524,6
15,Iran,894385,13843,46207,469,625606,7891,222572,5832,10594,547,5913229,70045,84420722,Asia,94,1827,14
16,South Africa,775502,3250,21201,118,716444,,37857,546,13010,356,5355068,89841,59606287,Africa,77,2811,11
17,Ukraine,661858,13882,11492,229,307778,8420,342588,177,15171,263,4243600,97269,43627308,Europe,66,3796,10
18,Belgium,561803,1901,15938,183,36569,525,509296,1106,48390,1373,5720922,492764,11609863,Europe,21,728,2
19,Chile,544092,1005,15138,7,520180,1346,8774,540,28365,789,5138616,267891,19181775,South America,35,1267,4
20,Iraq,542187,2438,12086,55,472054,2270,58047,354,13362,298,3347344,82492,40577952,Asia,75,3357,12
21,Indonesia,511836,5534,16225,114,429807,4494,65804,,1863,59,5465921,19899,274677118,Asia,537,16929,50
22,Czechia,505215,2681,7611,112,417657,825,79947,839,47142,710,2976646,277751,10716973,Europe,21,1408,4
23,Netherlands,498653,4909,9109,74,N/A,N/A,N/A,548,29076,531,3893908,227048,17150117,Europe,34,1883,4
24,Turkey,467730,6814,12840,168,385480,3911,69410,4641,5522,152,17733520,209366,84700933,Asia,181,6597,5
25,Bangladesh,454146,2156,6487,39,369179,2302,78480,,2747,39,2696150,16306,165344147,Asia,364,25489,61
26,Romania,440344,9739,10541,168,313885,9697,115918,1205,22952,549,3974996,207186,19185664,Europe,44,1820,5
27,Philippines,422915,1202,8215,31,386955,183,27745,1449,3839,75,5586757,50714,110161110,Asia,260,13410,20
28,Pakistan,382892,3009,7803,59,332974,1214,42115,1867,1720,35,5297703,23801,222587064,Asia,581,28526,42
29,Saudi Arabia,356067,326,5825,14,344787,476,5455,724,10165,166,9401613,268395,35028978,Asia,98,6014,4
30,Canada,345461,3017,11689,71,276136,2745,57636,431,9121,309,11027292,291154,37874369,North America,110,3240,3
31,Morocco,336506,4979,5539,70,284496,5220,46471,1023,9074,149,3854502,103937,37084810,Africa,110,6695,10
32,Israel,331915,980,2826,4,319921,835,9168,285,36087,307,5491982,597111,9197590,Asia,28,3255,2
33,Switzerland,309469,4876,4393,85,211500,,93576,519,35653,506,2623342,302230,8679947,Europe,28,1976,3
34,Portugal,274011,5290,4127,71,189356,5123,80528,517,26904,405,4351221,427231,10184697,Europe,37,2468,2
35,Austria,260512,5802,2667,90,189059,6439,68786,709,28859,295,2960496,327960,9026992,Europe,35,3385,3
36,Sweden,230514,,6555,14,N/A,N/A,N/A,192,22768,647,2914088,287826,10124489,Europe,44,1545,3
37,Nepal,226026,1948,1389,28,207998,3140,16639,,7703,47,1690509,57610,29344192,Asia,130,21126,17
38,Jordan,198021,5025,2442,62,131181,5748,64398,472,19331,238,2435340,237744,10243557,Asia,52,4195,4
39,Ecuador,187230,794,13288,24,164009,,9933,367,10549,749,626364,35289,17749389,South America,95,1336,28
40,Hungary,185687,3806,4114,106,44020,,137553,656,19241,426,1548318,160440,9650444,Europe,52,2346,6
