#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,11584101,29388,357035,877,7643508,13796,3583558,21519,,,,,,North America,,,
,Asia,14027979,86811,248724,1330,12516972,83914,1262283,22470,,,,,,Asia,,,
,South America,9786924,9072,297717,268,8771629,1800,717578,17981,,,,,,South America,,,
,Europe,10928906,224726,278594,4632,4053439,62302,6596873,24222,,,,,,Europe,,,
,Africa,1836093,11081,43938,161,1496403,7251,295752,2419,,,,,,Africa,,,
,Oceania,39215,20,979,,32753,20,5483,27,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,48203939,361098,1227002,7268,34515363,169083,12461574,88642,6184,157.4,,,,All,,,
1,USA,9712917,20389,238939,298,6240738,4568,3233240,17834,29285,720,150970880,455185,331669237,North America,34,1388,2
2,India,8353493,40546,123961,311,7698482,43725,531050,8944,6033,90,112998959,81609,1384641584,Asia,166,11170,12
3,Brazil,5575289,8163,160785,237,5028216,,386288,8318,26166,755,21900000,102779,213077550,South America,38,1325,10
4,Russia,1693454,19768,29217,389,1266931,15567,397306,2300,11602,200,62446013,427841,145956088,Europe,86,4996,2
5,France,1502763,,38289,,120714,,1343760,3878,23005,586,16718098,255928,65323327,Europe,43,1706,4
6,Spain,1356798,25042,38118,1623,N/A,N/A,N/A,2786,29016,815,18072174,386479,46761037,Europe,34,1227,3
7,Argentina,1195276,,32052,,1009278,,153946,4854,26364,707,3078312,67897,45337635,South America,38,1415,15
8,Colombia,1099392,,31847,,993877,,73668,2376,21528,624,5164329,101126,51068066,South America,46,1604,10
9,UK,1099059,25177,47742,492,N/A,N/A,N/A,1142,16161,702,34920908,513478,68008568,Europe,62,1425,2
10,Mexico,938405,5250,92593,493,693227,5807,152585,2838,7252,716,2425553,18745,129395356,North America,138,1397,53
11,Peru,908902,,34623,,832929,,41350,1023,27436,1045,4568349,137900,33128036,South America,36,957,7
12,Italy,790377,30550,39764,352,307378,5103,443235,2292,13079,658,16497767,273002,60431034,Europe,76,1520,4
13,South Africa,728836,,19539,,659259,,50038,546,12236,328,4868610,81738,59563386,Africa,82,3048,12
14,Iran,646164,8452,36579,419,500400,4927,109185,5426,7660,434,5073034,60136,84359039,Asia,131,2306,17
15,Germany,587029,9898,10966,83,371500,,204563,2388,6999,131,21882967,260896,83876235,Europe,143,7649,4
16,Chile,515042,840,14340,21,492149,1329,8553,733,26864,748,4427858,230950,19172370,South America,37,1337,4
17,Iraq,485870,3574,11128,60,417235,8479,57507,430,11989,275,2931341,72332,40526039,Asia,83,3642,14
18,Belgium,453310,5955,12126,268,26661,662,414523,1351,39055,1045,5068561,436682,11606976,Europe,26,957,2
19,Poland,439536,24692,6475,373,168960,8974,264101,1625,11618,171,4963261,131191,37832261,Europe,86,5843,8
20,Indonesia,421731,3356,14259,113,353282,3785,54190,,1536,52,4638515,16897,274511265,Asia,651,19252,59
21,Ukraine,420617,9524,7731,199,176404,7536,236482,177,9638,177,3312549,75902,43642304,Europe,104,5645,13
22,Bangladesh,414164,1517,6004,21,331697,1910,76463,,2506,36,2389677,14461,165250077,Asia,399,27523,69
23,Philippines,388137,987,7367,49,349091,140,31679,1483,3526,67,4902459,44536,110077417,Asia,284,14942,22
24,Turkey,384509,2391,10558,77,330665,1841,43286,2464,4542,125,14554923,171945,84648891,Asia,220,8018,6
25,Netherlands,383523,7633,7682,106,N/A,N/A,N/A,634,22366,448,3327701,194058,17147948,Europe,45,2232,5
26,Czechia,370285,7300,4089,176,185866,686,180330,1156,34555,382,2422416,226059,10715836,Europe,29,2621,4
27,Saudi Arabia,348936,426,5471,15,335594,441,7871,736,9970,156,8215017,234729,34997849,Asia,100,6397,4
28,Pakistan,337573,1313,6867,18,316060,614,14646,747,1518,31,4541392,20425,222340560,Asia,659,32378,49
29,Israel,317206,678,2597,5,304970,901,9639,364,34488,282,4680374,508870,9197590,Asia,29,3542,2
30,Romania,267088,8651,7419,146,186260,5085,73409,1001,13916,387,3341867,174119,19192987,Europe,72,2587,6
31,Canada,246956,2021,10328,49,205242,1733,31386,218,6524,273,9753158,257642,37855403,North America,153,3665,4
32,Morocco,235310,5745,3982,82,193886,3977,37442,886,6349,107,3410053,92015,37059715,Africa,157,9307,11
33,Switzerland,192376,10073,2500,29,87100,3700,102776,314,22173,288,2080775,239822,8676320,Europe,45,3471,4
