#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,2485857,5156,145272,293,1075538,3366,1265047,19419,,,,,,North America,,,
,South America,1426387,691,60484,27,771342,16749,594561,12074,,,,,,South America,,,
,Europe,2215498,9650,183059,191,1173056,5390,859383,6599,,,,,,Europe,,,
,Asia,1630652,13690,40491,243,995609,5135,594552,15853,,,,,,Asia,,,
,Africa,246068,1490,6560,70,113077,834,126431,518,,,,,,Africa,,,
,Oceania,8946,15,124,,8439,13,383,4,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,8014129,30692,436005,824,4137712,31487,3440412,54471,1028,55.9,,,,All,,,
1,USA,2162228,,117858,,870050,,1174320,16704,6534,356,24794617,74927,330917584,North America,153,2808,13
2,Brazil,867882,,43389,,453568,16056,370925,8318,4084,204,1604784,7552,212492226,South America,245,4897,132
3,Russia,537210,8246,7091,143,284539,4489,245580,2300,3681,49,15161152,103892,145931893,Europe,272,20580,10
4,India,333255,472,9524,4,169817,128,153914,8944,242,7,5774133,4186,1379381861,Asia,4139,144832,239
5,UK,295889,,41698,,N/A,N/A,N/A,392,4360,614,6772602,99787,67870494,Europe,229,1628,10
6,Spain,291008,,27136,,N/A,N/A,N/A,617,6224,580,4826516,103232,46754035,Europe,161,1723,10
7,Italy,236989,,34345,,176370,,26274,209,3919,568,4620718,76419,60465391,Europe,255,1761,13
8,Peru,229736,,6688,,115579,,107469,1113,6972,203,1360839,41300,32949791,South America,143,4927,24
9,Germany,187671,,8870,,172600,400,6201,447,2240,106,4694147,56034,83772567,Europe,446,9444,18
10,Iran,187427,,8837,,148674,,29916,2781,2233,105,1244074,14821,83941948,Asia,448,9499,67
11,Turkey,178239,,4807,,151417,,22015,717,2114,57,2632171,31225,84296986,Asia,473,17536,32
12,Chile,174293,,3323,,143704,,27266,1715,9121,174,840150,43967,19108779,South America,110,5750,23
13,France,157220,,29407,,72859,,54954,869,2409,451,1384633,21215,65267451,Europe,415,2219,47
14,Mexico,146837,4147,17141,269,108110,3135,21586,378,1139,133,406547,3155,128870121,North America,878,7518,317
15,Pakistan,144478,5248,2729,97,53721,1986,88028,111,655,12,897650,4068,220673722,Asia,1527,80862,246
16,Saudi Arabia,127541,,972,,84720,,41849,1855,3666,28,1106398,31805,34787354,Asia,273,35789,31
17,Canada,98787,,8146,,60272,,30369,1937,2618,216,2152700,57060,37727154,North America,382,4631,18
18,Bangladesh,90619,3099,1209,38,18730,,70680,1,550,7,516503,3138,164613988,Asia,1817,136157,319
19,Qatar,79602,,73,,56898,,22631,231,28350,26,290714,103538,2807805,Asia,35,38463,10
20,South Africa,70038,,1480,,38531,,30027,208,1182,25,1121958,18929,59273292,Africa,846,40050,53
21,Belgium,60100,71,9661,6,16610,21,33829,84,5187,834,1036321,89435,11587452,Europe,193,1199,11
22,Belarus,53973,,308,,30103,,23562,92,5712,33,733788,77654,9449449,Europe,175,30680,13
23,Sweden,51614,,4874,,N/A,N/A,N/A,272,5112,483,325000,32189,10096493,Europe,196,2072,31
24,Colombia,50939,,1667,,19822,,29450,335,1002,33,495024,9733,50857772,South America,998,30509,103
25,Netherlands,48783,,6059,,N/A,N/A,N/A,77,2847,354,455067,26560,17133281,Europe,351,2828,38
26,Ecuador,46751,,3896,,23064,,19791,230,2652,221,134141,7609,17630006,South America,377,4525,131
27,Egypt,44598,,1575,,11931,,31092,41,436,15,135000,1320,102236605,Africa,2292,64912,757
28,UAE,42294,,289,,27462,,14543,1,4279,29,2626000,265661,9884778,Asia,234,34203,4
29,Singapore,40818,214,26,,29589,,11203,2,6979,4,488695,83562,5848278,Asia,143,224934,12
30,Indonesia,39294,1017,2198,64,15123,592,21973,,144,8,523063,1913,273389783,Asia,6958,124381,523
31,Portugal,36690,,1517,,22669,,12504,73,3598,149,975737,95680,10197880,Europe,278,6722,10
32,Kuwait,35920,,296,,26759,,8865,171,8417,69,334612,78409,4267508,Asia,119,14417,13
33,Ukraine,31810,656,901,12,14253,171,16656,314,727,21,497284,11368,43743705,Europe,1375,48550,88
34,Argentina,31577,,833,,9564,,21180,274,699,18,234370,5188,45176887,South America,1431,54234,193
35,Switzerland,31117,,1938,,28800,,379,15,3597,224,458933,53045,8651801,Europe,278,4464,19
36,Poland,29788,396,1256,9,14383,157,14149,78,787,33,1188742,31408,37848281,Europe,1271,30134,32
37,Philippines,26420,490,1098,10,6252,298,19070,417,241,10,507767,4637,109511495,Asia,4145,99737,216
38,Afghanistan,25527,761,476,5,5164,439,19887,19,657,12,57532,1480,38882182,Asia,1523,81685,676
39,Ireland,25303,,1706,,22698,,899,28,5127,346,367780,74522,4935217,Europe,195,2893,13
40,Oman,24524,1043,108,4,9533,1079,14883,104,4809,21,143043,28050,5099579,Asia,208,47218,36
41,Dominican Republic,22962,,592,,13320,,9050,124,2118,55,107175,9884,10842908,North America,472,18316,101
42,Romania,22165,166,1427,17,15817,98,4921,175,1152,74,564278,29325,19242506,Europe,868,13485,34
43,Panama,20686,,437,,13766,,6483,102,4798,101,91637,21254,4311439,North America,208,9866,47
44,Iraq,20209,,607,,8121,,11481,128,503,15,369870,9206,40175006,Asia,1988,66186,109
45,Israel,19121,66,302,2,15389,14,3430,32,2079,33,756701,82272,9197590,Asia,481,30456,12
46,Bahrain,18544,317,45,3,13197,379,5302,16,10921,27,425192,250399,1698055,Asia,92,37735,4
47,Bolivia,18459,617,611,26,3113,345,14735,71,1582,52,46069,3949,11665397,South America,632,19092,253
48,Japan,17429,,925,,15643,,861,73,138,7,338758,2678,126491679,Asia,7258,136748,373
49,Austria,17135,26,678,1,16066,7,391,15,1903,75,527670,58603,9004150,Europe,525,13280,17
50,Armenia,17064,397,285,16,6276,62,10503,10,5759,96,83600,28215,2963012,Asia,174,10397,35
51,Nigeria,16085,,420,,5220,,10445,7,78,2,92924,451,205864208,Africa,12799,490153,2215
52,Kazakhstan,14809,313,77,,9188,,5544,77,789,4,1159989,61813,18766151,Asia,1267,243716,16
53,Serbia,12310,,254,,11511,,545,15,1409,29,302928,34665,8738737,Europe,710,34404,29
54,Denmark,12193,,597,,11068,,528,11,2105,103,799876,138116,5791333,Europe,475,9701,7
55,S. Korea,12121,36,277,,10730,12,1114,15,236,5,1105719,21568,51267364,Asia,4230,185081,46
56,Ghana,11964,,54,,4258,,7652,6,385,2,254331,8194,31039368,Africa,2594,574803,122
57,Moldova,11740,,406,,6623,,4711,378,2910,101,63328,15697,4034335,Europe,344,9937,64
58,Algeria,10919,,767,,7606,,2546,39,249,18,,,43811264,Africa,4012,57120,
59,Czechia,10027,3,330,1,7245,19,2452,12,936,31,497990,46506,10708151,Europe,1068,32449,22
60,Azerbaijan,9957,,119,,5583,,4255,66,982,12,362654,35782,10135023,Asia,1018,85168,28
61,Cameroon,9864,1183,276,64,5570,734,4018,28,372,10,,,26510208,Africa,2688,96051,
62,Guatemala,9845,354,384,17,1886,82,7575,5,550,21,31427,1756,17898840,North America,1818,46612,570
63,Honduras,8858,403,312,2,967,73,7579,13,895,32,21540,2176,9896875,North America,1117,31721,459
64,Morocco,8838,45,212,,7779,14,847,7,240,6,431588,11699,36890023,Africa,4174,174010,85
65,Norway,8631,,242,,8138,,251,5,1593,45,277253,51160,5419340,Europe,628,22394,20
66,Malaysia,8494,41,121,,7400,54,973,4,263,4,618360,19117,32346324,Asia,3808,267325,52
67,Australia,7335,15,102,,6851,13,382,4,288,4,1830665,71830,25486034,Australia/Oceania,3475,249863,14
68,Sudan,7220,,459,,2610,,4151,,165,10,401,9,43794886,Africa,6066,95414,109214
69,Finland,7104,,326,,6200,,578,1,1282,59,219500,39618,5540362,Europe,780,16995,25
70,Nepal,5760,,19,,974,,4767,,198,0.7,344098,11820,29110501,Asia,5054,1532132,85
