#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,2070365,3937,124899,171,739669,1205797,19374,,,,,,North America
,South America,878477,533,40111,30,352685,485681,11321,,,,,,South America
,Europe,2029557,9776,173924,198,992173,863460,8764,,,,,,Europe
,Asia,1145465,8668,30914,137,697182,417369,13585,,,,,,Asia
,Africa,149027,252,4245,,63870,80912,344,,,,,,Africa
,Oceania,8811,7,125,,8200,486,3,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,6282423,23173,374233,536,2854430,3053760,53395,806,48.0,,,,All
1,USA,1837170,,106195,,599867,1131108,17075,5553,321,17672567,53417,330843477,North America
2,Brazil,514992,143,29341,27,206555,279096,8318,2424,138,930013,4378,212434518,South America
3,Russia,414878,9035,4855,162,175877,234146,2300,2843,33,10923108,74852,145929507,Europe
4,Spain,286509,,27127,,196958,62424,617,6128,580,4063843,86921,46753345,Europe
5,UK,274762,,38489,,N/A,N/A,1559,4049,567,4285738,63158,67856881,Europe
6,Italy,232997,,33415,,157507,42075,435,3853,553,3878739,64144,60468778,Europe
7,India,191041,432,5413,5,91907,93721,8944,139,4,3837207,2783,1378863296,Asia
8,France,188882,,28802,,68355,91725,1319,2894,441,1384633,21217,65261942,Europe
9,Germany,183494,,8605,,165900,8989,702,2191,103,3952971,47193,83762346,Europe
10,Peru,164476,,4506,,67208,92762,988,4994,137,1058874,32153,32932217,South America
11,Turkey,163942,,4540,,127973,31429,648,1946,54,2039194,24201,84262291,Asia
12,Iran,151466,,7797,,118848,24821,2527,1805,93,935894,11155,83900826,Asia
13,Chile,99688,,1054,,42727,55907,1383,5219,55,582440,30490,19102509,South America
14,Canada,90947,,7295,,48879,34773,1641,2411,193,1665831,44169,37714510,North America
15,Mexico,90664,3152,9930,151,64326,16408,378,704,77,270992,2104,128818338,North America
16,Saudi Arabia,85261,,503,,62442,22316,384,2452,14,822769,23666,34766601,Asia
17,Pakistan,72460,2964,1543,60,26083,44834,111,329,7,561136,2545,220509385,Asia
18,Belgium,58517,136,9486,19,15919,33112,163,5051,819,876306,75638,11585527,Europe
19,Qatar,56910,,38,,30290,26582,232,19783,13,222069,77194,2876776,Asia
20,Bangladesh,49534,2381,672,22,10597,38265,1,301,4,320969,1951,164551275,Asia
21,Netherlands,46442,,5956,,N/A,N/A,159,2711,348,349150,20380,17131835,Europe
22,Belarus,42556,,235,,18514,23807,92,4503,25,541093,57261,9449568,Europe
23,Ecuador,39098,,3358,,19592,16148,220,2219,191,117422,6664,17619752,South America
24,Sweden,37542,,4395,,4971,28176,228,3719,435,238800,23657,10094088,Europe
25,Singapore,35292,408,23,,21699,13570,8,6036,4,334691,57246,5846520,Asia
26,UAE,34557,,264,,17932,16361,1,3498,27,2110493,213608,9880208,Asia
27,South Africa,32683,,683,,16809,15191,128,552,12,725125,12239,59244691,Africa
28,Portugal,32500,,1410,,19409,11681,64,3187,138,812415,79656,10199012,Europe
