#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,2975674,5653,164816,768,1301560,3793,1509298,18726,,,,,,North America,,,
,South America,2049922,920,79562,21,1172971,398,797389,12770,,,,,,South America,,,
,Europe,2388694,,190091,,1326733,,871870,6074,,,,,,Europe,,,
,Asia,2118052,,52939,,1371515,,693598,19187,,,,,,Asia,,,
,Africa,362616,,9317,,175652,,177647,881,,,,,,Africa,,,
,Oceania,9227,2,126,,8549,,552,1,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,9904906,6575,496866,789,5357631,4191,4050409,57643,1271,63.7,,,,All,,,
1,USA,2552956,,127640,,1068703,,1356613,15765,7713,386,31352500,94726,330981104,North America,130,2593,11
2,Brazil,1280054,,56109,,697526,,526419,8318,6023,264,2859064,13452,212541690,South America,166,3788,74
3,Russia,620794,,8781,,384152,,227861,2300,4254,60,18402719,126103,145933938,Europe,235,16619,8
4,India,509446,,15689,,295917,,197840,8944,369,11,7776228,5636,1379826344,Asia,2708,87949,177
5,UK,309360,,43414,,N/A,N/A,N/A,311,4557,640,8911226,131275,67882162,Europe,219,1564,8
6,Spain,294985,,28338,,N/A,N/A,N/A,617,6309,606,5162909,110426,46754627,Europe,158,1650,9
7,Peru,272364,,8939,,159806,,103619,1172,8262,271,1604521,48674,32964854,South America,121,3688,21
8,Chile,263360,,5068,,223431,,34861,2086,13778,265,1043330,54584,19114153,South America,73,3772,18
9,Italy,239961,,34708,,187615,,17638,105,3969,574,5215922,86267,60462488,Europe,252,1742,12
10,Iran,217724,,10239,,177852,,29633,2912,2593,122,1557872,18551,83977195,Asia,386,8202,54
11,Mexico,208392,5441,25779,719,120562,3700,62051,378,1617,200,542120,4205,128914507,North America,619,5001,238
12,Pakistan,195745,,3962,,84168,,107615,2765,886,18,1193017,5403,220814581,Asia,1128,55733,185
13,Turkey,194511,,5065,,167198,,22248,963,2307,60,3186622,37789,84326725,Asia,434,16649,26
14,Germany,194399,,9026,,177100,,8273,364,2320,108,5412655,64605,83781327,Europe,431,9282,15
15,Saudi Arabia,174577,,1474,,120471,,52632,2273,5016,42,1479759,42516,34805142,Asia,199,23613,24
16,France,162936,,29778,,75351,,57807,651,2496,456,1384633,21213,65272172,Europe,401,2192,47
17,Bangladesh,130474,,1661,,53133,,75680,1,792,10,699941,4251,164667742,Asia,1262,99138,235
18,South Africa,124590,,2340,,64111,,58139,539,2101,39,1493104,25180,59297807,Africa,476,25341,40
19,Canada,102794,,8508,,65726,,28560,2085,2724,225,2598243,68850,37737992,North America,367,4436,15
20,Qatar,92784,,109,,76072,,16603,200,33045,39,341914,121773,2807805,Asia,30,25760,8
21,Colombia,84442,,2811,,34937,,46694,335,1660,55,688959,13542,50875544,South America,602,18099,74
22,Sweden,65137,,5280,,N/A,N/A,N/A,171,6450,523,444607,44027,10098554,Europe,155,1913,23
23,Egypt,62755,,2620,,16737,,43398,41,613,26,135000,1320,102299983,Africa,1630,39046,758
24,Belgium,61106,,9731,,16918,,34457,38,5273,840,1178721,101709,11589102,Europe,190,1191,10
25,Belarus,60713,,373,,42689,,17651,89,6425,39,939524,99427,9449348,Europe,156,25333,10
26,Argentina,55343,,1184,,18416,,35743,457,1225,26,318721,7053,45190471,South America,817,38168,142
27,Ecuador,53856,,4406,,26493,,22957,288,3053,250,142715,8091,17638795,South America,328,4003,124
28,Indonesia,51427,,2683,,21333,,27411,,188,10,731781,2676,273484557,Asia,5318,101932,374
29,Netherlands,50005,,6103,,N/A,N/A,N/A,39,2918,356,577437,33700,17134521,Europe,343,2808,30
30,UAE,46973,,310,,35469,,11194,1,4750,31,3136000,317130,9888695,Asia,211,31899,3
31,Kuwait,43703,,341,,33969,,9393,162,10236,80,372284,87195,4269580,Asia,98,12521,11
32,Singapore,42955,,26,,36825,,6104,1,7343,4,684359,116989,5849784,Asia,136,224992,9
33,Iraq,41193,,1559,,18859,,20775,247,1025,39,500723,12454,40204671,Asia,976,25789,80
34,Ukraine,41117,,1086,,18299,,21732,378,940,25,620624,14191,43735136,Europe,1064,40272,70
35,Portugal,40866,,1555,,26633,,12678,67,4008,152,1102066,108078,10196909,Europe,250,6557,9
36,Oman,36034,,153,,19482,,16399,105,7060,30,176953,34670,5103851,Asia,142,33359,29
37,Philippines,34073,,1224,,9182,,23667,137,311,11,662647,6048,109559319,Asia,3215,89509,165
38,Poland,33395,,1429,,19218,,12748,77,882,38,1447130,38236,37846927,Europe,1133,26485,26
39,Switzerland,31486,,1962,,29000,,524,12,3638,227,545177,62998,8653873,Europe,275,4411,16
40,Afghanistan,30451,,683,,10306,,19462,19,783,18,69558,1788,38910996,Asia,1278,56971,559
41,Panama,29905,,575,,15270,,14060,148,6933,133,117266,27185,4313667,North America,144,7502,37
42,Dominican Republic,29764,,712,,16357,,12695,181,2744,66,135969,12536,10846472,North America,364,15234,80
43,Bolivia,29423,920,934,21,7736,398,20753,71,2521,80,68630,5881,11670618,South America,397,12495,170
