#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
54,Denmark,12099,,594,,10993,,512,14,2089,103,771881,133285,5791221,Europe,479,9750,8
55,S. Korea,12051,48,277,,10691,22,1083,15,235,5,1094704,21353,51267124,Asia,4254,185080,47
56,Ghana,11118,262,48,,3979,58,7091,4,358,2,245448,7909,31035817,Africa,2791,646580,126
57,Moldova,11093,,395,10,6421,192,4277,378,2750,98,63328,15697,4034386,Europe,364,10214,64
58,Algeria,10698,,751,,7322,,2625,39,244,17,,,43806931,Africa,4095,58331,
59,Czechia,9942,4,329,,7215,,2398,14,928,31,494805,46209,10708043,Europe,1077,32547,22
60,Azerbaijan,9218,,113,,5116,,3989,66,910,11,362654,35784,10134524,Asia,1099,89686,28
61,Guatemala,8982,421,351,17,1702,135,6929,5,502,20,31427,1756,17897027,North America,1993,50989,569
62,Morocco,8683,73,212,,7664,46,807,7,235,6,398737,10810,36887633,Africa,4248,173998,93
63,Cameroon,8681,,212,,4836,,3633,28,328,8,,,26506586,Africa,3053,125031,
64,Norway,8620,,242,,8138,,240,5,1591,45,277253,51162,5419109,Europe,629,22393,20
65,Malaysia,8445,43,120,1,7311,143,1014,4,261,4,618360,19118,32344058,Asia,3830,269534,52
66,Honduras,8132,463,306,12,844,7,6982,13,822,31,21540,2177,9896013,North America,1217,32340,459
67,Australia,7294,4,102,,6803,20,389,2,286,4,1768662,69402,25484418,Australia/Oceania,3494,249847,14
68,Finland,7087,14,325,,6200,,562,2,1279,59,217300,39222,5540315,Europe,782,17047,25
69,Sudan,6879,,433,,2416,,4030,,157,10,401,9,43789277,Africa,6366,101130,109200
70,Nepal,5062,,16,,877,,4169,,174,0.5,309914,10647,29107633,Asia,5750,1819227,94
71,Tajikistan,4902,,49,,3158,,1695,,515,5,,,9525198,Asia,1943,194392,
72,Uzbekistan,4901,32,19,,3758,,1124,16,147,0.6,748555,22383,33443106,Asia,6824,1760163,45
73,Senegal,4851,,56,,3100,,1695,23,290,3,58003,3470,16717343,Africa,3446,298524,288
74,DRC,4724,87,106,5,595,15,4023,,53,1,,,89391169,Africa,18923,843313,
75,Ivory Coast,4684,,45,,2263,,2376,,178,2,35179,1336,26339495,Africa,5623,585322,749
76,Djibouti,4441,,38,,2730,,1673,,4498,38,40356,40878,987227,Africa,222,25980,24
77,Guinea,4426,,24,,3106,,1296,24,338,2,14407,1099,13111180,Africa,2962,546299,910
78,Hungary,4064,11,559,4,2476,29,1029,20,421,58,230139,23820,9661455,Europe,2377,17283,42
79,Luxembourg,4055,,110,,3918,,27,1,6484,176,101877,162894,625420,Europe,154,5686,6
80,Haiti,3941,,64,,24,,3853,,346,6,8081,709,11395219,North America,2891,178050,1410
81,North Macedonia,3701,,171,,1694,,1836,34,1776,82,41049,19703,2083378,Europe,563,12183,51
82,El Salvador,3603,122,72,4,1738,151,1793,126,556,11,120941,18650,6484606,North America,1800,90064,54
83,Gabon,3463,,23,,1024,,2416,17,1558,10,19517,8781,2222650,Africa,642,96637,114
84,Kenya,3305,,96,,1164,,2045,7,62,2,108666,2023,53702760,Africa,16249,559404,494
85,Bulgaria,3191,,172,,1716,,1303,15,459,25,101102,14546,6950669,Europe,2178,40411,69
86,Thailand,3134,5,58,,2987,,89,1,45,0.8,468175,6708,69791648,Asia,22269,1203304,149
87,Greece,3108,,183,,1374,,1551,14,298,18,243867,23392,10425286,Europe,3354,56969,43
88,Ethiopia,2915,,47,,451,,2417,38,25,0.4,170860,1488,114794517,Africa,39381,2442437,672
89,Bosnia and Herzegovina,2893,,163,,2119,,611,4,882,50,75171,22906,3281700,Europe,1134,20133,44
90,Venezuela,2879,,23,,487,,2369,1,101,0.8,1066791,37511,28439554,South America,9878,1236502,27
91,Somalia,2513,,85,,532,,1896,2,158,5,,,15866124,Africa,6314,186660,
92,Mayotte,2268,,28,,1790,,450,12,8325,103,8800,32302,272427,Africa,120,9730,31
93,Croatia,2249,,107,,2133,,9,,548,26,69721,16979,4106361,Europe,1826,38377,59
94,Cuba,2233,,84,,1902,,247,4,197,7,129132,11400,11326934,North America,5073,134844,88
