#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,20588300,12986,470507,764,12458009,9138,7659784,33543,,,,,,North America,,,
,Asia,19596423,1789,319513,14,17829837,797,1447073,27241,,,,,,Asia,,,
,South America,12349571,484,346854,2,10897050,385,1105667,16813,,,,,,South America,,,
,Europe,20940873,,484733,,9964473,,10491667,26477,,,,,,Europe,,,
,Africa,2483520,,58407,,2092290,,332823,2759,,,,,,Africa,,,
,Oceania,47289,32,1046,,33267,,12976,21,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,76006697,15291,1681075,780,53275632,10320,21049990,106854,9751,215.7,,,,All,,,
1,USA,17888353,,320845,,10394286,,7173222,28011,53896,967,230816169,695423,331907437,North America,19,1034,1
2,India,10004825,,145171,,9549923,,309731,8944,7217,105,158918646,114634,1386308397,Asia,139,9549,9
3,Brazil,7163912,,185687,,6198185,,780040,8318,33592,871,25700000,120508,213263040,South America,30,1149,8
4,Russia,2791220,,49762,,2228633,,512825,2300,19123,341,84904111,581679,145963756,Europe,52,2933,2
5,France,2442990,,60229,,182656,,2200105,2773,37388,922,30011276,459302,65341034,Europe,27,1085,2
6,Turkey,1982090,,17610,,1753552,,210928,5707,23385,208,22107503,260823,84760410,Asia,43,4813,4
7,UK,1977167,,66541,,N/A,N/A,N/A,1340,29054,978,49579548,728550,68052323,Europe,34,1023,1
8,Italy,1921778,,67894,,1226086,,627798,2819,31807,1124,24815520,410716,60420146,Europe,31,890,2
9,Spain,1817448,,48926,,N/A,N/A,N/A,1920,38865,1046,24918644,532868,46763256,Europe,26,956,2
10,Argentina,1531374,,41672,,1356755,,132947,3434,33739,918,4437322,97763,45388576,South America,30,1089,10
11,Colombia,1482072,,40019,,1354021,,88032,2578,28984,783,7386031,144443,51134708,South America,35,1278,7
12,Germany,1469991,,26003,,1069400,,374588,4899,17519,310,31974158,381057,83909088,Europe,57,3227,3
