#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,20987820,191062,475393,2087,12697993,73080,7814434,33469,,,,,,North America,,,
,Asia,19780696,89080,322411,1503,18042931,106476,1415354,26706,,,,,,Asia,,,
,South America,12465985,39774,348691,670,10954592,12701,1162702,16830,,,,,,South America,,,
,Europe,21329307,184696,492125,3070,10184698,80792,10652484,26416,,,,,,Europe,,,
,Africa,2522546,17586,59179,324,2116010,12564,347357,2734,,,,,,Africa,,,
,Oceania,47341,50,1046,,33277,9,13018,21,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,77134416,522248,1698860,7654,54030207,285622,21405349,106176,9896,217.9,,,,All,,,
1,USA,18255683,171327,324806,1351,10610070,58486,7320807,27931,55001,979,234078263,705240,331912730,North America,18,1022,1
2,India,10056248,24589,145843,330,9605390,25709,305015,8944,7254,105,161198195,116276,1386345438,Asia,138,9506,9
3,Brazil,7238600,25445,186764,408,6222764,,829072,8318,33941,876,25700000,120506,213267162,South America,29,1142,8
4,Russia,2848377,28948,50858,511,2275657,20915,521862,2300,19514,348,85900000,588502,145963926,Europe,51,2870,2
5,France,2473354,12799,60549,131,183806,235,2228999,2754,37853,927,30742081,470484,65341427,Europe,26,1079,2
6,UK,2040147,35928,67401,326,N/A,N/A,N/A,1364,29979,990,49579548,728540,68053296,Europe,33,1010,1
7,Turkey,2024601,20316,18097,246,1800286,21218,206218,5347,23885,214,22439527,264733,84762888,Asia,42,4684,4
8,Italy,1953185,15104,68799,352,1261626,12156,622760,2743,32327,1139,25129125,415908,60419904,Europe,31,878,2
9,Spain,1817448,,48926,,N/A,N/A,N/A,1920,38865,1046,24918644,532867,46763305,Europe,26,956,2
10,Argentina,1537169,,41763,,1362617,,132789,3452,33866,920,4464725,98364,45389708,South America,30,1087,10
11,Germany,1514783,20822,26764,350,1085500,,402519,5022,18053,319,31974158,381054,83909818,Europe,55,3135,3
12,Colombia,1507222,11160,40475,207,1373332,10789,93415,2578,29475,792,7492520,146521,51136189,South America,34,1263,7
13,Mexico,1313675,12129,117876,627,971115,8718,224684,3890,10139,910,3365035,25972,129565502,North America,99,1099,39
14,Poland,1202700,8594,25397,143,938269,10546,239034,1710,31795,671,6839477,180809,37827071,Europe,31,1489,6
15,Iran,1158384,6312,53625,177,885054,9111,219705,5563,13710,635,6995726,82795,84494153,Asia,73,1576,12
16,Peru,995899,,37034,,930410,,28455,1083,30010,1116,5361432,161558,33185778,South America,33,896,6
17,Ukraine,964448,8325,16585,116,581162,6626,366701,177,22116,380,5209462,119457,43609455,Europe,45,2629,8
18,South Africa,921922,9445,24691,152,793914,6132,103317,546,15454,414,6140839,102935,59657360,Africa,65,2416,10
19,Netherlands,689705,13032,10491,32,N/A,N/A,N/A,580,40210,612,5514008,321466,17152700,Europe,25,1635,3
20,Indonesia,664930,6982,19880,221,541811,5551,103239,,2419,72,6786585,24690,274874562,Asia,413,13827,41
21,Czechia,624140,5281,10331,36,533307,136,80502,592,58231,964,3525589,328931,10718326,Europe,17,1037,3
22,Belgium,623760,2721,18545,90,42911,265,562304,539,53711,1597,6575746,566225,11613301,Europe,19,626,2
23,Romania,591294,3350,14394,98,498777,5398,78123,1267,30834,751,4599845,239863,19176946,Europe,32,1332,4
24,Chile,585545,2191,16154,53,555956,1623,13435,663,30508,842,6062168,315854,19192971,South America,33,1188,3
25,Iraq,584145,1027,12697,17,520969,1964,50479,177,14374,312,4146688,102035,40639754,Asia,70,3201,10
26,Canada,506509,4915,14218,64,415373,3977,76918,694,13365,375,13033803,343928,37896948,North America,75,2665,3
27,Bangladesh,500713,1153,7280,38,437527,1926,55906,,3026,44,3075680,18589,165456135,Asia,330,22727,54
28,Philippines,459789,1754,8947,36,429134,8080,21708,708,4170,81,6474217,58717,110260744,Asia,240,12324,17
29,Pakistan,457288,2615,9330,80,407405,2904,40553,2365,2052,42,6301341,28272,222880521,Asia,487,23889,35
30,Morocco,417125,1899,6957,48,378154,2531,32014,1071,11239,187,4300996,115884,37114686,Africa,89,5335,9
31,Switzerland,403989,,6622,20,311500,,85867,439,46520,763,3256315,374967,8684263,Europe,21,1311,3
32,Israel,374760,1874,3099,25,348106,2517,23555,455,40745,337,7119770,774091,9197590,Asia,25,2968,1
33,Portugal,374121,3334,6134,71,297233,2419,70754,483,36741,602,5186675,509363,10182675,Europe,27,1660,2
34,Sweden,367120,,7993,,N/A,N/A,N/A,281,36245,789,3989420,393870,10128783,Europe,28,1267,3
35,Saudi Arabia,361010,162,6122,10,351878,156,3010,416,10295,175,10639645,303417,35066037,Asia,97,5728,3
36,Austria,338854,1645,5351,142,303213,2602,30290,475,37523,593,3593276,397905,9030496,Europe,27,1688,3
37,Hungary,302989,2967,8099,185,97443,4120,197447,520,31402,839,2504837,259602,9648775,Europe,32,1191,4
38,Serbia,300062,3534,2686,54,31536,,265840,314,34408,308,2141775,245595,8720744,Europe,29,3247,4
39,Jordan,274949,2152,3568,23,243106,3980,28275,323,26823,348,2962873,289048,10250470,Asia,37,2873,3
40,Nepal,253772,588,1788,11,243664,1097,8320,,8638,61,1870830,63677,29380034,Asia,116,16432,16
41,Panama,209584,,3527,,171745,,34312,182,48221,811,1149983,264586,4346353,North America,21,1232,4
42,Georgia,208638,1731,2094,39,180441,4599,26103,,52349,525,1797437,450988,3985555,Asia,19,1903,2
43,Ecuador,206257,337,13948,,177951,,14358,371,11609,785,712983,40128,17767700,South America,86,1274,25
44,Azerbaijan,202088,2961,2210,35,139779,4317,60099,,19848,217,2063754,202688,10181918,Asia,50,4607,5
45,Japan,195880,2849,2873,45,165333,2025,27674,593,1551,23,4362886,34546,126293676,Asia,645,43959,29
46,Croatia,194962,1975,3177,76,173158,3390,18627,290,47630,776,950611,232237,4093288,Europe,21,1288,4
47,UAE,193575,1171,637,3,168995,866,23943,,19462,64,19366366,1947123,9946146,Asia,51,15614,1
48,Bulgaria,191195,166,6609,58,99758,1732,84828,536,27615,955,1101624,159110,6923671,Europe,36,1048,6
49,Belarus,173523,1944,1324,8,151635,2282,20564,,18366,140,3778152,399895,9447859,Europe,54,7136,3
50,Dominican Republic,160386,1322,2384,2,124276,992,33726,247,14716,219,826029,75791,10898743,North America,68,4572,13
51,Lebanon,158104,1534,1281,11,112333,1798,44490,418,23213,188,1820011,267216,6811000,Asia,43,5317,4
52,Costa Rica,157472,,1996,,125488,,29988,254,30781,390,453805,88705,5115871,North America,32,2563,11
53,Armenia,153825,652,2630,14,132532,601,18663,,51865,887,566746,191091,2965848,Asia,19,1128,5
54,Slovakia,151336,2061,1555,45,107828,1467,41953,312,27713,285,1305541,239071,5460887,Europe,36,3512,4
55,Bolivia,149770,621,9035,2,127815,275,12920,71,12749,769,388338,33058,11747201,South America,78,1300,30
56,Kuwait,147979,204,921,3,143926,285,3132,60,34414,214,1218389,283349,4299965,Asia,29,4669,4
57,Kazakhstan,146584,652,2147,,130776,824,13661,221,7763,114,4871752,258017,18881489,Asia,129,8794,4
58,Qatar,142001,143,243,,139724,203,2034,22,50574,87,1196194,426025,2807805,Asia,20,11555,2
59,Moldova,135207,629,2752,25,118635,1633,13820,257,33554,683,527927,131014,4029539,Europe,30,1464,8
60,Denmark,134434,2828,1035,16,91263,1693,42136,87,23171,178,9376922,1616214,5801783,Europe,43,5606,1
61,Guatemala,132765,170,4656,32,120994,279,7115,5,7348,258,606993,33592,18069312,North America,136,3881,30
62,Greece,131072,587,4172,70,9989,,116911,515,12604,401,3123299,300346,10398986,Europe,79,2493,3
63,Oman,127667,648,1488,5,119574,565,6605,42,24711,288,571472,110611,5166504,Asia,40,3472,9
64,Egypt,125555,664,7098,29,106817,336,11640,90,1216,69,1000000,9687,103229530,Africa,822,14543,103
65,Palestine,122643,1427,1141,24,97979,1518,23523,128,23786,221,816647,158382,5156197,Asia,42,4519,6
66,Tunisia,120687,1536,4158,32,87884,,28645,293,10162,350,546544,46019,11876386,Africa,98,2856,22
67,Ethiopia,119951,457,1853,7,102980,827,15118,267,1032,16,1743663,14996,116277274,Africa,969,62751,67
68,Honduras,116860,648,3025,2,54200,198,59635,112,11712,303,291355,29200,9977853,North America,85,3298,34
69,Myanmar,116134,947,2443,19,95387,1269,18304,,2128,45,1594654,29216,54580709,Asia,470,22342,34
70,Lithuania,112359,2927,1019,14,50721,134,60619,198,41550,377,1504085,556200,2704217,Europe,24,2654,2
71,Venezuela,109781,,984,,104208,,4589,54,3866,35,2380317,83820,28397910,South America,259,28860,12
72,Slovenia,105899,884,2353,39,83536,995,20010,202,50936,1132,626786,301474,2079073,Europe,20,884,3
73,Bosnia and Herzegovina,105524,,3625,,70620,,31279,,32259,1108,483053,147670,3271163,Europe,31,902,7
74,Paraguay,99157,,2072,,70943,,26142,177,13823,289,522786,72878,7173402,South America,72,3462,14
75,Algeria,95203,422,2666,7,63260,391,29277,42,2153,60,,,44218531,Africa,464,16586,
76,Libya,94560,788,1353,7,64810,924,28397,,13675,196,508907,73597,6914823,Africa,73,5111,14
77,Kenya,94500,349,1639,6,75735,176,17126,52,1740,30,1003493,18474,54319052,Africa,575,33142,54
78,Malaysia,93309,1340,437,4,77309,1067,15563,116,2866,13,3101878,95268,32559326,Asia,349,74506,10
79,Bahrain,90282,220,349,,88331,153,1602,12,52228,202,2262042,1308591,1728609,Asia,19,4953,1
80,Ireland,79542,766,2158,4,23364,,54020,29,16025,435,2187167,440647,4963536,Europe,62,2300,2
81,Kyrgyzstan,79122,211,1330,2,72780,321,5012,94,12035,202,563868,85770,6574218,Asia,83,4943,12
82,North Macedonia,78305,356,2292,18,54034,689,21979,138,37586,1100,380616,182696,2083334,Europe,27,909,5
83,Nigeria,77933,,1218,,67784,,8931,10,374,6,874617,4195,208496535,Africa,2675,171179,238
84,Uzbekistan,75933,127,612,,73242,143,2079,171,2254,18,1377915,40894,33695014,Asia,444,55057,24
85,Singapore,58422,19,29,,58279,5,114,,9949,5,5031065,856806,5871881,Asia,101,202479,1
86,Ghana,53653,,331,,52331,,991,15,1710,11,636366,20284,31373209,Africa,585,94783,49
87,Albania,53003,461,1088,14,28121,290,23794,39,18427,378,234316,81464,2876316,Europe,54,2644,12
88,Afghanistan,50677,141,2110,56,39158,359,9409,93,1288,54,180385,4586,39333612,Asia,776,18642,218
89,S. Korea,49665,1095,674,15,34722,388,14269,278,968,13,3683094,71809,51289954,Asia,1033,76098,14
90,Luxembourg,44491,424,444,4,35237,,8810,38,70541,704,1598011,2533662,630712,Europe,14,1421,0
91,Montenegro,43955,246,626,2,34082,294,9247,68,69981,997,163817,260812,628103,Europe,14,1003,4
92,Norway,43783,201,404,,37658,,5721,35,8047,74,2584584,475013,5441086,Europe,124,13468,2
93,El Salvador,43477,282,1250,8,39142,126,3085,79,6687,192,599469,92204,6501560,North America,150,5201,11
94,Sri Lanka,37261,594,176,5,28267,715,8818,,1737,8,1102665,51393,21455402,Asia,576,121906,19
95,Finland,33162,309,489,,22500,,10173,30,5981,88,2306497,415977,5544769,Europe,167,11339,2
96,Uganda,31187,485,231,1,10469,109,20487,,672,5,711468,15332,46403248,Africa,1488,200880,65
97,Latvia,30940,643,439,12,21051,517,9450,52,16490,234,786528,419192,1876296,Europe,61,4274,2
98,Australia,28172,44,908,,25708,7,1556,,1099,35,10581394,412724,25637958,Australia/Oceania,910,28236,2
