#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,16988388,108655,421665,1806,10350681,30252,6216042,30953,,,,,,North America,,,
,Asia,17258575,124674,298486,1596,15265880,90856,1694209,27966,,,,,,Asia,,,
,South America,11371820,10455,329421,174,10142851,1415,899548,16963,,,,,,South America,,,
,Europe,18056116,184432,415711,4533,7952198,149818,9688207,27743,,,,,,Europe,,,
,Africa,2233714,3323,52967,30,1906580,3920,274167,2579,,,,,,Africa,,,
,Oceania,45691,14,1020,,33127,20,11544,26,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,65955025,431553,1519285,8139,45652023,276281,18783717,106230,8461,194.9,,,,All,,,
1,USA,14627337,92141,283934,1105,8580911,19484,5762492,26201,44081,856,202307415,609675,331828037,North America,23,1169,2
2,India,9606810,35030,139700,473,9056668,40984,410442,8944,6933,101,144727749,104440,1385752793,Asia,144,9919,10
3,Brazil,6496050,8534,175432,125,5725010,,595608,8318,30469,823,25700000,120543,213201210,South America,33,1215,8
4,Russia,2402949,27403,42176,569,1888752,28901,472021,2300,16463,289,78227415,535947,145961200,Europe,61,3461,2
5,France,2257331,,54140,,166940,,2036251,3425,34550,829,20787734,318171,65335131,Europe,29,1207,3
6,Spain,1699145,5554,46252,214,N/A,N/A,N/A,2371,36336,989,22992742,491692,46762516,Europe,28,1011,2
7,UK,1690432,16298,60617,504,N/A,N/A,N/A,1261,24846,891,44812139,658637,68037738,Europe,40,1122,2
8,Italy,1688939,24099,58852,814,872385,25576,757702,3567,27952,974,22767130,376791,60423775,Europe,36,1027,3
9,Argentina,1447732,,39305,,1274675,,133752,3916,31908,866,4022872,88665,45371596,South America,31,1154,11
10,Colombia,1343322,,37305,,1233115,,72902,2376,26282,730,6592775,128986,51112494,South America,38,1370,8
11,Mexico,1144643,11030,108173,608,843231,6664,193239,3377,8839,835,2948516,22767,129506321,North America,113,1197,44
12,Germany,1143116,14374,18492,232,820600,20600,304024,3957,13625,220,29141172,347340,83898137,Europe,73,4537,3
13,Poland,1041846,13239,19359,531,666413,19853,356074,1961,27541,512,6396712,169096,37828876,Europe,36,1954,6
14,Iran,1016835,13341,49695,347,708106,8791,259034,5824,12041,588,6256715,74090,84447157,Asia,83,1699,13
15,Peru,968846,,36104,,901544,,31198,957,29212,1089,5119245,154354,33165694,South America,34,919,6
16,South Africa,800872,,21803,,739367,,39702,546,13432,366,5500669,92255,59624674,Africa,74,2735,11
17,Ukraine,787891,15131,13195,235,397809,13383,376887,177,18062,302,4528772,103821,43620881,Europe,55,3306,10
18,Turkey,765997,32736,14509,193,423142,4811,328346,5703,9041,171,19338181,228251,84723237,Asia,111,5839,4
19,Belgium,584857,2605,17033,122,38577,316,529247,788,50371,1467,6012323,517808,11611101,Europe,20,682,2
20,Indonesia,563680,5803,17479,124,466178,3625,80023,,2052,64,5926986,21572,274748198,Asia,487,15719,46
21,Iraq,560622,1855,12387,26,489772,1909,58463,256,13808,305,3609466,88903,40600201,Asia,72,3278,11
22,Chile,557135,1729,15558,39,531543,1073,10034,683,29039,811,5455436,284348,19185805,South America,34,1233,4
23,Netherlands,543924,5874,9623,58,N/A,N/A,N/A,488,31714,561,4043482,235757,17151047,Europe,32,1782,4
24,Czechia,540094,2431,8718,77,468812,510,62564,586,50394,813,3152545,294150,10717460,Europe,20,1229,3
25,Romania,500273,8062,12052,176,390212,9211,98009,1275,26080,628,4205480,219235,19182526,Europe,38,1592,5
26,Bangladesh,473991,2252,6772,24,390951,2572,76268,,2866,41,2836411,17150,165384463,Asia,349,24422,58
27,Philippines,436345,934,8509,63,399345,148,28491,1401,3960,77,5906862,53603,110196978,Asia,253,12951,19
28,Pakistan,410072,3262,8260,55,350305,3354,51507,2395,1841,37,5672166,25471,222692708,Asia,543,26960,39
29,Canada,399422,3152,12460,53,317571,2963,69391,530,10544,329,11739689,309897,37882498,North America,95,3040,3
30,Morocco,368624,,6063,,318987,,43574,969,9937,163,4016991,108288,37095566,Africa,101,6118,9
31,Saudi Arabia,358336,234,5940,10,348238,357,4158,596,10226,170,9796082,279550,35042319,Asia,98,5899,4
32,Switzerland,344497,4382,5292,111,260600,3000,78605,479,39682,610,2836245,326700,8681501,Europe,25,1640,3
33,Israel,342101,1059,2896,5,327162,518,12043,324,37195,315,5605071,609406,9197590,Asia,27,3176,2
34,Portugal,312553,4935,4803,79,234038,5020,73712,526,30691,472,4675744,459128,10183969,Europe,33,2120,2
35,Austria,297245,3815,3651,113,243775,5648,49819,642,32924,404,3209340,355477,9028254,Europe,30,2473,3
36,Sweden,278912,,7067,20,N/A,N/A,N/A,249,27544,698,3457247,341422,10126035,Europe,36,1433,3
37,Nepal,238861,1272,1567,16,221847,1575,15447,,8136,53,1771950,60358,29357095,Asia,123,18735,17
38,Hungary,238056,6212,5513,189,68525,1492,164018,639,24669,571,1876274,194436,9649843,Europe,41,1750,5
39,Jordan,234353,3116,2960,51,177195,3826,54198,409,22873,289,2648917,258531,10246046,Asia,44,3462,4
40,Serbia,206940,7782,1834,69,31536,,173570,270,23725,210,1867228,214076,8722276,Europe,42,4756,5
41,Ecuador,195884,,13612,,169804,,12468,350,11032,767,662183,37294,17755981,South America,91,1304,27
42,UAE,174062,1311,586,1,157828,793,15648,,17510,59,17240432,1734289,9940924,Asia,57,16964,1
43,Panama,171219,,3141,,148396,,19682,161,39421,723,942262,216942,4343382,North America,25,1383,5
44,Japan,155232,2405,2240,27,131176,1935,21816,505,1229,18,3675244,29097,126310527,Asia,814,56389,34
45,Bulgaria,155193,,4503,,57141,,93549,523,22407,650,999867,144365,6925945,Europe,45,1538,7
46,Georgia,152704,5068,1425,38,126904,2336,24375,,38311,358,1207234,302877,3985889,Asia,26,2797,3
47,Dominican Republic,146680,671,2343,8,116169,177,28168,182,13464,215,738156,67758,10893991,North America,74,4650,15
48,Bolivia,145186,192,8982,10,124015,342,12189,71,12367,765,365758,31154,11740239,South America,81,1307,32
49,Kuwait,143917,343,886,2,139148,474,3883,84,33491,206,1130744,263135,4297203,Asia,30,4850,4
50,Belarus,143383,1774,1190,9,120571,1647,21622,,15176,126,3367889,356466,9447994,Europe,66,7939,3
51,Croatia,143370,3955,2032,68,117148,3639,24190,262,35016,496,790883,193163,4094389,Europe,29,2015,5
52,Costa Rica,142505,,1757,,91424,,49324,224,27867,344,404440,79087,5113840,North America,36,2911,13
53,Armenia,139692,1184,2277,23,114990,1762,22425,,47104,768,522843,176302,2965607,Asia,21,1302,6
54,Qatar,139643,166,239,,136872,131,2532,33,49734,85,1129685,402337,2807805,Asia,20,11748,2
55,Azerbaijan,138000,4267,1551,41,83800,2566,52649,,13559,152,1797026,176561,10177927,Asia,74,6562,6
56,Kazakhstan,134706,819,1990,,118643,639,14073,221,7138,105,4206738,222913,18871673,Asia,140,9483,4
57,Lebanon,134295,1478,1078,11,86019,1877,47198,374,19714,158,1672623,245529,6812330,Asia,51,6319,4
58,Guatemala,124805,752,4224,15,113273,554,7308,5,6913,234,551173,30528,18054804,North America,145,4274,33
59,Oman,124329,,1435,,115866,,7028,106,24091,278,571472,110733,5160808,Asia,42,3596,9
60,Egypt,117156,,6713,,103082,,7361,46,1136,65,1000000,9695,103145026,Africa,880,15365,103
61,Moldova,113829,1522,2384,21,98276,727,13169,267,28246,592,476316,118194,4029947,Europe,35,1690,8
62,Slovakia,113392,2184,957,27,77142,2869,35293,246,20765,175,1115246,204229,5460772,Europe,48,5706,5
63,Greece,113185,1648,2804,98,9989,,100392,612,10882,270,2450855,235632,10401201,Europe,92,3709,4
64,Ethiopia,111579,,1724,,77385,,32470,331,961,15,1652517,14227,116152410,Africa,1041,67374,70
65,Honduras,109760,616,2938,8,48953,76,57869,121,11008,295,271223,27201,9970961,North America,91,3394,37
66,Venezuela,103548,,909,,98521,,4118,117,3646,32,2317442,81596,28401417,South America,274,31245,12
67,Tunisia,99280,,3359,,73607,,22314,310,8363,283,468749,39487,11870983,Africa,120,3534,25
68,Myanmar,96520,1502,2059,31,74973,1225,19488,,1769,38,1246524,22845,54564789,Asia,565,26501,44
69,Palestine,94676,1968,797,17,70206,1956,23673,71,18380,155,714525,138716,5150999,Asia,54,6463,7
70,Bosnia and Herzegovina,92793,1254,2865,53,57545,1495,32383,,28359,876,432980,132327,3272050,Europe,35,1142,8
71,Bahrain,87432,,341,,85598,,1493,12,50656,198,2088613,1210082,1726009,Asia,20,5062,1
72,Kenya,87249,866,1506,6,68110,322,17633,77,1608,28,919411,16942,54267154,Africa,622,36034,59
73,Denmark,86743,1603,867,9,68632,1216,17244,40,14953,149,7731119,1332746,5800894,Europe,67,6691,1
74,Algeria,86730,803,2492,12,56079,541,28159,46,1963,56,,,44183870,Africa,509,17730,
75,Libya,85529,680,1219,7,56048,744,28262,,12376,176,450525,65192,6910738,Africa,81,5669,15
76,Paraguay,85477,,1796,,60086,,23595,145,11922,251,461111,64315,7169572,South America,84,3992,16
77,Slovenia,83133,1784,1653,61,60957,1488,20523,199,39986,795,538770,259141,2079060,Europe,25,1258,4
78,Kyrgyzstan,74373,440,1285,4,66113,524,6975,133,11321,196,509160,77504,6569508,Asia,88,5112,13
79,Uzbekistan,73592,161,611,,70861,149,2120,174,2185,18,1377915,40919,33673801,Asia,458,55113,24
80,Ireland,73491,263,2086,6,23364,,48041,27,14813,420,2010334,405217,4961126,Europe,68,2378,2
81,Malaysia,70236,1141,376,,59061,1144,10799,129,2158,12,2748881,84474,32541198,Asia,463,86546,12
82,Lithuania,69582,2518,590,26,27760,924,41232,132,25715,218,1304400,482064,2705865,Europe,39,4586,2
83,Nigeria,68303,,1179,,64291,,2833,10,328,6,779708,3744,208272507,Africa,3049,176652,267
84,North Macedonia,65231,,1847,,41656,,21728,138,31311,887,341261,163805,2083337,Europe,32,1128,6
85,Singapore,58242,3,29,,58152,7,61,,9922,5,4658858,793690,5869872,Asia,101,202409,1
86,Ghana,52096,429,325,2,50924,377,847,19,1662,10,601007,19174,31344797,Africa,602,96446,52
87,Afghanistan,47388,130,1847,6,37347,45,8194,93,1206,47,155916,3968,39295192,Asia,829,21275,252
88,Albania,41302,801,870,18,20974,490,19458,27,14359,302,192663,66979,2876453,Europe,70,3306,15
89,El Salvador,39718,203,1142,8,36286,201,2290,48,6110,176,560018,86155,6500132,North America,164,5692,12
90,Montenegro,37467,535,522,6,26414,548,10531,68,59651,831,140874,224286,628100,Europe,17,1203,4
91,Norway,37371,,354,1,27414,,9603,38,6871,65,2350736,432181,5439235,Europe,146,15365,2
92,Luxembourg,37017,588,345,6,28029,673,8643,41,58732,547,1418680,2250923,630266,Europe,17,1827,0
93,S. Korea,36332,629,536,7,28611,259,7185,116,708,10,3157410,61562,51288031,Asia,1412,95687,16
94,Australia,27949,10,908,,25629,11,1412,,1091,35,10133929,395470,25625028,Australia/Oceania,917,28221,3
95,Finland,26758,336,408,,18100,,8250,21,4826,74,2033123,366699,5544394,Europe,207,13589,3
96,Sri Lanka,26559,521,129,,19438,406,6992,,1238,6,876044,40838,21451486,Asia,808,166291,24
97,Cameroon,24560,73,441,,23344,1167,775,52,916,16,149000,5555,26821689,Africa,1092,60820,180
98,Uganda,21612,,206,,9110,,12296,,466,4,635916,13723,46339794,Africa,2144,224950,73
99,Ivory Coast,21389,,132,,21022,,235,,803,5,221219,8301,26650970,Africa,1246,201901,120
100,Latvia,19993,686,242,7,1849,1,17902,46,10650,129,658086,350567,1877202,Europe,94,7757,3
101,Sudan,18535,,1271,,10672,,6592,,419,29,,,44277296,Africa,2389,34837,
102,Zambia,17730,,357,,17102,,271,,953,19,423002,22744,18598175,Africa,1049,52096,44
103,Madagascar,17513,,255,,16657,,601,16,626,9,93734,3349,27987921,Africa,1598,109757,299
104,Senegal,16297,80,336,1,15707,10,254,7,963,20,234564,13857,16927832,Africa,1039,50380,72
105,Mozambique,16038,120,133,1,14160,130,1745,,507,4,236555,7481,31619776,Africa,1972,237743,134
106,Angola,15361,,352,,8244,,6765,14,461,11,171247,5144,33290270,Africa,2167,94575,194
107,French Polynesia,14897,,78,,4842,,9977,26,52901,277,26355,93591,281599,Australia/Oceania,19,3610,11
108,Namibia,14599,,151,,13774,,674,8,5702,59,159915,62461,2560245,Africa,175,16955,16
109,Estonia,13939,470,125,2,8549,367,5265,17,10505,94,499566,376487,1326916,Europe,95,10615,3
110,DRC,13281,149,337,,11753,,1191,,146,4,,,90691470,Africa,6829,269114,
111,Guinea,13186,19,76,,12270,66,840,24,993,6,78418,5904,13281146,Africa,1007,174752,169
112,Maldives,13143,37,47,,12199,45,897,12,24136,86,248889,457057,544547,Asia,41,11586,2
113,Tajikistan,12349,41,87,,11758,40,504,,1283,9,,,9627289,Asia,780,110658,
114,Botswana,11531,,34,,8978,,2519,1,4862,14,438332,184830,2371542,Africa,206,69751,5
115,Cyprus,11523,,54,,2057,,9412,15,9515,45,629102,519450,1211092,Asia,105,22428,2
116,French Guiana,11318,,70,,9995,,1253,1,37488,232,84302,279229,301910,South America,27,4313,4
117,Jamaica,10987,76,260,1,6730,116,3997,10,3703,88,117668,39663,2966671,North America,270,11410,25
118,Cabo Verde,10938,,107,,10454,,377,23,19583,192,105008,188003,558543,Africa,51,5220,5
119,Zimbabwe,10424,,280,,8754,,1390,,697,19,183098,12244,14954180,Africa,1435,53408,82
120,Malta,10320,123,149,1,8120,105,2051,18,23346,337,439477,994193,442044,Europe,43,2967,1
121,Haiti,9331,,233,,8114,,984,,814,20,34734,3031,11461290,North America,1228,49190,330
122,Gabon,9239,,60,,9089,,90,7,4110,27,303373,134971,2247685,Africa,243,37461,7
123,Mauritania,9005,,181,,7785,,1039,10,1916,39,106996,22762,4700601,Africa,522,25970,44
124,Cuba,8531,,136,,7770,,625,4,753,12,1146603,101257,11323659,North America,1327,83262,10
125,Guadeloupe,8427,,149,,2242,,6036,7,21059,372,77192,192906,400153,North America,47,2686,5
126,Runion,8200,98,41,1,7729,557,430,17,9131,46,48859,54407,898026,Africa,110,21903,18
127,Syria,8147,,432,,3748,,3967,,461,24,,,17678226,Asia,2170,40922,
128,Bahamas,7549,,163,,5934,,1452,,19119,413,43794,110917,394836,North America,52,2422,9
