#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,19769685,11794,457898,820,12008486,11260,7303301,33634,,,,,,North America,,,
,Asia,19323261,37211,315930,690,17526053,36540,1481278,27521,,,,,,Asia,,,
,South America,12079717,371,342500,2,10714273,281,1022944,16577,,,,,,South America,,,
,Europe,20281599,84196,469905,2168,9591202,65163,10220492,26773,,,,,,Europe,,,
,Africa,2422789,253,57170,2,2047235,235,318384,2694,,,,,,Africa,,,
,Oceania,46865,13,1040,,33251,18,12574,24,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,73924637,133838,1644458,3682,51921206,113497,20358973,107223,9484,211.0,,,,All,,,
1,USA,17143942,,311073,,10007956,,6824913,28305,51655,937,224938642,677747,331891557,North America,19,1067,1
2,India,9932908,,144130,,9456449,656,332329,8944,7166,104,156646280,113004,1386197276,Asia,140,9618,9
3,Brazil,6974258,,182854,,6067862,,723542,8318,32705,857,25700000,120515,213250674,South America,31,1166,8
4,Russia,2734454,26509,48564,596,2176100,26490,509790,2300,18734,333,83867186,574577,145963245,Europe,53,3006,2
5,France,2391447,,59072,,179087,,2153288,2881,36600,904,29323706,448787,65339853,Europe,27,1106,2
6,Turkey,1898447,,16881,,1661191,,220375,5988,22400,199,21490195,253563,84752976,Asia,45,5021,4
7,UK,1888116,,64908,,N/A,N/A,N/A,1288,27746,954,48488168,712544,68049406,Europe,36,1048,1
8,Italy,1870576,,65857,,1137416,,667303,3003,30959,1090,24482190,405194,60420872,Europe,32,917,2
9,Spain,1771488,,48401,,N/A,N/A,N/A,2027,37882,1035,24918644,532870,46763108,Europe,26,966,2
10,Argentina,1510203,,41204,,1344300,,124699,3475,33275,908,4338785,95599,45385180,South America,30,1101,10
11,Colombia,1444646,,39356,,1328430,,76860,2376,28254,770,7186191,140547,51130265,South America,35,1299,7
12,Germany,1378518,,23692,,1003300,,351526,4735,16429,282,30494036,363427,83906898,Europe,61,3542,3
13,Mexico,1267202,11228,115099,801,938089,10335,214014,3778,9782,888,3235890,24978,129550707,North America,102,1126,40
14,Poland,1159901,12454,23914,605,892650,12902,243337,1732,30663,632,6768498,178931,37827522,Europe,33,1582,6
15,Iran,1131077,7603,52883,213,844430,11154,233764,5678,13388,626,6846781,81044,84482404,Asia,75,1598,12
16,Peru,987675,,36817,,922314,,28544,1078,29766,1110,5284292,159258,33180757,South America,34,901,6
17,Ukraine,919704,10622,15744,264,535417,12549,368543,177,21088,361,5125389,117522,43612312,Europe,47,2770,9
18,South Africa,873679,,23661,,764977,,85041,546,14647,397,5920574,99257,59649189,Africa,68,2521,10
19,Indonesia,636154,6725,19248,137,521984,5328,94922,,2315,70,6546376,23819,274842971,Asia,432,14279,42
20,Netherlands,628577,,10168,,N/A,N/A,N/A,524,36647,593,5253381,306279,17152286,Europe,27,1687,3
21,Belgium,611422,2211,18178,124,41973,273,551271,593,52651,1565,6384817,549811,11612751,Europe,19,639,2
22,Czechia,594148,7889,9882,54,516786,259,67480,585,55434,922,3405458,317729,10718109,Europe,18,1085,3
23,Iraq,577363,,12614,,511639,,53110,198,14210,310,3969282,97694,40629866,Asia,70,3221,10
24,Chile,575329,,15949,,548190,,11190,630,29979,831,5851663,304914,19191179,South America,33,1203,3
25,Romania,565758,,13698,,465050,,87010,1255,29500,714,4461315,232623,19178341,Europe,34,1400,4
26,Bangladesh,495841,1632,7156,27,429351,2622,59334,,2997,43,3022537,18270,165438217,Asia,334,23119,55
27,Canada,475214,,13659,,385975,,75580,596,12541,360,12691950,334939,37893336,North America,80,2774,3
28,Philippines,452988,1156,8833,21,419282,425,24873,708,4109,80,6291081,57065,110244803,Asia,243,12481,18
29,Pakistan,445977,2731,9010,105,388598,2265,48369,2510,2001,40,6136799,27540,222833568,Asia,500,24732,36
30,Morocco,403619,,6711,,362911,,33997,1078,10876,181,4220907,113741,37109906,Africa,92,5530,9
31,Switzerland,394453,5625,6295,29,311500,,76658,462,45425,725,3174906,365622,8683573,Europe,22,1379,3
32,Israel,363287,2657,3030,16,340145,1361,20112,392,39498,329,6816470,741115,9197590,Asia,25,3036,1
33,Saudi Arabia,360155,,6069,,350993,,3093,476,10273,173,10444186,297894,35060108,Asia,97,5777,3
