#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1765651,2850,108253,436,468316,1189082,18978,,,,,,North America
,Europe,1830749,82,165805,7,812585,852359,10925,,,,,,Europe
,South America,520526,438,26635,10,193751,300140,10583,,,,,,South America
,Asia,866418,2960,25890,37,501578,338950,5009,,,,,,Asia
,Africa,97404,414,3020,10,39425,54959,287,,,,,,Africa
,Oceania,8688,2,121,,8023,544,10,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5090157,6746,329739,500,2024329,2736089,45796,653,42.3,,,,All
1,USA,1593039,316,94941,5,370812,1127286,17815,4816,287,14173807,42849,330785250,North America
2,Russia,308705,,2972,,85392,220341,2300,2115,20,7578029,51930,145927633,Europe
3,Brazil,293357,,18894,,116683,157780,8318,1381,89,735224,3462,212389176,South America
4,Spain,279524,,27888,,196958,54678,1152,5979,596,3037840,64977,46752802,Europe
5,UK,248293,,35704,,N/A,N/A,1559,3660,526,2962227,43661,67846185,Europe
6,Italy,227364,,32330,,132282,62752,676,3760,535,3171719,52450,60471440,Europe
7,France,181575,,28132,,63354,90089,1794,2782,431,1384633,21218,65257613,Europe
8,Germany,178531,,8270,,156900,13361,1045,2132,99,3595059,42924,83754315,Europe
9,Turkey,152587,,4222,,113987,34378,877,1811,50,1696355,20138,84235031,Asia
10,Iran,126949,,7183,,98808,20958,2735,1514,86,731213,8719,83868516,Asia
11,India,112442,414,3438,4,45422,63582,,82,2,2615920,1898,1378455853,Asia
12,Peru,104020,,3024,,41968,59028,869,3160,92,715423,21733,32918409,South America
13,Canada,80142,,6031,,40776,33335,502,2126,160,1375126,36471,37704575,North America
14,Saudi Arabia,62545,,339,,33478,28728,276,1800,10,636178,18307,34750295,Asia
15,Mexico,56594,2248,6090,424,38876,11628,378,439,47,185755,1442,128777650,North America
16,Belgium,55983,,9150,,14847,31986,313,4833,790,720228,62174,11584014,Europe
17,Chile,53617,,544,,22504,30569,904,2808,28,409669,21451,19097583,South America
18,Pakistan,48091,2193,1017,32,14155,32919,111,218,5,429600,1949,220380264,Asia
19,Netherlands,44447,,5748,,N/A,N/A,275,2595,336,302395,17652,17130699,Europe
20,Qatar,37097,,16,,6600,30481,172,12902,6,170437,59276,2875313,Asia
21,Ecuador,34854,,2888,,3557,28409,191,1979,164,100248,5692,17611696,South America
22,Belarus,32426,,179,,11415,20832,92,3431,19,387673,41025,9449661,Europe
23,Sweden,31523,,3831,,4971,22721,352,3124,380,209900,20798,10092199,Europe
24,Switzerland,30658,,1892,,27800,966,55,3545,219,355393,41098,8647484,Europe
25,Portugal,29660,,1263,,6452,21945,93,2908,124,674000,66079,10199902,Europe
26,Singapore,29364,,22,,11207,18135,11,5024,4,294414,50369,5845139,Asia
27,Bangladesh,26738,,386,,5207,21145,1,163,2,203852,1239,164502000,Asia
28,UAE,26004,,233,,11809,13962,1,2633,24,1600923,162092,9876618,Asia
29,Ireland,24315,,1571,,21060,1684,54,4931,319,295626,59947,4931451,Europe
30,Poland,19739,,962,,8183,10594,160,521,25,674861,17829,37851101,Europe
31,Ukraine,19230,,564,,5955,12711,245,439,13,248529,5679,43761557,Europe
32,Indonesia,19189,,1242,,4575,13372,,70,5,211883,776,273192339,Asia
33,South Africa,18003,,339,,8950,8714,119,304,6,506861,8559,59222219,Africa
34,Colombia,17687,,630,,4256,12801,136,348,12,214536,4221,50820749,South America
35,Kuwait,17568,,124,,4885,12559,167,4121,29,256314,60123,4263192,Asia
36,Romania,17387,,1147,,10356,5884,198,903,60,332487,17271,19251223,Europe
37,Israel,16667,,279,,13504,2884,48,1929,32,522632,60492,8639658,Asia
38,Japan,16385,,771,,12286,3328,210,130,6,258277,2041,126518009,Asia
39,Austria,16353,,633,,14882,838,37,1817,70,379592,42174,9000647,Europe
40,Egypt,14229,,680,,3994,9555,41,139,7,135000,1322,102104567,Africa
41,Dominican Republic,13477,,446,,7142,5889,126,1244,41,59976,5535,10835483,North America
42,Philippines,13221,,842,,2932,9447,81,121,8,259172,2369,109411860,Asia
43,S. Korea,11122,12,264,1,10135,723,15,217,5,788684,15385,51264360,Asia
44,Denmark,11117,,554,,9536,1027,25,1920,96,490782,84765,5789943,Europe
45,Serbia,10833,,235,,5067,5531,13,1239,27,196881,22524,8741130,Europe
46,Panama,9977,,287,,6194,3496,72,2317,67,52641,12223,4306796,North America
47,Argentina,9283,,403,,2933,5947,154,206,9,112370,2489,45148586,South America
48,Czechia,8721,,304,,5830,2587,36,815,28,372341,34776,10706798,Europe
49,Norway,8281,,234,,32,8015,17,1529,43,223045,41179,5416449,Europe
50,Afghanistan,8145,,187,,930,7028,19,210,5,25700,662,38822151,Asia
51,Bahrain,7888,,12,,3568,4308,9,4656,7,255633,150906,1693992,Asia
52,Algeria,7542,,568,,3968,3006,22,172,13,,,43757106,Africa
53,Kazakhstan,7234,265,35,,3734,3465,31,386,2,591502,31545,18750814,Asia
54,Morocco,7133,,194,,4098,2841,1,194,5,104915,2846,36860148,Africa
55,Australia,7081,2,100,,6470,511,9,278,4,1137558,44670,25465832,Australia/Oceania
56,Malaysia,7009,,114,,5706,1189,11,217,4,471318,14584,32317999,Asia
57,Nigeria,6677,,200,,1840,4637,7,32,1.0,38231,186,205514164,Africa
58,Moldova,6553,,228,,2953,3372,251,1624,57,40565,10053,4034973,Europe
59,Finland,6443,,304,,4800,1339,20,1163,55,156200,28196,5539776,Europe
60,Ghana,6269,,31,,1898,4340,8,202,1,184343,5948,30994975,Africa
61,Oman,6043,,30,,1661,4352,31,1187,6,72000,14143,5090680,Asia
62,Armenia,5271,,67,,2419,2785,10,1779,23,44071,14876,2962634,Asia
63,Bolivia,4919,438,199,10,553,4167,3,422,17,14803,1270,11654518,South America
64,Luxembourg,3971,,109,,3728,134,6,6356,174,64018,102465,624780,Europe
65,Cameroon,3733,,146,,1595,1992,28,141,6,,,26464935,Africa
66,Iraq,3724,,134,,2438,1152,,93,3,149701,3732,40113204,Asia
67,Hungary,3641,43,473,3,1509,1659,27,377,49,147511,15266,9662990,Europe
68,Azerbaijan,3631,,43,,2253,1335,46,358,4,245609,24249,10128787,Asia
69,Sudan,3138,410,121,10,309,2708,,72,3,281,6,43724769,Africa
70,Honduras,3100,145,151,4,355,2594,13,314,15,11315,1145,9886106,North America
71,Thailand,3037,3,56,,2897,84,61,44,0.8,328073,4701,69780672,Asia
72,Uzbekistan,2950,11,13,,2372,565,5,88,0.4,460000,13767,33412612,Asia
73,Guinea,2863,,18,,1525,1320,18,219,1,10304,787,13088713,Africa
74,Greece,2850,,166,,1374,1310,22,273,16,139445,13372,10428469,Europe
75,Senegal,2714,,30,,1186,1498,6,163,2,24599,1474,16689519,Africa
76,Bosnia and Herzegovina,2338,,136,,1557,645,4,712,41,55624,16943,3282976,Europe
77,Bulgaria,2331,39,120,4,727,1484,33,335,17,70755,10175,6953938,Europe
78,Guatemala,2265,132,45,2,159,2061,5,127,3,20820,1165,17876171,North America
79,Croatia,2234,,96,,1978,160,8,544,23,57021,13881,4107943,Europe
80,Ivory Coast,2231,,29,,1083,1119,,85,1,19174,729,26298323,Africa
81,Tajikistan,2140,,41,,470,1629,,225,4,,,9511704,Asia
82,Cuba,1900,,79,,1573,248,8,168,7,87288,7706,11327367,North America
83,North Macedonia,1858,,110,,1367,381,21,892,53,22767,10928,2083383,Europe
84,Djibouti,1828,,9,,1052,767,,1853,9,20056,20334,986323,Africa
85,Iceland,1803,,10,,1789,4,,5287,29,57628,169000,340994,Europe
86,Estonia,1794,,64,,956,774,2,1352,48,72464,54631,1326438,Europe
87,DRC,1731,,61,,302,1368,,19,0.7,,,89219290,Africa
88,Lithuania,1577,,60,,1049,468,17,578,22,245580,90083,2726154,Europe
89,Somalia,1573,,61,,188,1324,2,99,4,,,15838153,Africa
90,El Salvador,1571,,32,1,537,1002,27,242,5,62838,9693,6482554,North America
91,Gabon,1567,,12,,365,1190,9,706,5,7966,3589,2219341,Africa
92,New Zealand,1503,,21,,1452,30,1,312,4,244838,50819,4817799,Australia/Oceania
93,Slovakia,1496,,28,,1231,237,3,274,5,148845,27264,5459353,Europe
94,Mayotte,1475,,19,,894,562,11,5423,70,5200,19117,272012,Africa
95,Slovenia,1468,,105,,1340,23,4,706,51,73319,35268,2078907,Europe
96,Kyrgyzstan,1313,43,14,,923,376,5,202,2,94441,14504,6511518,Asia
97,Maldives,1186,,4,,91,1091,9,2199,7,11775,21829,539417,Asia
98,Guinea-Bissau,1089,,6,,42,1041,,555,3,1500,764,1962338,Africa
99,Hong Kong,1056,,4,,1026,26,1,141,0.5,168291,22468,7490095,Asia
100,Tunisia,1045,,47,,862,136,3,89,4,43723,3704,11804462,Africa
101,Kenya,1029,,50,,366,613,1,19,0.9,49405,921,53628156,Africa
102,Sri Lanka,1028,,9,,584,435,1,48,0.4,47521,2220,21403273,Asia
103,Latvia,1016,,21,,694,301,3,538,11,92751,49117,1888351,Europe
104,Albania,964,,31,,758,175,1,335,11,12555,4362,2878137,Europe
105,Lebanon,961,,26,,251,684,4,141,4,65363,9572,6828703,Asia
106,Mali,931,,55,,543,333,,46,3,3483,173,20178087,Africa
107,Cyprus,922,,17,,516,389,10,764,14,90718,75199,1206368,Asia
108,Niger,920,,58,,738,124,,38,2,5909,245,24093552,Africa
109,Costa Rica,897,,10,,582,305,5,176,2,21299,4185,5088826,North America
110,Equatorial Guinea,890,,7,,22,861,,637,5,854,611,1397127,Africa
111,Paraguay,833,,11,,242,580,,117,2,21542,3025,7122422,South America
112,Zambia,832,,7,,197,628,1,45,0.4,19014,1038,18319980,Africa
113,Venezuela,824,,10,,262,552,1,29,0.4,616562,21676,28444595,South America
114,Burkina Faso,809,,52,,661,96,,39,2,,,20832244,Africa
115,Andorra,762,,51,,639,72,3,9864,660,3750,48543,77251,Europe
116,Uruguay,746,,20,,588,138,4,215,6,35630,10261,3472397,South America
117,Georgia,713,,12,,475,226,6,179,3,40711,10203,3989993,Asia
118,Diamond Princess,712,,13,,651,48,4,,,,,,
119,Jordan,672,,9,,446,217,5,66,0.9,152615,14975,10191568,Asia
120,San Marino,656,,41,,220,395,1,19338,1209,3700,109071,33923,Europe
121,Haiti,596,,22,,21,553,,52,2,2270,199,11386485,North America
122,Malta,584,,6,,465,113,1,1323,14,54866,124296,441413,Europe
123,Sierra Leone,570,,34,,205,331,,72,4,,,7957533,Africa
124,Chad,565,,57,,177,331,,35,3,,,16367109,Africa
125,Channel Islands,558,,45,,492,21,,3213,259,5342,30758,173681,Europe
126,Jamaica,529,9,9,,171,349,,179,3,9021,3048,2959730,North America
127,Tanzania,509,,21,,183,305,7,9,0.4,,,59522334,Africa
128,Runion,447,,1,,411,35,2,500,1,17200,19227,894592,Africa
129,Nepal,444,17,2,,45,397,1,15,0.07,110583,3803,29074659,Asia
130,Taiwan,440,,7,,402,31,,18,0.3,69876,2934,23812039,Asia
131,Congo,420,,15,,132,273,,76,3,,,5501474,Africa
132,CAR,418,,,,18,400,,87,,10837,2248,4819836,Africa
133,Palestine,398,,2,,346,50,,78,0.4,44876,8822,5087001,Asia
134,Ethiopia,389,,5,,122,262,,3,0.04,65760,574,114615025,Africa
135,Madagascar,371,,2,,131,238,,13,0.07,5670,205,27603501,Africa
136,Cabo Verde,349,,3,,85,261,,628,5,892,1606,555294,Africa
137,Togo,340,,12,,110,218,,41,1,14196,1720,8255121,Africa
138,Isle of Man,336,,24,,302,10,4,3954,282,4262,50151,84983,Europe
139,Mauritius,332,,10,,322,0,,261,8,95666,75237,1271536,Africa
140,Montenegro,324,,9,,312,3,2,516,14,10167,16188,628057,Europe
141,Vietnam,324,,,,264,60,2,3,,275000,2828,97239013,Asia
142,Rwanda,314,,,,216,98,,24,,53317,4129,12912915,Africa
143,South Sudan,290,,4,,4,282,,26,0.4,3356,300,11178612,Africa
144,Uganda,264,,,,65,199,,6,,77456,1700,45558511,Africa
145,Nicaragua,254,,17,,199,38,,38,3,,,6615470,North America
146,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218675,Africa
147,Liberia,238,,23,,128,87,,47,5,,,5043216,Africa
148,French Guiana,237,,1,,136,100,,796,3,,,297729,South America
149,Eswatini,217,,2,,97,118,,187,2,4160,3590,1158790,Africa
150,Myanmar,199,,6,,108,85,,4,0.1,15838,291,54368782,Asia
151,Martinique,192,,14,,91,87,,512,37,,,375297,North America
152,Faeroe Islands,187,,,,187,0,,3829,,8986,183981,48842,Europe
153,Yemen,184,,30,,5,149,,6,1,120,4,29746579,Asia
154,Mozambique,156,,,,48,108,,5,,6769,217,31146622,Africa
155,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400117,North America
156,Gibraltar,149,,,,145,4,,4422,,5615,166657,33692,Europe
157,Mauritania,141,,4,,7,130,,30,0.9,2583,557,4634593,Africa
158,Brunei,141,,1,,136,4,2,323,2,17718,40545,437001,Asia
159,Mongolia,140,,,,26,114,27,43,,11750,3591,3272084,Asia
160,Benin,130,,2,,57,71,,11,0.2,26431,2187,12084074,Africa
161,Guyana,125,,10,,47,68,3,159,13,1295,1647,786129,South America
162,Bermuda,125,,9,,80,36,2,2006,144,5719,91793,62303,North America
163,Cambodia,122,,,,122,0,,7,,15572,933,16692053,Asia
164,Trinidad and Tobago,116,,8,,107,1,,83,6,2785,1991,1398987,North America
165,Cayman Islands,111,,1,,55,55,,1691,15,7576,115430,65633,North America
166,Aruba,101,,3,,95,3,4,946,28,2048,19191,106716,North America
167,Bahamas,97,,11,,43,43,1,247,28,1826,4648,392816,North America
168,Monaco,97,,4,,90,3,1,2474,102,,,39211,Europe
169,Barbados,90,,7,,70,13,4,313,24,4322,15042,287336,North America
170,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38116,Europe
171,Sint Maarten,77,,15,,54,8,7,1798,350,425,9925,42820,North America
172,Malawi,71,,3,,27,41,1,4,0.2,1803,95,19069143,Africa
173,Libya,69,,3,,35,31,,10,0.4,3633,530,6860437,Africa
174,French Polynesia,60,,,,60,0,,214,,3686,13130,280726,Australia/Oceania
175,Syria,58,,3,,36,19,,3,0.2,,,17448736,Asia
176,Angola,52,,3,,17,32,,2,0.09,6136,187,32737396,Africa
177,Zimbabwe,48,,4,,18,26,,3,0.3,28019,1888,14837674,Africa
178,Macao,45,,,,45,0,,69,,,,648306,Asia
179,Burundi,42,,1,,20,21,,4,0.08,284,24,11846415,Africa
180,Saint Martin,40,,3,,33,4,1,1037,78,,,38588,North America
181,Eritrea,39,,,,39,0,,11,,,,3540712,Africa
182,Comoros,34,,1,,8,25,,39,1,,,867370,Africa
183,Botswana,29,4,1,,17,11,,12,0.4,14855,6332,2345938,Africa
184,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97837,North America
185,Gambia,24,,1,,13,10,,10,0.4,1476,613,2408228,Africa
186,Timor-Leste,24,,,,24,0,,18,,738,561,1315452,Asia
187,Grenada,22,,,,17,5,4,196,,3007,26737,112465,North America
188,Bhutan,21,,,,6,15,,27,,14527,18851,770633,Asia
189,Laos,19,,,,14,5,,3,,4743,653,7263242,Asia
190,Belize,18,,2,,16,0,,45,5,1363,3435,396771,North America
191,Fiji,18,,,,15,3,,20,,1300,1451,895713,Australia/Oceania
192,New Caledonia,18,,,,18,0,,63,,5454,19124,285185,Australia/Oceania
193,Saint Lucia,18,,,,18,0,,98,,786,4283,183534,North America
194,St. Vincent Grenadines,18,,,,14,4,,162,,175,1578,110901,North America
195,Curaao,16,,1,,14,1,,98,6,485,2957,164018,North America
196,Dominica,16,,,,16,0,,222,,433,6017,71966,North America
197,Namibia,16,,,,14,2,,6,,2586,1020,2535445,Africa
198,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7356,53157,North America
199,Falkland Islands,13,,,,13,0,,3750,,426,122873,3467,South America
200,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38656,North America
201,Vatican City,12,,,,2,10,,14981,,,,801,Europe
202,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992,North America
203,Suriname,11,,1,,9,1,,19,2,404,689,586035,South America
204,Greenland,11,,,,11,0,,194,,1767,31132,56759,North America
205,Seychelles,11,,,,11,0,,112,,,,98279,Africa
206,MS Zaandam,9,,2,,,7,,,,,,,
207,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30208,North America
208,Papua New Guinea,8,,,,8,0,,0.9,,2402,269,8926835,Australia/Oceania
209,Caribbean Netherlands,6,,,,6,0,,229,,357,13629,26195,North America
210,St. Barth,6,,,,6,0,,608,,,,9874,North America
211,Western Sahara,6,,,,6,0,,10,,,,595543,Africa
212,Anguilla,3,,,,3,0,,200,,,,14988,North America
213,Lesotho,1,,,,,1,,0.5,,,,2140328,Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797,North America
215,China,82967,2,4634,,78249,84,8,58,3,,,1439323776,Asia
,Total:,1765651,2850,108253,436,468316,1189082,18978,,,,,,North America
,Total:,1830749,82,165805,7,812585,852359,10925,,,,,,Europe
,Total:,520526,438,26635,10,193751,300140,10583,,,,,,South America
,Total:,866418,2960,25890,37,501578,338950,5009,,,,,,Asia
,Total:,97404,414,3020,10,39425,54959,287,,,,,,Africa
,Total:,8688,2,121,,8023,544,10,,,,,,Australia/Oceania
,Total:,721,,15,,651,55,4,,,,,,
,Total:,5090157,6746,329739,500,2024329,2736089,45796,653.0,42.3,,,,All
