Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1348588,1386,79700,254,249745,1019143,17362,,,,,North America
Europe,1494073,100,144114,12,568590,781369,16504,,,,,Europe
Asia,587772,580,20467,17,316778,250527,5258,,,,,Asia
South America,238196,1371,12023,42,82376,143797,9958,,,,,South America
Africa,50230,64,1919,2,16982,31329,128,,,,,Africa
Oceania,8467,28,118,2,7384,965,31,,,,,Australia/Oceania
,721,,15,,645,61,4,,,,,
World,3728047,3529,258356,329,1242500,2227191,49245,478,33.1,,,All
USA,1237633,,72271,,200628,964734,16179,3739,218,7727811,23347,North America
Spain,250561,,25613,,154718,70230,2254,5359,548,1932455,41332,Europe
Italy,213013,,29315,,85231,98467,1427,3523,485,2246666,37158,Europe
UK,194990,,29427,,N/A,165219,1559,2872,433,1383842,20385,Europe
France,170551,,25531,,52736,92284,3430,2613,391,1100228,16856,Europe
Germany,167007,,6993,,135100,24914,1937,1993,83,2547052,30400,Europe
Russia,155370,,1451,,19865,134054,2300,1065,10,4460357,30564,Europe
Turkey,129491,,3520,,73285,52686,1338,1535,42,1204421,14281,Asia
Brazil,115953,1238,7958,37,48221,59774,8318,546,37,339552,1597,South America
Iran,99970,,6340,,80475,13155,2685,1190,75,519543,6186,Asia
Canada,62046,,4043,,26993,31010,502,1644,107,940567,24921,North America
Peru,51189,,1444,,15413,34332,709,1553,44,406579,12331,South America
Belgium,50509,,8016,,12441,30052,646,4358,692,456194,39362,Europe
India,49436,36,1695,2,14183,33558,,36,1,1276781,925,Asia
Netherlands,41087,,5168,,N/A,35669,644,2398,302,235909,13768,Europe
Ecuador,31881,,1569,,3433,26879,159,1807,89,80171,4544,South America
Saudi Arabia,30251,,200,,5431,24620,143,869,6,376607,10818,Asia
Switzerland,30009,,1795,,25400,2814,121,3467,207,286403,33092,Europe
Mexico,26025,1120,2507,236,16810,6708,378,202,19,100041,776,North America
Portugal,25702,,1074,,1743,22885,134,2521,105,469435,46038,Europe
Sweden,23216,,2854,,4074,16288,435,2299,283,148500,14704,Europe
Pakistan,22550,501,526,12,6217,15807,111,102,2,232582,1053,Asia
Chile,22016,,275,,10710,11031,470,1152,14,222095,11618,South America
Ireland,21983,,1339,,13386,7258,93,4452,271,214761,43493,Europe
Singapore,19410,,18,,1519,17873,24,3318,3,143919,24600,Asia
Belarus,18350,,107,,3771,14472,92,1942,11,211369,22369,Europe
Qatar,17142,,12,,1924,15206,72,5950,4,109762,38098,Asia
Israel,16289,,238,,10465,5586,89,1882,27,417100,48189,Asia
Austria,15650,,606,,13462,1582,104,1738,67,285883,31742,Europe
Japan,15253,,556,,4496,10201,308,121,4,186343,1473,Asia
UAE,15192,,146,,3153,11893,1,1536,15,1200000,121330,Asia
Poland,14431,,716,,4280,9435,160,381,19,394270,10418,Europe
Romania,13837,,841,,5454,7542,244,719,44,205842,10700,Europe
Ukraine,12697,,316,,1875,10506,167,290,7,139759,3196,Europe
Indonesia,12071,,872,,2197,9002,,44,3,121547,444,Asia
Bangladesh,10929,,183,,1403,9343,1,66,1,93405,567,Asia
S. Korea,10806,2,255,1,9333,1218,55,211,5,643095,12543,Asia
Denmark,9821,,503,,7296,2022,49,1696,87,257738,44497,Europe
Philippines,9684,,637,,1408,7639,31,88,6,132689,1211,Asia
Serbia,9677,,200,,1723,7754,51,1108,23,111278,12736,Europe
Colombia,8613,,378,,2013,6222,128,169,7,127105,2498,South America
Dominican Republic,8480,,354,,1905,6221,144,782,33,33377,3077,North America
Norway,7955,,215,,32,7708,27,1467,40,189657,34984,Europe
Czechia,7896,,257,,4006,3633,59,737,24,269093,25128,Europe
South Africa,7572,,148,,2746,4678,36,128,2,268064,4520,Africa
Panama,7523,136,210,7,823,6490,88,1744,49,36483,8455,North America
Egypt,7201,,452,,1730,5019,,70,4,90000,879,Africa
Australia,6875,26,97,1,5975,803,27,270,4,684615,26848,Australia/Oceania
Malaysia,6383,,106,,4567,1710,24,197,3,213220,6588,Asia
Kuwait,5804,,40,,2032,3732,90,1359,9,196397,45988,Asia
Finland,5412,,246,,3500,1666,48,977,44,106300,19185,Europe
Morocco,5219,,181,,1838,3200,1,141,5,49570,1343,Africa
Argentina,5020,,264,,1472,3284,148,111,6,69718,1543,South America
Algeria,4838,,470,,2067,2301,22,110,11,6500,148,Africa
Moldova,4363,,136,,1544,2683,237,1082,34,20447,5069,Europe
Kazakhstan,4205,,29,,1279,2897,40,224,2,320411,17064,Asia
Luxembourg,3840,,96,,3412,332,22,6134,153,49299,78755,Europe
Bahrain,3720,,8,,1762,1950,1,2186,5,155501,91387,Asia
