Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1182483,31557,69422,2476,188160,924901,16491,,,,,North America
Europe,1372925,25545,135183,2236,503695,734047,18773,,,,,Europe
Asia,519926,12598,18605,328,265292,236029,5727,,,,,Asia
South America,176356,10542,8676,532,60058,107622,9804,,,,,South America
Oceania,8331,9,110,2,7035,1186,37,,,,,Australia/Oceania
Africa,39484,1792,1630,38,13028,24826,122,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3300226,82043,233641,5612,1037913,2028672,50958,423,30.0,,,All
USA,1092656,28462,63765,2110,151774,877117,15226,3301,193,6332995,19133,North America
Spain,239639,2740,24543,268,137984,77112,2676,5125,525,1455306,31126,Europe
Italy,205463,1872,27967,285,75945,101551,1694,3398,463,1979217,32735,Europe
UK,171253,6032,26771,674,N/A,144138,1559,2523,394,901905,13286,Europe
France,167178,758,24376,289,49476,93326,4019,2561,373,724574,11101,Europe
Germany,162530,991,6572,105,123500,32458,2415,1940,78,2547052,30400,Europe
Turkey,120204,2615,3174,93,48886,68144,1514,1425,38,1033617,12255,Asia
Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,Europe
Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516,Asia
Brazil,85380,6019,5901,390,35935,43544,8318,402,28,339552,1597,South America
Canada,53021,1424,3180,184,21198,28643,557,1405,84,788283,20886,North America
Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,Europe
Netherlands,39316,514,4795,84,N/A,34271,783,2295,280,219744,12824,Europe
Peru,36976,3045,1051,108,10405,25520,651,1121,32,318252,9652,South America
India,34862,1800,1154,75,9068,24640,,25,0.8,830201,602,Asia
Switzerland,29586,179,1737,21,23400,4449,167,3419,201,266200,30758,Europe
Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814,Europe
Ecuador,24934,259,900,17,1558,22476,146,1413,51,69054,3914,South America
Saudi Arabia,22753,1351,162,5,3163,19428,123,654,5,200000,5745,Asia
Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833,Europe
Ireland,20612,359,1232,42,13386,5994,123,4174,250,153954,31179,Europe
Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,North America
Pakistan,16473,948,361,18,4105,12007,111,75,2,174160,788,Asia
Singapore,16169,528,15,1,1244,14910,22,2764,3,143919,24600,Asia
Chile,16023,1138,227,11,8580,7216,392,838,12,180517,9443,South America
Israel,15946,112,222,7,8561,7163,105,1842,26,364467,42108,Asia
Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,Europe
Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692,Europe
Japan,13965,70,425,12,2368,11172,306,110,3,164255,1299,Asia
Qatar,13409,845,10,,1372,12027,72,4654,3,94500,32801,Asia
Poland,12877,237,644,20,3236,8997,160,340,17,338027,8931,Europe
UAE,12481,552,105,7,2429,9947,1,1262,11,1122000,113443,Asia
Romania,12240,262,717,24,4017,7506,221,636,37,175374,9116,Europe
S. Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091,Asia
Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558,Europe
Indonesia,10118,347,792,8,1522,7804,,37,3,94599,346,Asia
Denmark,9158,150,452,9,6546,2160,62,1581,78,193165,33349,Europe
Serbia,9009,285,179,6,1343,7487,71,1031,20,85645,9802,Europe
Philippines,8488,276,568,10,1043,6877,31,77,5,104146,950,Asia
Norway,7738,28,210,3,32,7496,37,1427,39,172586,31835,Europe
Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393,Asia
Czechia,7642,63,235,8,3281,4126,68,714,22,242088,22606,Europe
Dominican Republic,6972,320,301,8,1301,5370,144,643,28,25368,2339,North America
Australia,6753,7,91,2,5715,947,34,265,4,563641,22104,Australia/Oceania
Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915,North America
Colombia,6211,4,278,,1411,4522,118,122,5,95085,1869,South America
Malaysia,6002,57,102,2,4171,1729,40,185,3,160296,4953,Asia
South Africa,5647,297,103,,2073,3471,36,95,2,207530,3499,Africa
Egypt,5537,269,392,12,1381,3764,,54,4,90000,879,Africa
Finland,4995,89,211,5,3000,1784,48,902,38,93900,16947,Europe
Morocco,4423,102,170,2,984,3269,1,120,5,34841,944,Africa
Argentina,4285,,216,2,1256,2813,157,95,5,56058,1240,South America
Kuwait,4024,284,26,2,1539,2459,66,942,6,179000,41915,Asia
Algeria,4006,158,450,6,1779,1777,22,91,10,6500,148,Africa
Moldova,3897,126,116,5,1182,2599,237,966,29,11763,2916,Europe
Luxembourg,3784,15,90,1,3213,481,23,6045,144,42643,68122,Europe
Kazakhstan,3402,264,25,,866,2511,41,181,1,249527,13289,Asia
Bahrain,3040,119,8,,1500,1532,1,1787,5,129694,76220,Asia
Thailand,2954,7,54,,2684,216,61,42,0.8,178083,2551,Asia
Hungary,2775,48,312,12,581,1882,54,287,32,72951,7552,Europe
Greece,2591,15,140,1,1374,1077,38,249,13,75170,7212,Europe
Oman,2348,74,11,1,495,1842,17,460,2,40459,7923,Asia
Afghanistan,2171,232,64,4,260,1847,7,56,2,10022,257,Asia
Iraq,2085,82,93,1,1375,617,,52,2,92061,2289,Asia
Croatia,2076,14,69,2,1348,659,20,506,17,36221,8823,Europe
Ghana,2074,403,17,1,212,1845,4,67,0.5,113497,3653,Africa
Armenia,2066,134,32,2,929,1105,10,697,11,21125,7129,Asia
Uzbekistan,2039,37,9,,1133,897,8,61,0.3,242536,7247,Asia
Cameroon,1832,,61,,934,837,12,69,2,,,Africa
Azerbaijan,1804,38,24,1,1325,455,17,178,2,143079,14112,Asia
Iceland,1797,,10,,1670,117,,5266,29,48413,141873,Europe
Bosnia and Herzegovina,1757,80,69,4,727,961,4,536,21,30793,9386,Europe
Nigeria,1728,,51,,307,1370,2,8,0.2,13689,66,Africa
Estonia,1689,23,52,2,249,1388,9,1273,39,52741,39758,Europe
Bulgaria,1506,59,66,2,266,1174,40,217,9,45208,6506,Europe
Cuba,1501,34,61,3,681,759,10,133,5,47347,4180,North America
Guinea,1495,144,7,,329,1159,,114,0.5,,,Africa
New Zealand,1476,2,19,,1241,216,1,306,4,134570,27906,Australia/Oceania
North Macedonia,1465,23,77,4,738,650,13,703,37,16050,7704,Europe
Slovenia,1429,11,91,2,233,1105,22,687,44,52948,25469,Europe
Slovakia,1396,5,23,1,524,849,8,256,4,85922,15738,Europe
Lithuania,1385,10,45,,589,751,17,509,17,125555,46121,Europe
Ivory Coast,1275,37,14,,574,687,,48,0.5,9657,366,Africa
Bolivia,1110,57,59,4,117,934,3,95,5,5791,496,South America
Djibouti,1089,12,2,,642,445,,1102,2,13422,13585,Africa
Hong Kong,1038,,4,,846,188,4,138,0.5,154989,20674,Asia
Tunisia,980,,40,,294,646,20,83,3,22062,1867,Africa
Senegal,933,51,9,,334,590,1,56,0.5,466,28,Africa
Latvia,858,9,15,,348,495,3,455,8,57886,30689,Europe
Cyprus,850,7,15,,148,687,15,704,12,58109,48129,Asia
Albania,773,7,31,1,470,272,4,269,11,8253,2868,Europe
Honduras,771,33,71,5,79,621,10,78,7,3643,368,North America
Kyrgyzstan,746,17,8,,462,276,12,114,1,51472,7889,Asia
Andorra,745,2,42,,468,235,17,9642,544,1673,21653,Europe
Lebanon,725,4,24,,150,551,44,106,4,34499,5054,Asia
Costa Rica,719,6,6,,323,390,8,141,1,13117,2575,North America
Niger,713,,32,,435,246,,29,1,5148,213,Africa
Diamond Princess,712,,13,,645,54,4,,,,,
Sri Lanka,663,14,7,,154,502,1,31,0.3,21157,988,Asia
Burkina Faso,645,4,43,,506,96,,31,2,,,Africa
Uruguay,630,5,15,,412,203,11,181,4,19016,5474,South America
Somalia,601,19,28,,31,542,2,38,2,,,Africa
Guatemala,585,28,16,,65,504,5,33,0.9,7200,402,North America
San Marino,569,6,41,,78,450,6,16769,1208,2305,67932,Europe
Georgia,539,22,6,,184,349,6,135,2,14718,3689,Asia
Mayotte,539,79,4,,235,300,4,1976,15,3000,10996,Africa
Channel Islands,537,,40,2,386,111,,3089,230,5342,30725,Europe
