#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1714105,3105,104306,170,447819,1161980,18032,,,,,,North America
,Europe,1808627,11099,163804,185,789973,854850,11375,,,,,,Europe
,South America,461372,175,24120,5,162633,274619,10478,,,,,,South America
,Asia,825630,6695,25223,112,473617,326790,4580,,,,,,Asia
,Africa,90080,,2850,1,34879,52351,285,,,,,,Africa
,Oceania,8675,12,121,1,7956,598,13,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4909210,21086,320439,474,1917528,2671243,44767,630,41.1,,,,All
1,USA,1550539,245,91985,4,356383,1102171,16868,4688,278,12300744,37188,330774664,North America
2,Russia,299941,9263,2837,115,76130,220974,2300,2055,19,7352316,50383,145927292,Europe
3,Spain,278188,,27709,,196958,53521,1152,5950,593,3037840,64977,46752703,Europe
4,Brazil,255368,,16853,,100459,138056,8318,1202,79,735224,3462,212380932,South America
5,UK,246406,,34796,,N/A,N/A,1559,3632,513,2682716,39542,67844241,Europe
6,Italy,225886,,32007,,127326,66553,749,3735,529,3041366,50294,60471924,Europe
7,France,179927,,28239,,61728,89960,1998,2757,433,1384633,21218,65256826,Europe
8,Germany,177289,,8123,,155700,13466,1133,2117,97,3147771,37584,83752855,Europe
9,Turkey,150593,,4171,,111577,34845,903,1788,50,1650135,19591,84230075,Asia
10,Iran,122492,,7057,,95661,19774,2294,1461,84,701640,8367,83862642,Asia
11,India,101261,933,3164,8,39233,58864,,73,2,2404267,1744,1378381772,Asia
12,Peru,94933,,2789,,30306,61838,866,2884,85,661132,20085,32915899,South America
13,Canada,78072,,5842,,39228,33002,502,2071,155,1323371,35100,37702769,North America
14,Saudi Arabia,57345,,320,,28748,28277,237,1650,9,601954,17324,34747330,Asia
15,Belgium,55791,232,9108,28,14687,31996,345,4816,786,709818,61277,11583739,Europe
16,Mexico,51633,2414,5332,155,35388,10913,378,401,41,177133,1376,128770253,North America
17,Chile,46059,,478,,20165,25416,807,2412,25,381011,19952,19096687,South America
18,Netherlands,44141,,5694,,N/A,N/A,323,2577,332,297347,17358,17130492,Europe
19,Pakistan,43966,1841,939,36,12489,30538,111,200,4,400292,1817,220356788,Asia
20,Qatar,33969,,15,,4899,29055,172,11815,5,161695,56241,2875047,Asia
21,Ecuador,33582,,2799,,3433,27350,186,1907,159,96536,5482,17610231,South America
22,Belarus,31508,936,175,4,10620,20713,92,3334,19,375076,39692,9449678,Europe
23,Switzerland,30597,,1886,,27600,1111,57,3538,218,345760,39985,8647139,Europe
24,Sweden,30377,,3698,,4971,21708,287,3010,366,177500,17588,10091856,Europe
25,Portugal,29209,,1231,,6430,21548,105,2864,121,652497,63970,10200063,Europe
26,Singapore,28794,451,22,,9835,18937,12,4926,4,246254,42132,5844888,Asia
27,Bangladesh,25121,1251,370,21,4993,19758,1,153,2,193645,1177,164493041,Asia
28,Ireland,24200,,1547,,19470,3183,54,4908,314,258808,52484,4931150,Europe
29,UAE,24190,,224,,9577,14389,1,2449,23,1600923,162103,9875965,Asia
30,Poland,19080,195,941,5,7903,10236,160,504,25,636046,16804,37851327,Europe
31,Ukraine,18876,260,548,13,5632,12696,245,431,13,239961,5483,43762985,Europe
32,Indonesia,18496,486,1221,30,4467,12808,,68,4,190660,698,273176544,Asia
33,Romania,17036,,1124,4,9930,5982,193,885,58,313621,16290,19251921,Europe
34,Israel,16650,7,277,1,13299,3074,51,1927,32,505702,58538,8638917,Asia
35,South Africa,16433,,286,,7298,8849,119,277,5,475071,8022,59218133,Africa
36,Austria,16321,52,632,3,14678,1011,39,1813,70,372435,41380,9000366,Europe
37,Japan,16305,,749,,11564,3992,228,129,6,250151,1977,126520115,Asia
38,Colombia,16295,,592,,3903,11800,136,321,12,201808,3971,50817787,South America
39,Kuwait,15691,,118,,4339,11234,161,3681,28,248314,58251,4262847,Asia
40,Philippines,12942,224,837,6,2843,9262,81,118,8,244800,2238,109403890,Asia
41,Egypt,12764,,645,,3440,8679,41,125,6,135000,1322,102094004,Africa
42,Dominican Republic,12725,,434,,6613,5678,127,1174,40,50108,4625,10834889,North America
43,S. Korea,11078,13,263,,9938,877,55,216,5,765574,14934,51264120,Asia
44,Denmark,11044,76,548,,9301,1195,26,1907,95,475096,82057,5789832,Europe
45,Serbia,10699,,231,,4799,5669,16,1224,26,185385,21208,8741321,Europe
46,Panama,9726,120,279,4,6081,3366,72,2258,65,51105,11867,4306425,North America
47,Czechia,8594,8,299,2,5641,2654,33,803,28,356515,33298,10706690,Europe
48,Argentina,8371,,382,,2625,5364,154,185,8,105829,2344,45146322,South America
49,Norway,8257,,233,,32,7992,18,1524,43,218039,40257,5416217,Europe
50,Afghanistan,7653,581,178,5,850,6625,19,197,5,24697,636,38817349,Asia
51,Algeria,7201,,555,,3625,3021,22,165,13,6500,149,43752773,Africa
52,Bahrain,7184,,12,,2931,4241,8,4242,7,243031,143494,1693667,Asia
53,Australia,7068,8,100,1,6413,555,11,278,4,1084030,42571,25464216,Australia/Oceania
54,Malaysia,6978,37,114,1,5646,1218,11,216,4,443263,13717,32315733,Asia
55,Morocco,6952,,192,,3758,3002,1,189,5,94595,2566,36857758,Africa
56,Kazakhstan,6751,311,35,,3469,3247,31,360,2,553062,29497,18749587,Asia
57,Finland,6380,,300,,5000,1080,34,1152,54,149700,27023,5539729,Europe
58,Nigeria,6175,,191,,1644,4340,7,30,0.9,35345,172,205486161,Africa
59,Moldova,6138,,217,,2425,3496,251,1521,54,20447,5067,4035024,Europe
60,Ghana,5735,,29,,1754,3952,5,185,0.9,173096,5585,30991423,Africa
61,Oman,5671,292,26,1,1574,4071,31,1114,5,61000,11984,5089968,Asia
62,Armenia,5041,218,64,3,2164,2813,10,1702,22,43041,14528,2962604,Asia
63,Bolivia,4263,175,174,5,503,3586,3,366,15,14803,1270,11653648,South America
64,Luxembourg,3947,,107,,3715,125,8,6318,171,62260,99660,624724,Europe
65,Hungary,3556,21,467,5,1412,1677,46,368,48,138697,14353,9663123,Europe
66,Iraq,3554,,127,,2310,1117,,89,3,149701,3732,40108260,Asia
67,Cameroon,3529,,140,,1567,1822,28,133,5,,,26461313,Africa
68,Azerbaijan,3387,,40,,2055,1292,37,334,4,235910,23292,10128288,Asia
69,Thailand,3033,2,56,,2857,120,61,43,0.8,286008,4099,69779718,Asia
70,Greece,2836,,165,,1374,1297,24,272,16,131684,12627,10428746,Europe
71,Uzbekistan,2802,11,13,,2314,475,6,84,0.4,460000,13768,33409960,Asia
72,Honduras,2798,152,146,4,340,2312,14,283,15,10775,1090,9885245,North America
73,Guinea,2796,,16,,1263,1517,18,214,1,10304,787,13086759,Africa
74,Sudan,2591,,105,,247,2239,,59,2,,,43719159,Africa
75,Senegal,2544,,26,,1076,1442,6,152,2,24599,1474,16687100,Africa
76,Bosnia and Herzegovina,2304,,133,,1464,707,4,702,41,51320,15632,3283087,Europe
