#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
123,Jamaica,509,,9,,118,382,,172,3,7780,2629,2959518,North America
124,Venezuela,455,,10,,220,225,2,16,0.4,535742,18834,28445910,South America
125,Sierra Leone,447,39,27,1,97,323,,56,3,,,7954868,Africa
126,Runion,441,1,,,354,87,4,493,,17200,19229,894487,Africa
127,Taiwan,440,,7,,387,46,,18,0.3,68659,2883,23811335,Asia
128,Chad,428,29,48,2,88,292,,26,3,,,16359351,Africa
129,Congo,391,,15,,87,289,,71,3,,,5499241,Africa
130,Palestine,375,,2,,315,58,,74,0.4,43566,8567,5085052,Asia
131,Benin,339,,2,,83,254,,28,0.2,25471,2109,12078851,Africa
132,Isle of Man,334,2,24,1,285,25,10,3931,282,4032,47449,84975,Europe
133,Mauritius,332,,10,,322,0,,261,8,69773,54874,1271502,Africa
134,Cabo Verde,326,11,2,,67,257,,587,4,791,1425,555195,Africa
135,Montenegro,324,,9,,311,4,2,516,14,10167,16188,628056,Europe
136,Vietnam,312,,,,260,52,2,3,,275000,2829,97224670,Asia
137,Ethiopia,287,15,5,,112,170,,3,0.04,48985,428,114568201,Africa
138,Rwanda,287,,,,177,110,,22,,46198,3579,12907635,Africa
139,Haiti,273,39,20,2,18,235,,24,2,1502,132,11384207,North America
140,Nepal,267,18,,,36,231,,9,,87008,2993,29066056,Asia
141,Togo,263,25,11,,96,156,,32,1,12040,1459,8251932,Africa
142,Madagascar,238,8,,,112,126,1,9,,5670,205,27591793,Africa
143,South Sudan,236,33,4,4,4,228,,21,0.4,3356,300,11176461,Africa
144,Sao Tome and Principe,235,,7,,4,224,,1075,32,175,801,218608,Africa
145,Liberia,219,4,20,,108,91,,43,4,,,5041262,Africa
146,Eswatini,190,3,2,,66,122,,164,2,4160,3591,1158593,Africa
147,Martinique,189,,14,,91,84,2,504,37,,,375301,North America
148,Faeroe Islands,187,,,,187,0,,3829,,8779,179754,48839,Europe
149,Myanmar,181,,6,,89,86,,3,0.1,12995,239,54362812,Asia
150,French Guiana,164,,1,,124,39,,551,3,,,297602,South America
151,Uganda,160,,,,63,97,,4,,67559,1484,45534716,Africa
152,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400115,North America
153,Gibraltar,147,,,,144,3,,4363,,4750,140983,33692,Europe
154,CAR,143,,,,10,133,,30,,3498,726,4818458,Africa
155,Brunei,141,,1,,134,6,2,323,2,16523,37816,436933,Asia
156,Bermuda,122,,9,,66,47,2,1958,144,4691,75290,62306,North America
157,Cambodia,122,,,,121,1,1,7,,14615,876,16688259,Asia
158,Mozambique,119,4,,,42,77,,4,,5361,172,31132211,Africa
159,Trinidad and Tobago,116,,8,,107,1,,83,6,2597,1856,1398913,North America
160,Guyana,113,,10,,42,61,3,144,13,1052,1338,786067,South America
161,Yemen,106,21,15,3,1,90,,4,0.5,120,4,29735785,Asia
162,Aruba,101,,3,,93,5,4,947,28,1937,18152,106708,North America
163,Mongolia,98,37,,,20,78,2,30,,10162,3106,3271218,Asia
164,Bahamas,96,,11,,41,44,1,244,28,1700,4328,392754,North America
165,Monaco,96,,4,,87,5,1,2449,102,,,39206,Europe
166,Cayman Islands,94,1,1,,55,38,3,1432,15,5900,89912,65620,North America
167,Barbados,85,,7,,65,13,4,296,24,3480,12111,287331,North America
168,Liechtenstein,82,,1,,55,26,,2151,26,900,23613,38114,Europe
169,Sint Maarten,76,,15,,46,15,7,1775,350,329,7685,42812,North America
