#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1791759,28958,109607,1790,480131,1202021,18986,,,,,,North America
,Europe,1848303,17636,166805,1007,826637,854861,10751,,,,,,Europe
,South America,535188,15100,27255,630,197156,310777,10656,,,,,,South America
,Asia,887218,23760,26238,385,515285,345695,4882,,,,,,Asia
,Africa,101325,4335,3100,90,40486,57739,285,,,,,,Africa
,Oceania,8688,2,121,,8025,542,10,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5173202,89791,333141,3902,2068371,2771690,45574,664,42.7,,,,All
1,USA,1617655,24932,96178,1242,381513,1139964,17842,4890,291,13380626,40451,330785250,North America
2,Russia,317554,8849,3099,127,92681,221774,2300,2176,21,7840880,53731,145927633,Europe
3,Brazil,298206,4849,19271,377,116683,162252,8318,1404,91,735224,3462,212389176,South America
4,Spain,280117,593,27940,52,196958,55219,1152,5991,598,3037840,64977,46752802,Europe
5,UK,250908,2615,36042,338,N/A,N/A,1559,3698,531,3090566,45553,67846185,Europe
6,Italy,228006,642,32486,156,134560,60960,640,3770,537,3243398,53635,60471440,Europe
7,France,181826,251,28215,83,63858,89753,1745,2786,432,1384633,21218,65257613,Europe
8,Germany,179021,490,8309,39,158000,12712,1016,2137,99,3595059,42924,83754315,Europe
9,Turkey,153548,961,4249,27,114990,34309,820,1823,50,1729988,20538,84235031,Asia
10,Iran,129341,2392,7249,66,100564,21528,2655,1542,86,746045,8895,83868516,Asia
11,India,118226,6198,3584,150,48553,66089,,86,3,2615920,1898,1378455853,Asia
12,Peru,108769,4749,3148,124,43587,62034,886,3304,96,736500,22373,32918409,South America
13,Canada,81279,1137,6145,114,41623,33511,502,2156,163,1375126,36471,37704575,North America
14,Saudi Arabia,65077,2532,351,12,36040,28686,281,1873,10,651158,18738,34750295,Asia
15,Chile,57581,3964,589,45,23992,33000,943,3015,31,426003,22307,19097583,South America
16,Mexico,56594,2248,6090,424,38876,11628,378,439,47,185755,1442,128777650,North America
17,Belgium,56235,252,9186,36,14988,32061,277,4855,793,739146,63807,11584014,Europe
18,Pakistan,48091,2193,1017,32,14155,32919,111,218,5,429600,1949,220380264,Asia
19,Netherlands,44700,253,5775,27,N/A,N/A,255,2609,337,302395,17652,17130699,Europe
20,Qatar,38651,1554,17,1,7288,31346,171,13442,6,175482,61031,2875313,Asia
21,Ecuador,35306,452,2939,51,3557,28810,191,2005,167,101580,5768,17611696,South America
22,Belarus,33371,945,185,6,12057,21129,92,3531,20,403236,42672,9449661,Europe
23,Sweden,32172,649,3871,40,4971,23330,352,3188,384,209900,20798,10092199,Europe
24,Switzerland,30694,36,1898,6,27900,896,55,3549,219,361692,41826,8647484,Europe
25,Portugal,29912,252,1277,14,6452,22183,93,2933,125,674000,66079,10199902,Europe
26,Singapore,29812,448,23,1,12117,17672,10,5100,4,294414,50369,5845139,Asia
27,Bangladesh,28511,1773,408,22,5602,22501,1,173,2,214114,1302,164502000,Asia
28,UAE,26898,894,237,4,12755,13906,1,2723,24,1600923,162092,9876618,Asia
29,Ireland,24391,76,1583,12,21060,1748,54,4946,321,295626,59947,4931451,Europe
30,Indonesia,20162,973,1278,36,4838,14046,,74,5,219975,805,273192339,Asia
31,Poland,20143,404,972,10,8452,10719,160,532,26,697230,18420,37851101,Europe
32,Ukraine,19706,476,579,15,6227,12900,249,450,13,257890,5893,43761557,Europe
33,South Africa,19137,1134,369,30,8950,9818,119,323,6,525433,8872,59222219,Africa
34,Kuwait,18609,1041,129,5,5205,13275,181,4365,30,261071,61238,4263192,Asia
35,Colombia,18330,643,652,22,4431,13247,136,361,13,214536,4221,50820749,South America
36,Romania,17585,198,1156,9,10581,5848,203,913,60,342466,17789,19251223,Europe
37,Israel,16683,16,279,,13724,2680,47,1931,32,524584,60718,8639658,Asia
38,Austria,16404,51,633,,14951,820,32,1823,70,385637,42845,9000647,Europe
39,Japan,16385,,771,,12286,3328,210,130,6,258277,2041,126518009,Asia
40,Egypt,15003,774,696,16,4217,10090,41,147,7,135000,1322,102104567,Africa
41,Dominican Republic,13657,180,448,2,7366,5843,113,1260,41,61330,5660,10835483,North America
42,Philippines,13434,213,846,4,3000,9588,81,123,8,267417,2444,109411860,Asia
43,Denmark,11182,65,561,7,9643,978,23,1931,97,504266,87093,5789943,Europe
44,S. Korea,11122,12,264,1,10135,723,15,217,5,788684,15385,51264360,Asia
45,Serbia,10919,86,237,2,5370,5312,12,1249,27,203799,23315,8741130,Europe
46,Panama,9977,,287,,6194,3496,72,2317,67,52641,12223,4306796,North America
47,Argentina,9283,,404,1,3032,5847,171,206,9,116689,2585,45148586,South America
48,Czechia,8743,22,306,2,5922,2515,36,817,29,379750,35468,10706798,Europe
49,Afghanistan,8676,531,193,6,938,7545,19,223,5,26707,688,38822151,Asia
50,Norway,8301,20,235,1,32,8034,14,1533,43,223045,41179,5416449,Europe
51,Bahrain,8174,286,12,,3873,4289,9,4825,7,262107,154727,1693992,Asia
