#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1956863,4237,118830,484,612870,1225163,18316,,,,,,North America
,South America,720265,632,35436,6,287513,397316,11037,,,,,,South America
,Europe,1959515,9432,170877,246,942062,846576,9509,,,,,,Europe
,Asia,1034359,8204,28802,121,606486,399071,13740,,,,,,Asia
,Africa,126969,331,3722,12,52809,70438,349,,,,,,Africa
,Oceania,8758,11,125,1,8154,479,5,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5807450,22847,357807,870,2510545,2939098,52960,745,45.9,,,,All
1,USA,1745911,108,102114,7,490151,1153646,17166,5277,309,15877027,47993,330822304,North America
2,Brazil,414661,,25697,,166647,222317,8318,1952,121,871839,4104,212418030,South America
3,Russia,379051,8371,4142,174,150993,223916,2300,2598,28,9701280,66480,145928826,Europe
4,Spain,283849,,27118,,196958,59773,854,6071,580,3556567,76071,46753147,Europe
5,UK,267240,,37460,,N/A,N/A,1559,3939,552,3798490,55981,67852992,Europe
6,Italy,231139,,33072,,147101,50966,505,3822,547,3607251,59654,60469746,Europe
7,France,182913,,28596,,66584,87733,1501,2803,438,1384633,21217,65260368,Europe
8,Germany,181895,,8533,,163200,10162,763,2172,102,3952971,47194,83759426,Europe
9,Turkey,159797,,4431,,122793,32573,723,1897,53,1894650,22488,84252379,Asia
10,India,158897,811,4540,6,67901,86456,8944,115,3,3362136,2439,1378715135,Asia
11,Iran,141591,,7564,,111176,22851,2551,1688,90,856546,10210,83889077,Asia
12,Peru,135905,,3983,,56169,75753,926,4127,121,905278,27493,32927196,South America
13,Canada,87519,,6765,,46164,34590,502,2321,179,1530931,40597,37710897,North America
14,Chile,82289,,841,,33540,47908,1251,4308,44,514523,26937,19100718,South America
15,Saudi Arabia,78541,,425,,51022,27094,384,2259,12,754268,21699,34760671,Asia
16,Mexico,78023,3463,8597,463,54383,15043,378,606,67,244858,1901,128803542,North America
17,Pakistan,61227,2076,1260,35,20231,39736,111,278,6,508086,2305,220462432,Asia
18,Belgium,57849,257,9388,24,15572,32889,208,4993,810,818807,70678,11584977,Europe
19,Qatar,48947,,30,,13283,35634,203,17018,10,201180,69945,2876244,Asia
20,Netherlands,45768,,5871,,N/A,N/A,188,2672,343,335524,19585,17131422,Europe
21,Bangladesh,40321,2029,559,15,8425,31337,1,245,3,275776,1676,164533357,Asia
22,Belarus,38956,,214,,15923,22819,92,4123,23,485534,51381,9449602,Europe
23,Ecuador,38103,,3275,,18425,16403,219,2163,186,109541,6218,17616823,South America
24,Sweden,35088,,4220,,4971,25897,264,3476,418,238800,23659,10093401,Europe
25,Singapore,33249,373,23,,17276,15950,7,5687,4,334691,57251,5846018,Asia
26,UAE,31969,,255,,16371,15343,1,3236,26,2072493,209790,9878903,Asia
27,Portugal,31292,,1356,,18349,11587,66,3068,133,764093,74916,10199336,Europe
28,Switzerland,30776,,1917,,28300,559,42,3558,222,380671,44015,8648693,Europe
29,South Africa,25937,,552,,13451,11934,128,438,9,634996,10720,59236519,Africa
30,Ireland,24803,,1631,,22089,1083,54,5028,331,325795,66051,4932505,Europe
31,Indonesia,24538,687,1496,23,6240,16802,,90,5,278411,1019,273247624,Asia
32,Colombia,24104,,803,,6111,17190,136,474,16,283346,5574,50831115,South America
33,Kuwait,23267,,175,,7946,15146,193,5456,41,278945,65412,4264401,Asia
34,Poland,22600,127,1030,2,10560,11010,160,597,27,824774,21790,37850312,Europe
35,Ukraine,22382,477,669,11,8439,13274,263,512,15,322746,7376,43756559,Europe
