#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,2025181,13205,122684,722,651728,1250769,19466,,,,,,North America
,South America,805790,5736,38313,135,329699,437778,11247,,,,,,South America
,Europe,2001557,14650,173211,680,977753,850593,8842,,,,,,Europe
,Asia,1105108,24674,30138,472,670268,404702,13644,,,,,,Asia
,Africa,139099,1555,3973,28,58924,76202,352,,,,,,Africa
,Oceania,8794,12,125,,8188,481,4,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,6086250,59832,368459,2037,2697211,3020580,53559,781,47.3,,,,All
1,USA,1802086,8556,104783,241,520928,1176375,17203,5447,317,16908725,51110,330832890,North America
2,Brazil,469510,1172,28015,71,193181,248314,8318,2210,132,930013,4378,212426274,South America
3,Russia,396575,8952,4555,181,167469,224551,2300,2718,31,10316200,70693,145929167,Europe
4,Spain,285644,,27121,,196958,61565,617,6110,580,3556567,76071,46753246,Europe
5,UK,272826,1604,38376,215,N/A,N/A,1559,4021,566,4043686,59593,67854937,Europe
6,Italy,232664,416,33340,111,155633,43691,450,3848,551,3824621,63249,60469262,Europe
7,France,186835,,28714,,67803,90318,1361,2863,440,1384633,21217,65261155,Europe
8,Germany,183139,120,8598,4,164900,9641,729,2186,103,3952971,47194,83760886,Europe
9,India,181401,7910,5170,190,86668,89563,8944,132,4,3611599,2619,1378789216,Asia
10,Turkey,162120,,4489,,125963,31668,662,1924,53,1964364,23314,84257335,Asia
11,Iran,148950,2282,7734,57,116827,24389,2533,1775,92,896571,10687,83894952,Asia
12,Peru,148285,,4230,,62791,81264,926,4503,128,963617,29263,32929707,South America
13,Chile,94858,4220,997,53,40431,53430,1371,4966,52,563320,29491,19101613,South America
14,Canada,90161,743,7073,94,48050,35038,1618,2391,188,1596449,42332,37712703,North America
15,Mexico,84627,3227,9415,371,59610,15602,378,657,73,244858,1901,128810940,North America
16,Saudi Arabia,83384,1618,480,22,58883,24021,384,2399,14,806569,23202,34763636,Asia
17,Pakistan,66457,2429,1395,78,24131,40931,111,301,6,532037,2413,220485909,Asia
18,Belgium,58186,125,9453,23,15769,32964,173,5022,816,848065,73202,11585252,Europe
19,Qatar,55262,2355,36,,25839,29387,217,19211,13,217988,75782,2876510,Asia
20,Netherlands,46257,131,5951,20,N/A,N/A,170,2700,347,349150,20380,17131629,Europe
21,Bangladesh,44608,1764,610,28,9375,34623,1,271,4,297054,1805,164542316,Asia
22,Belarus,41658,894,229,5,17964,23465,92,4408,24,526559,55723,9449585,Europe
23,Ecuador,38571,,3334,,19190,16047,220,2189,189,113808,6460,17618288,South America
24,Sweden,37113,637,4395,45,4971,27747,190,3677,435,238800,23658,10093745,Europe
25,Singapore,34366,506,23,,20727,13616,7,5878,4,334691,57249,5846269,Asia
26,UAE,33170,,260,,17097,15813,1,3357,26,2110493,213622,9879555,Asia
27,Portugal,32203,257,1396,13,19186,11621,66,3157,137,795838,78030,10199174,Europe
28,Switzerland,30845,17,1919,,28400,526,27,3566,222,394717,45637,8649038,Europe
29,South Africa,29240,,611,,15093,13536,128,494,10,680175,11482,59240605,Africa
30,Colombia,26688,,853,,6913,18922,136,525,17,306411,6028,50834077,South America
31,Kuwait,26192,1008,205,11,10156,15831,206,6142,48,290013,68002,4264746,Asia
32,Indonesia,25773,557,1573,53,7015,17185,,94,6,311906,1141,273263419,Asia
33,Ireland,24876,,1645,,22089,1142,42,5043,333,325795,66047,4932806,Europe
34,Poland,23571,416,1061,10,11016,11494,160,623,28,899069,23753,37850086,Europe
35,Ukraine,23204,393,696,17,9311,13197,273,530,16,348279,7960,43755130,Europe
36,Egypt,22082,,879,,5511,15692,41,216,9,135000,1322,102152100,Africa
37,Romania,19133,151,1259,11,13046,4828,160,994,65,425819,22123,19248085,Europe
38,Philippines,17224,590,950,8,3808,12466,56,157,9,340954,3115,109447729,Asia
39,Israel,17008,21,284,,14776,1948,39,1849,31,567429,61693,9197590,Asia
40,Japan,16719,,874,,14254,1591,131,132,7,284763,2251,126508530,Asia
41,Austria,16685,30,668,,15520,497,23,1853,74,442143,49117,9001908,Europe
42,Dominican Republic,16531,,488,,9266,6777,106,1525,45,76930,7098,10838156,North America
43,Argentina,15419,,524,4,4788,10107,259,341,12,150486,3332,45158774,South America
44,Afghanistan,14525,866,249,3,1303,12973,19,374,6,37348,961,38843762,Asia
45,Panama,12531,,326,,7540,4665,79,2908,76,63202,14669,4308467,North America
46,Denmark,11633,40,571,3,10327,735,20,2009,99,618860,106876,5790443,Europe
47,S. Korea,11441,39,269,,10398,774,15,223,5,902901,17612,51265441,Asia
48,Serbia,11381,27,242,,6606,4533,10,1302,28,242782,27777,8740269,Europe
