#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1798600,3400,110226,431,482837,1205537,19040,,,,,,North America
,Europe,1848400,78,166813,8,826761,854826,10747,,,,,,Europe
,South America,548892,268,28094,16,206448,314350,10657,,,,,,South America
,Asia,890646,3389,26295,51,517578,346773,4866,,,,,,Asia
,Africa,101901,217,3115,,40641,58145,285,,,,,,Africa
,Oceania,8703,15,122,1,8034,547,10,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5197863,7367,334680,507,2082950,2780233,45609,667,42.9,,,,All
1,USA,1620902,,96354,,382169,1142379,17902,4900,291,13472618,40729,330790544,North America
2,Russia,317554,,3099,,92681,221774,2300,2176,21,7840880,53731,145927804,Europe
3,Brazil,310921,,20082,,125960,164879,8318,1464,95,735224,3462,212393298,South America
4,Spain,280117,,27940,,196958,55219,1152,5991,598,3037840,64977,46752851,Europe
5,UK,250908,,36042,,N/A,N/A,1559,3698,531,3090566,45552,67847158,Europe
6,Italy,228006,,32486,,134560,60960,640,3770,537,3243398,53635,60471198,Europe
7,France,181826,,28215,,63858,89753,1745,2786,432,1384633,21218,65258007,Europe
8,Germany,179021,,8309,,158000,12712,1016,2137,99,3595059,42923,83755045,Europe
9,Turkey,153548,,4249,,114990,34309,820,1823,50,1729988,20537,84237509,Asia
10,Iran,129341,,7249,,100564,21528,2655,1542,86,746045,8895,83871454,Asia
11,India,118501,275,3585,1,48553,66363,,86,3,2719434,1973,1378492893,Asia
12,Peru,108769,,3148,,43587,62034,886,3304,96,736500,22373,32919665,South America
13,Canada,81324,,6152,,41715,33457,502,2157,163,1379731,36592,37705478,North America
14,Saudi Arabia,65077,,351,,36040,28686,281,1873,10,651158,18737,34751777,Asia
15,Mexico,59567,2973,6510,420,40657,12400,378,463,51,201838,1567,128781349,North America
16,Chile,57581,,589,,23992,33000,943,3015,31,426003,22306,19098031,South America
17,Belgium,56235,,9186,,14988,32061,277,4854,793,739146,63807,11584152,Europe
18,Pakistan,50694,2603,1067,50,15201,34426,111,230,5,445987,2024,220392002,Asia
19,Netherlands,44700,,5775,,N/A,N/A,255,2609,337,302395,17652,17130802,Europe
20,Qatar,38651,,17,,7288,31346,171,13442,6,175482,61028,2875446,Asia
21,Ecuador,35306,,2939,,3557,28810,191,2005,167,101580,5768,17612428,South America
22,Belarus,33371,,185,,12057,21129,92,3531,20,403236,42672,9449653,Europe
23,Sweden,32172,,3871,,4971,23330,352,3188,384,209900,20798,10092371,Europe
24,Switzerland,30694,,1898,,27900,896,55,3549,219,361692,41825,8647657,Europe
25,Portugal,29912,,1277,,6452,22183,93,2933,125,674000,66080,10199821,Europe
26,Singapore,29812,,23,,12117,17672,10,5100,4,294414,50368,5845265,Asia
27,Bangladesh,28511,,408,,5602,22501,1,173,2,214114,1302,164506480,Asia
28,UAE,26898,,237,,12755,13906,1,2723,24,1600923,162087,9876944,Asia
29,Ireland,24391,,1583,,21060,1748,54,4946,321,295626,59945,4931601,Europe
30,Indonesia,20162,,1278,,4838,14046,,74,5,219975,805,273200237,Asia
31,Poland,20143,,972,,8452,10719,160,532,26,697230,18420,37850989,Europe
32,Ukraine,19706,,579,,6227,12900,249,450,13,257890,5893,43760843,Europe
33,South Africa,19137,,369,,8950,9818,119,323,6,525433,8872,59224262,Africa
34,Kuwait,18609,,129,,5205,13275,181,4365,30,261071,61236,4263365,Asia
35,Colombia,18330,,652,,4431,13247,136,361,13,214536,4221,50822230,South America
36,Romania,17585,,1156,,10581,5848,203,913,60,342466,17790,19250875,Europe
37,Israel,16690,7,279,,13915,2496,47,1932,32,531124,61472,8640028,Asia
38,Japan,16424,,777,,12672,2975,195,130,6,261572,2067,126516956,Asia
39,Austria,16404,,633,,14951,820,32,1823,70,385637,42845,9000787,Europe
40,Egypt,15003,,696,,4217,10090,41,147,7,135000,1322,102109848,Africa
41,Dominican Republic,13657,,448,,7366,5843,113,1260,41,61330,5660,10835780,North America
42,Philippines,13434,,846,,3000,9588,81,123,8,267417,2444,109415846,Asia
43,Denmark,11182,,561,,9643,978,23,1931,97,504266,87093,5789998,Europe
44,S. Korea,11142,20,264,,10162,716,15,217,5,802418,15653,51264480,Asia
45,Serbia,10919,,237,,5370,5312,12,1249,27,203799,23315,8741034,Europe
46,Panama,10116,,291,,6245,3580,72,2349,68,53928,12521,4306982,North America
47,Argentina,9931,,416,,3032,6483,171,220,9,116689,2584,45149718,South America
48,Czechia,8754,,306,,5926,2522,36,818,29,379750,35468,10706852,Europe
49,Afghanistan,8676,,193,,938,7545,19,223,5,26707,688,38824552,Asia
50,Norway,8309,,235,,32,8042,14,1534,43,223045,41178,5416564,Europe
51,Bahrain,8174,,12,,3873,4289,9,4825,7,262107,154713,1694155,Asia
52,Algeria,7728,,575,,4062,3091,22,177,13,,,43759272,Africa
53,Kazakhstan,7597,363,35,,3843,3719,31,405,2,612997,32691,18751427,Asia
54,Morocco,7211,,196,,4280,2735,1,196,5,112997,3065,36861343,Africa
55,Australia,7095,14,101,1,6478,516,9,279,4,1167973,45863,25466640,Australia/Oceania
56,Malaysia,7059,,114,,5796,1149,10,218,4,481411,14896,32319132,Asia
57,Nigeria,7016,,211,,1907,4898,7,34,1,40043,195,205528166,Africa
58,Moldova,6704,,233,,2953,3518,251,1661,58,40565,10053,4034947,Europe
59,Finland,6493,,306,,4800,1387,22,1172,55,160177,28914,5539799,Europe
60,Ghana,6486,217,31,,1951,4504,8,209,1,187929,6063,30996750,Africa
61,Oman,6370,,31,,1821,4518,31,1251,6,72000,14143,5091036,Asia
62,Armenia,5606,,70,,2581,2955,10,1892,24,45822,15467,2962649,Asia
63,Bolivia,5187,268,215,16,561,4411,3,445,18,14803,1270,11654953,South America
64,Cameroon,4288,,156,,1808,2324,28,162,6,,,26466746,Africa
65,Luxembourg,3980,,109,,3741,130,6,6370,174,64981,104002,624808,Europe
66,Iraq,3877,,140,,2483,1254,,97,3,149701,3732,40115676,Asia
67,Azerbaijan,3749,,44,,2340,1365,42,370,4,252496,24928,10129036,Asia
68,Hungary,3678,37,476,3,1587,1615,23,381,49,155801,16124,9662923,Europe
69,Honduras,3204,104,156,5,397,2651,13,324,16,11820,1196,9886537,North America
70,Sudan,3138,,121,,309,2708,,72,3,281,6,43727573,Africa
71,Guinea,3067,,18,,1575,1474,18,234,1,10304,787,13089690,Africa
72,Thailand,3037,,56,,2910,71,61,44,0.8,328073,4701,69781150,Asia
73,Uzbekistan,3006,42,13,,2407,586,4,90,0.4,460000,13767,33413938,Asia
74,Greece,2853,,168,,1374,1311,21,274,16,144078,13816,10428331,Europe
75,Senegal,2812,,33,,1251,1528,6,168,2,24599,1474,16690729,Africa
76,Guatemala,2512,247,48,3,222,2242,5,141,3,25464,1424,17877078,North America
77,Bulgaria,2372,41,125,5,769,1478,31,341,18,71605,10297,6953796,Europe
78,Bosnia and Herzegovina,2350,,140,,1596,614,4,716,43,56997,17362,3282920,Europe
79,Tajikistan,2350,,44,,1008,1298,,247,5,,,9512290,Asia
80,Ivory Coast,2301,,29,,1100,1172,,87,1,21069,801,26300113,Africa
81,Croatia,2237,,97,,1978,162,9,545,24,58091,14141,4107874,Europe
82,Djibouti,2047,,10,,1055,982,,2075,10,21156,21448,986363,Africa
83,Cuba,1908,,80,,1603,225,5,168,7,89031,7860,11327348,North America
84,North Macedonia,1898,,111,,1378,409,21,911,53,23316,11191,2083383,Europe
85,DRC,1835,,61,,303,1471,,21,0.7,,,89226763,Africa
86,Iceland,1803,,10,,1790,3,,5287,29,58225,170748,341000,Europe
87,Estonia,1800,,64,,1488,248,2,1357,48,73732,55586,1326440,Europe
88,El Salvador,1640,,33,,544,1063,26,253,5,65226,10062,6482643,North America
89,Somalia,1594,,61,,204,1329,2,101,4,,,15839369,Africa
90,Lithuania,1593,,61,,1049,483,17,584,22,253004,92810,2726052,Europe
91,Gabon,1567,,12,,365,1190,6,706,5,8622,3885,2219485,Africa
92,New Zealand,1504,1,21,,1455,28,1,312,4,250246,51941,4817906,Australia/Oceania
93,Slovakia,1502,,28,,1245,229,3,275,5,151778,27801,5459361,Europe
94,Mayotte,1475,,19,,894,562,11,5422,70,5200,19116,272030,Africa
95,Slovenia,1468,,106,,1340,22,3,706,51,74228,35705,2078908,Europe
96,Kyrgyzstan,1350,37,14,,939,397,5,207,2,98281,15093,6511813,Asia
97,Maldives,1216,,4,,91,1121,9,2254,7,11775,21828,539443,Asia
98,Kenya,1109,,50,,375,684,1,21,0.9,52507,979,53631400,Africa
99,Guinea-Bissau,1109,,6,,42,1061,,565,3,1500,764,1962465,Africa
100,Hong Kong,1064,,4,,1029,31,1,142,0.5,168291,22468,7490261,Asia
101,Sri Lanka,1055,7,9,,604,442,1,49,0.4,49124,2295,21403517,Asia
102,Tunisia,1046,,47,,883,116,3,89,4,45308,3838,11804800,Africa
103,Latvia,1025,,22,,694,309,2,543,12,94621,50109,1888294,Europe
104,Lebanon,1024,,26,,663,335,3,150,4,67510,9886,6828619,Asia
105,Albania,969,,31,,771,167,3,337,11,12759,4433,2878129,Europe
106,Mali,947,,60,,558,329,,47,3,3483,173,20179688,Africa
107,Niger,924,,60,,753,111,,38,2,5949,247,24095961,Africa
108,Cyprus,923,,17,,561,345,10,765,14,95349,79036,1206392,Asia
109,Costa Rica,903,,10,,592,301,3,177,2,21929,4309,5088953,North America
110,Equatorial Guinea,903,,10,,22,871,,646,7,854,611,1397254,Africa
111,Venezuela,882,,10,,262,610,2,31,0.4,697691,24528,28444376,South America
112,Zambia,866,,7,,302,557,1,47,0.4,19432,1061,18321393,Africa
113,Paraguay,836,,11,,256,569,,117,2,21987,3087,7122661,South America
114,Burkina Faso,812,,52,,669,91,,39,2,,,20833816,Africa
115,Andorra,762,,51,,639,72,3,9864,660,3750,48542,77252,Europe
116,Uruguay,749,,20,,594,135,4,216,6,36537,10522,3472430,South America
117,Haiti,734,71,25,3,21,688,,64,2,2519,221,11386865,North America
118,Georgia,721,,12,,485,224,6,181,3,44098,11052,3989972,Asia
119,Diamond Princess,712,,13,,651,48,4,,,,,,
120,Jordan,684,,9,,457,218,5,67,0.9,156663,15371,10191845,Asia
121,San Marino,658,,41,,235,382,1,19397,1209,3779,111399,33923,Europe
122,Malta,599,,6,,468,125,1,1357,14,56224,127372,441416,Europe
123,Chad,588,,58,,186,344,,36,4,,,16368402,Africa
124,Sierra Leone,585,,35,,205,345,,74,4,,,7957977,Africa
125,Channel Islands,558,,45,,508,5,,3213,259,5342,30757,173685,Europe
126,Jamaica,534,5,9,,181,344,,180,3,9178,3101,2959765,North America
127,Tanzania,509,,21,,183,305,7,9,0.4,,,59527001,Africa
128,Nepal,487,30,3,,49,435,1,17,0.1,117465,4040,29076092,Asia
129,South Sudan,481,,4,,4,473,,43,0.4,3356,300,11178970,Africa
130,Congo,469,,16,,137,316,,85,3,,,5501846,Africa
