#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,2044545,3712,123858,386,670607,1250080,19435,,,,,,North America
,South America,847008,2389,39340,25,345961,461707,11281,,,,,,South America
,Europe,2014465,10239,173461,181,983929,857075,8794,,,,,,Europe
,Asia,1117078,9557,30392,185,674558,412128,13578,,,,,,Asia
,Africa,143989,220,4096,4,61319,78574,358,,,,,,Africa
,Oceania,8804,10,125,,8196,483,4,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,6176610,26127,371287,781,2745221,3060102,53454,792,47.6,,,,All
1,USA,1816897,77,105557,,535238,1176102,17163,5492,319,17270841,52203,330838184,North America
2,Brazil,499966,1526,28849,15,205371,265746,8318,2354,136,930013,4378,212430396,South America
3,Russia,405843,9268,4693,138,171883,229267,2300,2781,32,10600000,72638,145929337,Europe
4,Spain,286308,,27125,,196958,62225,617,6124,580,3556567,76071,46753295,Europe
5,UK,272826,,38376,,N/A,N/A,1559,4021,566,4171408,61474,67855909,Europe
6,Italy,232664,,33340,,155633,43691,450,3848,551,3824621,63249,60469020,Europe
7,France,188625,,28771,,68268,91586,1325,2890,441,1384633,21217,65261548,Europe
8,Germany,183294,,8600,,165200,9494,720,2188,103,3952971,47193,83761616,Europe
9,India,182889,1062,5186,1,87049,90654,8944,133,4,3737027,2710,1378826256,Asia
10,Turkey,163103,,4515,,126984,31604,649,1936,54,2003594,23779,84259813,Asia
11,Peru,155671,,4371,,66447,84853,960,4727,133,1012708,30752,32930962,South America
12,Iran,148950,,7734,,116827,24389,2533,1775,92,896571,10686,83897889,Asia
13,Chile,94858,,997,,40431,53430,1371,4966,52,563320,29490,19102061,South America
14,Canada,90190,,7073,,48103,35014,1618,2391,188,1634277,43334,37713606,North America
15,Mexico,87512,2885,9779,364,61871,15862,378,679,76,270992,2104,128814639,North America
16,Saudi Arabia,83384,,480,,58883,24021,384,2398,14,806569,23201,34765118,Asia
17,Pakistan,69496,3039,1483,88,25271,42742,111,315,7,547030,2481,220497647,Asia
18,Belgium,58381,195,9467,14,15887,33027,168,5039,817,866497,74792,11585389,Europe
19,Qatar,55262,,36,,25839,29387,217,19211,13,217988,75779,2876643,Asia
20,Bangladesh,47153,2545,650,40,9781,36722,1,287,4,308940,1878,164546795,Asia
21,Netherlands,46257,,5951,,N/A,N/A,170,2700,347,349150,20380,17131732,Europe
22,Belarus,41658,,229,,17964,23465,92,4408,24,526559,55723,9449576,Europe
23,Ecuador,38571,,3334,,19190,16047,220,2189,189,113808,6459,17619020,South America
24,Sweden,37113,,4395,,4971,27747,190,3677,435,238800,23658,10093917,Europe
25,Singapore,34884,518,23,,20727,14134,7,5967,4,334691,57247,5846395,Asia
26,UAE,33896,,262,,17546,16088,1,3431,27,2110493,213615,9879882,Asia
27,Portugal,32203,,1396,,19186,11621,66,3157,137,795838,78030,10199093,Europe
28,South Africa,30967,,643,,16116,14208,128,523,11,701883,11848,59242648,Africa
29,Switzerland,30845,,1919,,28400,526,27,3566,222,394717,45636,8649211,Europe
30,Colombia,28236,,890,,7121,20225,136,555,18,319779,6290,50835558,South America
31,Indonesia,26473,700,1613,40,7308,17552,,97,6,323376,1183,273271317,Asia
32,Kuwait,26192,,205,,10156,15831,206,6141,48,290013,68000,4264919,Asia
33,Ireland,24929,,1651,,22089,1189,42,5054,335,325795,66045,4932957,Europe
34,Poland,23686,115,1064,3,11271,11351,160,626,28,899069,23753,37849973,Europe
35,Ukraine,23672,468,708,12,9538,13426,278,541,16,356565,8149,43754416,Europe
36,Egypt,23449,,913,,5693,16843,41,230,9,135000,1321,102157382,Africa
37,Romania,19257,124,1262,3,13256,4739,160,1000,66,439197,22818,19247736,Europe
38,Philippines,17224,,950,,3808,12466,56,157,9,340954,3115,109451714,Asia
39,Israel,17024,12,284,,14812,1928,39,1851,31,568452,61804,9197590,Asia
40,Dominican Republic,16908,,498,,9557,6853,106,1560,46,76930,7098,10838453,North America
41,Japan,16804,,886,,14406,1512,123,133,7,287754,2275,126507477,Asia
42,Austria,16685,,668,,15520,497,23,1853,74,448534,49826,9002048,Europe
43,Argentina,16214,,528,,4788,10898,259,359,12,155407,3441,45159906,South America
44,Afghanistan,15205,680,257,8,1328,13620,19,391,7,38460,990,38846163,Asia
45,Panama,13018,,330,,9414,3274,78,3021,77,66192,15363,4308653,North America
46,Denmark,11633,,571,,10327,735,20,2009,99,618860,106875,5790499,Europe
47,S. Korea,11468,27,270,1,10405,793,15,224,5,910822,17767,51265561,Asia
48,Serbia,11381,,242,,6606,4533,10,1302,28,242782,27778,8740173,Europe
49,Kazakhstan,10858,476,38,,5220,5600,62,579,2,812881,43338,18756949,Asia
50,Bahrain,10793,,18,1,5826,4949,12,6365,11,309573,182572,1695617,Asia
51,Oman,10423,,44,2,2396,7983,31,2046,9,72000,14134,5094240,Asia
52,Nigeria,9855,,273,,2856,6726,7,48,1,60825,296,205654182,Africa
53,Bolivia,9592,861,310,10,889,8393,3,823,27,28239,2422,11658870,South America
54,Armenia,9282,355,131,4,3386,5765,10,3133,44,58065,19598,2962785,Asia
55,Algeria,9267,,646,,5549,3072,34,212,15,,,43778769,Africa
56,Czechia,9233,3,319,,6546,2368,15,862,30,439744,41069,10707339,Europe
57,Norway,8437,,236,,7727,474,8,1557,44,245352,45288,5417605,Europe
58,Moldova,8098,,294,3,4581,3223,256,2007,73,40565,10054,4034718,Europe
59,Ghana,7881,113,36,1,2841,5004,5,254,1,214956,6931,31012732,Africa
60,Malaysia,7819,57,115,,6353,1351,9,242,4,546368,16900,32329329,Asia
61,Morocco,7783,3,204,,5412,2167,18,211,6,205588,5576,36872098,Africa
62,Australia,7195,10,103,,6614,478,4,282,4,1454121,57083,25473913,Australia/Oceania
63,Finland,6859,33,320,4,5500,1039,10,1238,58,184408,33287,5540010,Europe
64,Iraq,6179,,195,,3110,2874,36,154,5,211485,5269,40137925,Asia
65,Cameroon,5904,,191,,3568,2145,28,223,7,,,26483044,Africa
66,Azerbaijan,5246,,61,,3327,1858,42,518,6,294264,29045,10131281,Asia
67,Honduras,5094,208,201,2,536,4357,13,515,20,14790,1495,9890414,North America
68,Sudan,4800,,262,,1272,3266,,110,6,401,9,43752816,Africa
69,Guatemala,4739,132,102,12,706,3931,5,265,6,31427,1757,17885239,North America
70,Luxembourg,4016,,110,,3815,91,4,6425,176,74366,118975,625058,Europe
71,Hungary,3876,9,526,2,2147,1203,25,401,54,185980,19248,9662323,Europe
72,Tajikistan,3807,,47,,1865,1895,,400,5,,,9517571,Asia
73,Guinea,3706,,23,,2030,1653,24,283,2,14407,1100,13098481,Africa
74,Uzbekistan,3554,8,14,,2783,757,10,106,0.4,460000,13762,33425870,Asia
75,Senegal,3535,,42,,1761,1732,14,212,3,40735,2439,16701616,Africa
76,Djibouti,3194,,22,,1286,1886,,3237,22,26366,26721,986716,Africa
