#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1828454,3905,112131,501,507207,1209116,18246,,,,,,North America
,Europe,1878753,10587,168625,206,858917,851211,10464,,,,,,Europe
,South America,580071,1884,29444,83,218738,331889,10716,,,,,,South America
,Asia,919892,7856,26777,103,534462,358653,4853,,,,,,Asia
,Africa,106088,243,3204,,42906,59978,300,,,,,,Africa
,Oceania,8719,16,123,1,8050,546,6,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5322698,24491,340319,894,2170931,2811448,44589,683,43.7,,,,All
1,USA,1645353,259,97655,8,403228,1144470,17109,4974,295,13920391,42082,330795837,North America
2,Russia,335882,9434,3388,139,107936,224558,2300,2302,23,8402747,57581,145927974,Europe
3,Brazil,332382,1492,21116,68,135430,175836,8318,1565,99,735224,3462,212397420,South America
4,Spain,281904,,28628,,196958,56318,1152,6030,612,3037840,64977,46752901,Europe
5,UK,254195,,36393,,N/A,N/A,1559,3747,536,3231921,47635,67848130,Europe
6,Italy,228658,,32616,,136720,59322,595,3781,539,3318778,54882,60470956,Europe
7,France,182219,,28289,,64209,89721,1701,2792,433,1384633,21218,65258400,Europe
8,Germany,179713,,8352,,159900,11461,965,2146,100,3595059,42923,83755775,Europe
9,Turkey,154500,,4276,,116111,34113,800,1834,51,1767495,20982,84239988,Asia
10,Iran,131652,,7300,,102276,22076,2659,1570,87,763913,9108,83874391,Asia
11,India,125149,355,3728,2,51824,69597,,91,3,2834798,2056,1378529934,Asia
12,Peru,111698,,3244,,44848,63606,901,3393,99,750526,22798,32920920,South America
13,Canada,82480,,6250,,42594,33636,502,2187,166,1405208,37267,37706381,North America
14,Saudi Arabia,67719,,364,,39003,28352,302,1949,10,667057,19194,34753259,Asia
15,Mexico,62527,2960,6989,479,42725,12813,378,486,54,201838,1567,128785048,North America
16,Chile,61857,,630,,25342,35885,986,3239,33,442093,23148,19098478,South America
17,Belgium,56810,299,9237,25,15155,32418,259,4904,797,768706,66358,11584289,Europe
18,Pakistan,52437,1743,1101,34,16653,34683,111,238,5,460692,2090,220403741,Asia
19,Netherlands,44888,,5788,,N/A,N/A,252,2620,338,313755,18315,17130906,Europe
20,Qatar,40481,,19,,7893,32569,175,14078,7,180642,62819,2875579,Asia
21,Ecuador,35828,,3056,,3557,29215,191,2034,174,104330,5923,17613161,South America
22,Belarus,34303,,190,,12833,21280,92,3630,20,419004,44341,9449644,Europe
23,Sweden,32809,,3925,,4971,23913,265,3251,389,209900,20798,10092543,Europe
24,Bangladesh,32078,1873,452,20,6486,25140,1,195,3,234675,1427,164510959,Asia
25,Singapore,31068,642,23,,12995,18050,8,5315,4,294414,50367,5845390,Asia
26,Switzerland,30707,,1903,,27900,904,51,3551,220,364321,42129,8647829,Europe
27,Portugal,30200,,1289,,7590,21321,84,2961,126,689705,67620,10199740,Europe
28,UAE,27892,,241,,13798,13853,1,2824,24,1600923,162082,9877270,Asia
29,Ireland,24506,,1592,,21060,1854,54,4969,323,295626,59943,4931752,Europe
30,Indonesia,21745,949,1351,25,5249,15145,,80,5,229334,839,273208135,Asia
31,Poland,20838,219,990,8,8977,10871,160,551,26,719571,19011,37850876,Europe
32,Ukraine,20580,432,605,17,6929,13046,256,470,14,277712,6346,43760129,Europe
33,South Africa,20125,,397,,10104,9624,119,340,7,543032,9169,59226304,Africa
34,Kuwait,19564,,138,,5515,13911,180,4589,32,264959,62145,4263538,Asia
35,Colombia,19131,,682,,4575,13874,136,376,13,235948,4642,50823711,South America
36,Romania,17712,,1170,4,10777,5765,200,920,61,352647,18319,19250526,Europe
37,Israel,16712,22,279,,14085,2348,47,1817,30,536306,58309,9197590,Asia
38,Japan,16513,,796,,13005,2712,176,131,6,265502,2099,126515903,Asia
39,Austria,16486,50,639,4,15037,810,28,1832,71,396363,44036,9000927,Europe
40,Egypt,15786,,707,,4374,10705,41,155,7,135000,1322,102115130,Africa
41,Dominican Republic,13989,,456,,7572,5961,113,1291,42,61330,5660,10836077,North America
42,Philippines,13777,180,863,6,3177,9737,81,126,8,278041,2541,109419831,Asia
43,Denmark,11230,,561,,9764,905,23,1940,97,514765,88905,5790054,Europe
44,S. Korea,11165,23,266,2,10194,705,15,218,5,814420,15887,51264600,Asia
45,Serbia,11024,,237,,5541,5246,12,1261,27,209797,24002,8740939,Europe
46,Argentina,10649,,433,,3062,7154,171,236,10,121278,2686,45150850,South America
47,Panama,10267,,295,,6275,3697,72,2384,68,55018,12774,4307167,North America
48,Afghanistan,9998,782,216,11,1040,8742,19,258,6,29417,758,38826954,Asia
49,Czechia,8813,,312,,6025,2476,29,823,29,387127,36157,10706906,Europe
50,Bahrain,8414,,12,,4096,4306,7,4966,7,269179,158872,1694317,Asia
51,Norway,8332,,235,,7727,370,13,1538,43,229769,42419,5416680,Europe
52,Kazakhstan,7919,322,35,,4096,3788,31,422,2,635712,33901,18752041,Asia
53,Algeria,7918,,582,,4256,3080,22,181,13,,,43761439,Africa
54,Morocco,7332,,197,,4377,2758,1,199,5,123402,3348,36862538,Africa
55,Nigeria,7261,,221,,2007,5033,7,35,1,41907,204,205542168,Africa
56,Oman,7257,463,34,,1848,5375,31,1425,7,72000,14142,5091392,Asia
57,Malaysia,7185,48,115,,5912,1158,9,222,4,500469,15485,32320265,Asia
58,Australia,7111,16,102,1,6494,515,5,279,4,1191127,46771,25467448,Australia/Oceania
59,Moldova,6847,,237,,3369,3241,251,1697,59,40565,10053,4034922,Europe
60,Ghana,6617,131,31,,1976,4610,16,213,1,193705,6249,30998526,Africa
61,Finland,6568,31,306,,4800,1462,21,1186,55,165600,29893,5539822,Europe
62,Armenia,6302,374,77,3,2936,3289,10,2127,26,49080,16566,2962665,Asia
63,Bolivia,5579,392,230,15,575,4774,3,479,20,14803,1270,11655388,South America
64,Cameroon,4400,,159,,1822,2419,28,166,6,,,26468556,Africa
65,Luxembourg,3981,,109,,3748,124,5,6371,174,65724,105186,624836,Europe
66,Iraq,3964,,147,,2532,1285,,99,4,175830,4383,40118148,Asia
67,Azerbaijan,3855,,46,,2399,1410,42,381,5,252496,24927,10129286,Asia
68,Hungary,3713,35,482,6,1655,1576,21,384,50,159260,16482,9662856,Europe
69,Honduras,3477,273,167,11,439,2871,13,352,17,11820,1196,9886968,North America
70,Sudan,3378,,137,,372,2869,,77,3,394,9,43730378,Africa
71,Guinea,3067,,19,,1575,1473,24,234,1,13726,1049,13090666,Africa
72,Thailand,3040,3,56,,2916,68,61,44,0.8,328073,4701,69781627,Asia
73,Uzbekistan,3036,8,13,,2492,531,4,91,0.4,460000,13766,33415264,Asia
74,Senegal,2909,,33,,1311,1565,6,174,2,32883,1970,16691939,Africa
75,Greece,2874,,169,,1374,1331,19,276,16,147958,14188,10428193,Europe
76,Guatemala,2743,231,51,3,222,2470,5,153,3,25464,1424,17877985,North America
77,Tajikistan,2551,,44,,1089,1418,,268,5,,,9512877,Asia
78,Bulgaria,2408,36,126,1,808,1474,29,346,18,73210,10528,6953654,Europe
79,Bosnia and Herzegovina,2372,,141,,1614,617,4,723,43,57507,17517,3282865,Europe
80,Ivory Coast,2341,,29,,1146,1166,,89,1,22233,845,26301903,Africa
81,Djibouti,2270,,10,,1064,1196,,2301,10,22097,22402,986402,Africa
82,Croatia,2243,,99,,2011,133,5,546,24,59911,14585,4107806,Europe
83,DRC,2025,80,63,,312,1650,,23,0.7,,,89234236,Africa
84,North Macedonia,1921,,112,,1387,422,21,922,54,24018,11528,2083383,Europe
85,Cuba,1916,,81,,1631,204,4,169,7,90911,8026,11327329,North America
86,Estonia,1821,14,64,,1526,231,2,1373,48,75249,56730,1326442,Europe
87,El Salvador,1819,94,33,,570,1216,25,281,5,70225,10833,6482732,North America
88,Iceland,1803,,10,,1791,2,,5287,29,58225,170745,341006,Europe
89,Gabon,1728,,12,,402,1314,6,779,5,8622,3884,2219628,Africa
90,Lithuania,1616,12,63,2,1135,418,17,593,23,264882,97171,2725949,Europe
91,Somalia,1594,,61,,204,1329,2,101,4,,,15840585,Africa
92,Mayotte,1521,,19,,894,608,11,5591,70,5200,19114,272048,Africa
93,Slovakia,1504,1,28,,1280,196,1,275,5,156765,28715,5459368,Europe
94,New Zealand,1504,,21,,1455,28,1,312,4,255850,53103,4818013,Australia/Oceania
95,Slovenia,1468,,106,,1340,22,3,706,51,75110,36130,2078908,Europe
96,Kyrgyzstan,1365,15,14,,957,394,5,210,2,98281,15092,6512107,Asia
97,Maldives,1274,,4,,109,1161,9,2362,7,11775,21827,539469,Asia
98,Kenya,1192,31,50,,380,762,1,22,0.9,55074,1027,53634644,Africa
99,Guinea-Bissau,1114,,6,,42,1066,,568,3,1500,764,1962592,Africa
100,Lebanon,1086,,26,,663,397,4,159,4,69610,10194,6828536,Asia
101,Sri Lanka,1068,,9,,660,399,1,50,0.4,51094,2387,21403762,Asia
102,Hong Kong,1066,,4,,1029,33,1,142,0.5,202930,27092,7490427,Asia
103,Tunisia,1048,,47,,903,98,3,89,4,46628,3950,11805138,Africa
104,Latvia,1046,16,22,,712,312,2,554,12,97846,51819,1888237,Europe
105,Albania,989,8,31,,783,175,5,344,11,13133,4563,2878120,Europe
106,Mali,969,,62,,560,347,,48,3,3483,173,20181288,Africa
107,Equatorial Guinea,960,,11,,165,784,,687,8,854,611,1397381,Africa
108,Venezuela,944,,10,,262,672,2,33,0.4,735426,25855,28444157,South America
109,Niger,937,,60,,764,113,,39,2,5971,248,24098369,Africa
110,Cyprus,927,,17,,561,349,10,768,14,95349,79035,1206416,Asia
111,Zambia,920,,7,,336,577,1,50,0.4,20011,1092,18322805,Africa
112,Costa Rica,911,,10,,600,301,4,179,2,22554,4432,5089080,North America
113,Paraguay,838,,11,,264,563,,118,2,21987,3087,7122901,South America
114,Burkina Faso,814,,52,,672,90,,39,2,,,20835388,Africa
115,Haiti,812,78,25,,22,765,,71,2,2582,227,11387245,North America
116,Andorra,762,,51,,652,59,3,9864,660,3750,48542,77252,Europe
117,Uruguay,753,,20,,603,130,5,217,6,37178,10707,3472463,South America
118,Georgia,728,5,12,,509,207,6,182,3,45707,11456,3989952,Asia
119,Diamond Princess,712,,13,,651,48,4,,,,,0,
120,Jordan,700,,9,,461,230,5,69,0.9,159320,15632,10192121,Asia
121,San Marino,661,,41,,254,366,1,19485,1209,3873,114167,33924,Europe
122,Chad,611,,58,,196,357,,37,4,,,16369695,Africa
123,Sierra Leone,606,,38,,230,338,,76,5,,,7958421,Africa
124,Malta,600,,6,,469,125,1,1359,14,57784,130905,441420,Europe
125,South Sudan,563,,6,,6,551,,50,0.5,3356,300,11179329,Africa
126,Channel Islands,558,,45,,508,5,,3213,259,5342,30756,173689,Europe
127,Nepal,548,32,3,,70,475,1,19,0.1,124674,4288,29077526,Asia
128,Jamaica,544,10,9,,191,344,,184,3,9554,3228,2959800,North America
129,Tanzania,509,,21,,183,305,7,9,0.4,,,59531669,Africa
130,CAR,479,,,,18,461,,99,,11570,2400,4820296,Africa
131,Congo,469,,16,,137,316,,85,3,,,5502218,Africa
132,Runion,449,,1,,411,37,2,502,1,17200,19226,894627,Africa
133,Madagascar,448,,2,,135,311,2,16,0.07,5670,205,27607404,Africa
134,Taiwan,441,,7,,411,23,,19,0.3,70526,2962,23812274,Asia
135,Ethiopia,433,,5,,128,300,,4,0.04,73205,639,114630633,Africa
136,Palestine,423,,2,,346,75,,83,0.4,44876,8821,5087651,Asia
137,Togo,363,,12,,121,230,,44,1,14767,1789,8256184,Africa
138,Cabo Verde,362,,3,,95,264,,652,5,892,1606,555327,Africa
139,Isle of Man,336,,24,,303,9,2,3954,282,4393,51691,84985,Europe
140,Mauritius,332,,10,,322,0,,261,8,101052,79472,1271548,Africa
141,Montenegro,324,,9,,314,1,,516,14,10167,16188,628058,Europe
142,Vietnam,324,,,,267,57,2,3,,275000,2828,97243794,Asia
143,Rwanda,321,,,,222,99,,25,,55968,4334,12914674,Africa
144,Nicaragua,279,,17,,199,63,,42,3,,,6615901,North America
145,French Guiana,261,,1,,141,119,,877,3,,,297772,South America
146,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218697,Africa
147,Liberia,249,,24,,136,89,,49,5,,,5043867,Africa
148,Eswatini,225,,2,,119,104,,194,2,4994,4309,1158855,Africa
149,Yemen,209,,33,,11,165,,7,1,120,4,29750177,Asia
150,Myanmar,201,2,6,,116,79,,4,0.1,17152,315,54370772,Asia
151,Mauritania,200,,6,,7,187,,43,1,2583,557,4635263,Africa
152,Martinique,197,,14,,91,92,,525,37,,,375295,North America
153,Faeroe Islands,187,,,,187,0,,3829,,9084,185984,48843,Europe
154,Uganda,175,,,,68,107,,4,,83788,1839,45566443,Africa
155,Mozambique,164,,,,48,116,,5,,7480,240,31151425,Africa
156,Guadeloupe,156,,13,,115,28,3,390,32,3573,8930,400117,North America
157,Gibraltar,151,,,,147,4,,4482,,6101,181082,33692,Europe
158,Brunei,141,,1,,136,4,2,323,2,18411,42128,437024,Asia
159,Mongolia,141,,,,30,111,27,43,,12341,3771,3272373,Asia
160,Benin,135,,3,,61,71,,11,0.2,26792,2217,12085815,Africa
161,Cayman Islands,129,,1,,61,67,,1965,15,8426,128373,65637,North America
162,Bermuda,128,,9,,81,38,2,2055,144,6133,98441,62301,North America
163,Guyana,127,,10,,57,60,3,162,13,1366,1738,786150,South America
164,Cambodia,124,1,,,122,2,1,7,,16007,959,16693317,Asia
165,Trinidad and Tobago,116,,8,,108,0,,83,6,2866,2049,1399011,North America
166,Aruba,101,,3,,95,3,4,946,28,2061,19313,106718,North America
167,Bahamas,97,,11,,44,42,1,247,28,1910,4862,392836,North America
168,Monaco,97,,4,,90,3,1,2474,102,,,39212,Europe
169,Barbados,90,,7,,70,13,4,313,24,4541,15804,287338,North America
170,Malawi,82,,3,,28,51,1,4,0.2,2411,126,19071854,Africa
171,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38117,Europe
172,Comoros,78,,1,,18,59,,90,1,,,867471,Africa
173,Sint Maarten,77,,15,,59,3,1,1798,350,437,10205,42823,North America
174,Libya,72,,3,,38,31,,10,0.4,4351,634,6860947,Africa
175,Syria,70,11,4,,37,29,,4,0.2,,,17451066,Asia
176,Angola,60,,3,,17,40,,2,0.09,6136,187,32743009,Africa
177,French Polynesia,60,,,,60,0,,214,,3873,13796,280735,Australia/Oceania
178,Zimbabwe,51,,4,,18,29,,3,0.3,28019,1888,14838856,Africa
179,Macao,45,,,,45,0,,69,,,,648355,Asia
180,Burundi,42,,1,,20,21,,4,0.08,284,24,11848359,Africa
181,Saint Martin,40,,3,,33,4,1,1036,78,,,38592,North America
182,Eritrea,39,,,,39,0,,11,,,,3540980,Africa
183,Botswana,30,,1,,19,10,,13,0.4,16100,6862,2346198,Africa
184,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97842,North America
185,Gambia,25,,1,,13,11,,10,0.4,1476,613,2408601,Africa
186,Bhutan,24,3,,,6,18,,31,,15293,19844,770679,Asia
187,Timor-Leste,24,,,,24,0,,18,,738,561,1315590,Asia
188,Grenada,22,,,,17,5,4,196,,3007,26736,112468,North America
189,Namibia,20,1,,,14,6,,8,,2847,1123,2535696,Africa
190,Laos,19,,,,14,5,,3,,5194,715,7263819,Asia
191,Belize,18,,2,,16,0,,45,5,1435,3616,396811,North America
192,Fiji,18,,,,15,3,,20,,1300,1451,895748,Australia/Oceania
193,New Caledonia,18,,,,18,0,,63,,5454,19123,285200,Australia/Oceania
194,Saint Lucia,18,,,,18,0,,98,,867,4724,183538,North America
195,St. Vincent Grenadines,18,,,,14,4,,162,,175,1578,110903,North America
196,Curaao,16,,1,,14,1,,98,6,504,3073,164022,North America
197,Dominica,16,,,,16,0,,222,,433,6017,71967,North America
198,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7355,53159,North America
199,Falkland Islands,13,,,,13,0,,3749,,426,122837,3468,South America
