#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,31083325,36299,667928,2352,20042762,25742,10372635,31215,,,,,,North America,,,
,Asia,23372170,69692,376779,955,21835194,69412,1160197,23125,,,,,,Asia,,,
,South America,16146673,21296,421957,524,14404060,4862,1320656,19860,,,,,,South America,,,
,Europe,30853548,117232,723474,3742,17552594,129525,12577480,29403,,,,,,Europe,,,
,Africa,3636384,6234,93283,100,3130235,4049,412866,2603,,,,,,Africa,,,
,Oceania,50296,14,1078,,34099,14,15119,13,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,105143117,250767,2284514,7673,76999650,233604,25858953,106219,13489,293.1,,,,All,,,
1,USA,27167039,16509,462335,399,16911063,4280,9793641,23408,81790,1392,317328390,955359,332156223,North America,12,718,1
2,India,10802831,11708,154841,99,10494493,14985,153497,8944,7783,112,199216019,143522,1388049292,Asia,128,8964,7
3,Brazil,9354609,14688,227883,291,8236864,,889862,8318,43824,1068,28600000,133985,213456774,South America,23,937,7
4,Russia,3917918,16714,75205,521,3389913,24546,452800,2300,26840,515,103200000,706986,145971764,Europe,37,1941,1
5,UK,3892459,20634,110250,915,1828510,23597,1953699,3625,57160,1619,75610452,1110318,68098024,Europe,17,618,1
6,France,3251160,,77595,,228472,,2945093,3277,49743,1187,45205557,691644,65359528,Europe,20,842,1
7,Spain,2913389,,60370,,N/A,N/A,N/A,4836,62298,1291,33901309,724920,46765574,Europe,16,775,1
8,Italy,2597446,13659,90241,421,2076928,17680,430277,2151,42998,1494,33603023,556261,60408774,Europe,23,669,2
9,Turkey,2508988,7909,26467,113,2396199,8815,86322,1501,29560,312,30206504,355886,84876886,Asia,34,3207,3
10,Germany,2258374,5827,60482,270,1991000,17800,206892,4222,26904,721,40705522,484916,83943401,Europe,37,1388,2
11,Colombia,2125622,,54877,,1988958,,81787,3482,41513,1072,10273080,200629,51204313,South America,24,933,5
12,Argentina,1952744,,48539,,1745208,,158997,3571,42972,1068,6340947,139540,45441781,South America,23,936,7
13,Mexico,1886245,12153,161240,1707,1450237,13755,274768,5692,14539,1243,4762394,36708,129735649,North America,69,805,27
