#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,30650849,32481,654553,797,19511887,66374,10484409,32186,,,,,,North America,,,
,Asia,23155363,65612,373688,905,21606879,61321,1174796,23481,,,,,,Asia,,,
,South America,15897897,5375,416072,165,14080761,5116,1401064,19801,,,,,,South America,,,
,Europe,30380376,108035,705751,2612,17035790,78428,12638835,29894,,,,,,Europe,,,
,Africa,3590608,4932,91169,90,3068798,4560,430641,2728,,,,,,Africa,,,
,Oceania,50181,8,1076,,34061,17,15044,10,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,103725995,216443,2242324,4569,75338882,215816,26144789,108100,13307,287.7,,,,All,,,
1,USA,26786352,19123,452458,179,16453991,50148,9879903,24320,80648,1362,312495238,940853,332140343,North America,12,734,1
2,India,10767159,8540,154521,93,10447359,13371,165279,8944,7758,111,197092635,142004,1387938171,Asia,129,8982,7
3,Brazil,9204731,,224534,,8027042,,953155,8318,43125,1052,28600000,133993,213444408,South America,23,951,7
4,Russia,3868087,17648,73619,437,3318173,18169,476295,2300,26499,504,102300000,700823,145971253,Europe,38,1983,1
5,UK,3835783,18607,106564,406,1673936,,2055283,3832,56330,1565,73448821,1078621,68095107,Europe,18,639,1
6,France,3197114,,76057,,224406,,2896651,3158,48917,1164,44068668,674262,65358347,Europe,20,859,1
7,Spain,2852729,25867,59081,254,N/A,N/A,N/A,4894,61001,1263,32027728,684859,46765426,Europe,16,792,1
8,Italy,2560957,7925,88845,329,2024523,13975,447589,2252,42393,1471,32809145,543112,60409500,Europe,24,680,2
9,Turkey,2485182,7719,26117,124,2370431,8016,88634,1615,29282,308,29773125,350811,84869451,Asia,34,3250,3
10,Germany,2228315,2629,57919,142,1935600,13900,234796,4348,26546,690,38533736,459056,83941211,Europe,38,1449,2
11,Colombia,2094884,,53983,,1938322,,102579,3482,40916,1054,10091218,197095,51199870,South America,24,948,5
12,Argentina,1927239,,47974,,1721650,,157615,3617,42414,1056,6191638,136264,45438385,South America,24,947,7
13,Mexico,1864260,7030,158536,462,1412393,9329,293331,5692,14371,1222,4700463,36234,129724552,North America,70,818,28
14,Poland,1515889,2507,37222,42,1276636,6169,202031,1385,40079,984,8661072,228994,37822220,Europe,25,1016,4
15,South Africa,1453761,,44164,,1299620,,109977,546,24333,739,8279200,138575,59745206,Africa,41,1353,7
16,Iran,1424596,6597,58038,79,1216305,6254,150253,3896,16835,686,9340259,110378,84620456,Asia,59,1458,9
17,Ukraine,1221485,2030,22768,61,1023915,5131,174802,177,28029,522,6209089,142480,43578749,Europe,36,1914,7
18,Peru,1138239,,41026,,1052050,,45163,1857,34243,1234,6333674,190545,33239753,South America,29,810,5
19,Indonesia,1089308,10994,30277,279,883682,10461,175349,,3958,110,9286902,33744,275214166,Asia,253,9090,30
20,Czechia,987329,2540,16392,41,875313,166,95624,941,92096,1529,6173509,575852,10720653,Europe,11,654,2
21,Netherlands,981663,3188,14025,27,N/A,N/A,N/A,639,57216,817,6970400,406268,17157141,Europe,17,1223,2
22,Canada,781926,2954,20103,71,709365,3706,52458,830,20612,530,17483364,460867,37935784,North America,49,1887,2
