#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,31228612,35127,675155,2499,20189016,21217,10364441,30952,,,,,,North America,,,
,Asia,23443813,68055,377771,944,21901604,64279,1164438,22938,,,,,,Asia,,,
,South America,16233867,16690,423989,367,14494563,4629,1315315,19832,,,,,,South America,,,
,Europe,31057400,138731,729201,4345,17698693,136484,12629506,29346,,,,,,Europe,,,
,Africa,3653695,6727,93845,93,3146778,5847,413072,2591,,,,,,Africa,,,
,Oceania,50346,6,1078,,34100,1,15168,12,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,105668454,265336,2301054,8248,77465460,232457,25901940,105671,13556,295.2,,,,All,,,
1,USA,27288131,14117,467658,661,17035176,3369,9785297,23167,82153,1408,318932133,960172,332161517,North America,12,710,1
2,India,10814656,11123,154954,92,10508782,13381,150920,8944,7791,112,199931795,144034,1388086332,Asia,128,8958,7
3,Brazil,9406817,9048,229097,214,8291763,,885957,8318,44068,1073,28600000,133982,213460896,South America,23,932,7
4,Russia,3934606,16688,75732,527,3413495,23582,445379,2300,26955,519,103600000,709725,145971935,Europe,37,1927,1
5,UK,3911573,19114,111264,1014,1862645,34135,1937664,3625,57440,1634,76432166,1122368,68098996,Europe,17,612,1
6,France,3274608,,77952,,228472,,2968184,3277,50101,1193,45205557,691640,65359921,Europe,20,838,1
7,Spain,2971914,28565,61386,584,N/A,N/A,N/A,4795,63549,1313,33901309,724919,46765623,Europe,16,762,1
8,Italy,2611659,14218,90618,377,2091923,14995,429118,2142,43233,1500,33873530,560741,60408532,Europe,23,667,2
9,Turkey,2516889,7901,26577,110,2404416,8217,85896,1423,29653,313,30349042,357555,84879364,Asia,34,3194,3
10,Germany,2269012,3518,61161,276,2008200,17200,199651,4222,27030,729,40705522,484912,83944131,Europe,37,1373,2
11,Colombia,2135412,,55131,,2001135,,79146,3482,41703,1077,10345704,202042,51205793,South America,24,929,5
12,Argentina,1961635,,48700,,1754705,,158230,3570,43167,1072,6393504,140693,45442913,South America,23,933,7
13,Mexico,1899820,13575,162922,1682,1461011,10774,275887,5692,14643,1256,4805195,37037,129739348,North America,68,796,27
14,Poland,1539564,6053,38712,368,1294687,6524,206165,1338,40706,1024,8835802,233617,37821768,Europe,25,977,4
15,South Africa,1466767,,45605,,1327186,,93976,546,24547,763,8400319,140583,59753378,Africa,41,1310,7
16,Iran,1452380,7061,58336,80,1241320,5739,152724,3819,17161,689,9504930,112309,84632205,Asia,58,1451,9
17,Ukraine,1237169,4923,23387,158,1063591,8185,150191,177,28391,537,6299699,144568,43575893,Europe,35,1863,7
18,Peru,1165052,,41753,,1076446,,46853,1953,35045,1256,6491121,195252,33244774,South America,29,796,5
19,Indonesia,1134854,11749,31202,201,926980,9674,176672,,4123,113,9578686,34800,275245757,Asia,243,8821,29
20,Czechia,1021477,8032,16976,65,909305,541,95196,995,95279,1583,6448015,601445,10720869,Europe,10,632,2
21,Netherlands,997751,4321,14294,60,N/A,N/A,N/A,573,58152,833,6970400,406258,17157554,Europe,17,1200,2
22,Canada,796512,2778,20590,77,729345,3838,46577,760,20994,543,21920909,577787,37939397,North America,48,1843,2
23,Portugal,755774,6916,13740,258,585276,11342,156758,904,74249,1350,7473397,734207,10178873,Europe,13,741,1
24,Chile,744019,3782,18808,77,701315,3067,23896,1487,38723,979,8273884,430617,19214019,South America,26,1022,2
25,Romania,740732,2580,18748,73,686692,2597,35292,954,38659,978,5548136,289560,19160557,Europe,26,1022,3
26,Belgium,718847,2452,21260,44,49441,139,648146,306,61864,1830,8447768,727017,11619763,Europe,16,547,1
27,Israel,680856,5238,5020,19,591052,1334,84784,1101,74025,546,10809165,1175217,9197590,Asia,14,1832,1
28,Iraq,625756,1534,13103,12,598147,1188,14506,199,15354,321,5852224,143592,40755941,Asia,65,3110,7
29,Sweden,588062,,12115,41,N/A,N/A,N/A,240,58012,1195,5499317,542507,10136855,Europe,17,837,2
30,Pakistan,551842,1302,11886,53,507502,1684,32454,1903,2470,53,8122447,36353,223432221,Asia,405,18798,28
31,Bangladesh,537465,435,8182,7,482424,507,46859,,3244,49,3724473,22482,165666671,Asia,308,20248,44
32,Philippines,533587,1894,11058,61,488274,397,34255,807,4831,100,8003768,72466,110448057,Asia,207,9988,14
33,Switzerland,531873,1584,9584,28,317600,,204689,250,61188,1103,4479886,515381,8692379,Europe,16,907,2
