#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,32298024,10505,716118,1223,21484931,7222,10096975,26270,,,,,,North America,,,
,Asia,23978238,3426,385027,48,22498292,6509,1094919,22364,,,,,,Asia,,,
,South America,16882242,938,440776,48,15188006,1324,1253460,19937,,,,,,South America,,,
,Europe,32132179,1895,764151,35,18788316,7225,12579712,27621,,,,,,Europe,,,
,Africa,3764868,,98305,,3294362,,372201,2499,,,,,,Africa,,,
,Oceania,50549,8,1080,,34195,6,15274,6,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,109106821,16772,2405472,1354,81288808,22286,25412541,98697,13997,308.6,,,,All,,,
1,USA,28196964,,496063,,18153126,,9547775,19555,84877,1493,334805401,1007815,332209157,North America,12,670,1
2,India,10904940,202,155673,,10611731,1943,137536,8944,7854,112,206230512,148536,1388419695,Asia,127,8919,7
3,Brazil,9811255,,238647,,8710840,,861768,8318,45955,1118,28600000,133959,213497994,South America,22,895,7
4,Russia,4057698,,79696,,3577907,,400095,2300,27798,546,106400000,728900,145973468,Europe,36,1832,1
5,UK,4027106,,116908,,2125331,,1784867,2943,59128,1717,81044007,1189938,68107747,Europe,17,583,1
6,France,3448617,,81647,,238753,,3128217,3337,52761,1249,48207178,737525,65363463,Europe,19,801,1
7,Spain,3056035,,64747,,N/A,N/A,N/A,4432,65347,1384,35782465,765137,46766067,Europe,15,722,1
8,Italy,2710819,,93356,,2216050,,401413,2062,44876,1545,35962939,595350,60406354,Europe,22,647,2
9,Turkey,2579896,,27377,,2468419,,84100,1235,30387,322,31412611,369988,84901668,Asia,33,3101,3
10,Germany,2336905,,65415,,2119100,7100,152390,3736,27837,779,41758675,497419,83950702,Europe,36,1283,2
11,Colombia,2190116,,57425,,2078391,,54300,3482,42760,1121,10813163,211116,51219122,South America,23,892,5
12,Argentina,2021553,,50188,,1820965,,150400,3514,44476,1104,6793797,149468,45453102,South America,22,906,7
13,Mexico,1988695,9741,173771,1214,1542991,7205,271933,4798,15324,1339,5085315,39186,129772637,North America,65,747,26
14,Poland,1583621,,40709,,1336467,,206445,1270,41872,1076,9178403,242682,37820753,Europe,24,929,4
15,Iran,1510873,,58883,,1291726,,160264,3720,17847,696,9993224,118041,84658640,Asia,56,1438,8
16,South Africa,1490063,,47821,,1385996,,56246,546,24929,800,8672596,145095,59771764,Africa,40,1250,7
17,Ukraine,1268049,,24285,,1112299,,131465,177,29104,557,6447576,147984,43569466,Europe,34,1794,7
18,Peru,1227205,,43491,,1137412,,46302,2075,36902,1308,6879425,206862,33256072,South America,27,765,5
19,Indonesia,1210703,,32936,,1016036,,161731,,4397,120,10025524,36414,275316836,Asia,227,8359,27
20,Czechia,1082849,,18058,,963707,,101084,1088,100999,1684,6926172,646016,10721356,Europe,10,594,2
21,Netherlands,1025837,,14793,,N/A,N/A,N/A,538,59786,862,6970400,406236,17158484,Europe,17,1160,2
22,Canada,823353,,21228,,765469,,36656,672,21697,559,22883055,603018,37947526,North America,46,1788,2
23,Portugal,784079,,15183,,661525,,107371,803,77036,1492,7766721,763078,10178145,Europe,13,670,1
24,Chile,772395,,19443,,730204,,22748,1530,40191,1012,8666840,450974,19218049,South America,25,988,2
25,Romania,760091,,19325,,706394,,34372,969,39676,1009,5707776,297941,19157418,Europe,25,991,3
26,Belgium,737115,1895,21634,35,50671,151,664810,295,63430,1862,8868452,763140,11621001,Europe,16,537,1
27,Israel,721846,,5351,,655519,,60976,999,78482,582,11358022,1234891,9197590,Asia,13,1719,1
28,Iraq,641628,,13164,,605980,,22484,271,15735,323,6192076,151848,40778190,Asia,64,3098,7
29,Sweden,608411,,12428,,N/A,N/A,N/A,218,60011,1226,5510486,543526,10138401,Europe,17,816,2
30,Pakistan,563029,1404,12307,31,525087,1387,25635,1702,2519,55,8434098,37730,223537866,Asia,397,18163,27
31,Philippines,547255,,11507,,500781,,34967,807,4953,104,8288845,75023,110483925,Asia,202,9601,13
32,Switzerland,540727,,9755,,317600,,213372,219,62196,1122,4674340,537655,8693933,Europe,16,891,2
33,Bangladesh,540266,,8266,,486767,,45233,,3260,50,3835216,23145,165706987,Asia,307,20047,43
34,Morocco,478135,,8460,,458504,,11171,305,12859,228,5516186,148358,37181606,Africa,78,4395,7
35,Austria,432303,,8195,,409877,,14231,266,47830,907,4821686,533470,9038343,Europe,21,1103,2
36,Serbia,419493,,4214,,31536,,383743,135,48132,484,2762877,317011,8715385,Europe,21,2068,3
37,Japan,413154,,6849,,380569,,25736,693,3273,54,7539403,59725,126234697,Asia,306,18431,17
38,Hungary,385755,,13636,,293542,,78577,299,39995,1414,3357672,348124,9645038,Europe,25,707,3
39,Saudi Arabia,372410,,6429,,363303,,2678,456,10595,183,12946778,368339,35149049,Asia,94,5467,3
40,UAE,345605,,1001,,326780,,17824,,34684,100,27907006,2800664,9964426,Asia,29,9954,0
41,Jordan,344803,,4444,,325892,,14467,153,33587,433,4178921,407066,10265956,Asia,30,2310,2
42,Lebanon,336999,,3961,,226658,,106380,882,49512,582,2792389,410263,6806346,Asia,20,1718,2
43,Panama,331692,,5621,,309296,,16775,202,76133,1290,1791373,411172,4356753,North America,13,775,2
