State,Confirmed,Deaths
Baden-Wrttemberg,41248,0
Bayern,56639,0
Berlin,11011,0
Brandenburg,3857,0
Bremen,1958,0
Hamburg,6167,0
Hessen,15232,0
"Mecklenburg-
Vorpommern",1001,0
Niedersachsen,16506,0
Nordrhein-Westfalen,58187,0
Rheinland-Pfalz,8874,0
Saarland,3112,0
Sachsen,5905,0
Sachsen-Anhalt,2218,0
Schleswig-Holstein,4000,0
Thringen,3592,0
