State,Confirmed,Deaths
Baden-Wrttemberg,40964,0
Bayern,56191,0
Berlin,10934,0
Brandenburg,3839,0
Bremen,1944,0
Hamburg,6137,0
Hessen,15105,0
"Mecklenburg-
Vorpommern",999,0
Niedersachsen,16419,0
Nordrhein-Westfalen,57826,0
Rheinland-Pfalz,8842,0
Saarland,3095,0
Sachsen,5866,0
Sachsen-Anhalt,2209,0
Schleswig-Holstein,3981,0
Thringen,3585,0
