State,Confirmed,Deaths
Baden-Wrttemberg,40031,0
Bayern,54858,0
Berlin,10717,0
Brandenburg,3787,0
Bremen,1900,0
Hamburg,6019,0
Hessen,14587,0
"Mecklenburg-
Vorpommern",992,0
Niedersachsen,16055,0
Nordrhein-Westfalen,56784,0
Rheinland-Pfalz,8615,0
Saarland,3071,0
Sachsen,5820,0
Sachsen-Anhalt,2179,0
Schleswig-Holstein,3902,0
Thringen,3547,0
