#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,37075490,84595,841207,1458,28764289,74060,7469994,16814,,,,,,North America,,,
,Asia,32215050,351131,455808,2497,28402923,204874,3356319,28563,,,,,,Asia,,,
,South America,22815643,81624,605398,3272,20391260,7233,1818985,24228,,,,,,South America,,,
,Europe,42159059,200209,962638,4284,29905538,120800,11290883,33105,,,,,,Europe,,,
,Africa,4418195,9890,116931,250,3951896,6926,349368,3724,,,,,,Africa,,,
,Oceania,60349,177,1155,2,34722,22,24472,5,,,,,,Australia/Oceania,,,
,,721,,15,,706,,0,0,,,,,,,,,
,World,138744507,727626,2983152,11763,111451334,413915,24310021,106439,17800,382.7,,,,All,,,
1,USA,32140942,70158,577935,756,24691061,64651,6871946,9661,96658,1738,423264184,1272893,332521463,North America,10,575,1
2,India,14070890,199569,173152,1037,12426146,93458,1471592,8944,10119,125,260618866,187414,1390605073,Asia,99,8031,5
3,Brazil,13673507,71941,361884,3166,12074798,,1236825,8318,63972,1693,28600000,133807,213741192,South America,16,591,7
4,France,5149834,43505,99777,297,315152,2101,4734905,5902,78760,1526,70521002,1078522,65386679,Europe,13,655,1
5,Russia,4666209,8326,104000,399,4291223,9447,270986,2300,31964,712,124400000,852151,145983521,Europe,31,1404,1
6,UK,4378305,2491,127161,38,4000777,8361,250367,370,64231,1865,138606631,2033395,68165116,Europe,16,536,0
7,Turkey,4025557,62797,34734,279,3480146,55413,510677,3018,47333,408,42509905,499835,85047882,Asia,21,2449,2
8,Italy,3809193,16168,115557,469,3178976,20251,514660,3490,63074,1913,53885257,892257,60392079,Europe,16,523,1
9,Spain,3387022,10474,76756,131,3118437,4384,191829,2153,72420,1641,44285495,946899,46768976,Europe,14,609,1
10,Germany,3064382,32546,79813,405,2718700,18500,265869,4662,36483,950,51559277,613846,83993775,Europe,27,1052,2
11,Poland,2621116,21283,59930,803,2229801,10146,331385,3457,69316,1585,13243930,350238,37814097,Europe,14,631,3
12,Argentina,2579000,,58174,,2262875,,257951,3836,56657,1278,9743345,214046,45519891,South America,18,782,5
13,Colombia,2569314,,66482,,2408624,,94208,4299,50078,1296,13439422,261944,51306497,South America,20,772,4
14,Mexico,2286133,4293,210294,592,1815237,2543,260602,4798,17587,1618,6305194,48505,129990868,North America,57,618,21
15,Iran,2143794,25582,65359,304,1739002,9709,339433,4539,25271,770,13964570,164615,84831939,Asia,40,1298,6
16,Ukraine,1887338,14553,38225,467,1442618,12384,406495,177,43360,878,8716400,200251,43527334,Europe,23,1139,5
17,Peru,1659707,,55489,,1584425,,19793,2599,49796,1665,10086002,302609,33330131,South America,20,601,3
18,Czechia,1590124,5033,28124,38,1480882,258,81118,1097,148270,2622,14872167,1386741,10724549,Europe,7,381,1
19,Indonesia,1583182,5656,42906,124,1431892,5747,108384,,5741,156,13584986,49260,275782804,Asia,174,6428,20
20,South Africa,1561559,1599,53498,75,1486873,1558,21188,546,26073,893,10216114,170575,59892296,Africa,38,1120,6
21,Netherlands,1369411,5386,16848,28,N/A,N/A,N/A,776,79781,982,11292587,657901,17164578,Europe,13,1019,2
22,Chile,1094267,5557,24548,30,1026934,6009,42785,3271,56861,1276,12057833,626561,19244471,South America,18,784,2
23,Canada,1084296,5734,23427,35,981189,4312,79680,928,28533,616,29251338,769756,38000812,North America,35,1622,1
24,Romania,1016449,4076,25605,164,920653,5189,70191,1521,53115,1338,7773502,406206,19136844,Europe,19,747,2
25,Iraq,949050,7972,14836,40,831519,5196,102695,512,23191,363,8644228,211226,40924041,Asia,43,2758,5
26,Belgium,930603,3374,23566,63,59964,91,847073,919,80024,2026,11767945,1011938,11629113,Europe,12,493,1
27,Philippines,892880,8122,15447,162,704386,501,173047,750,8064,140,10917317,98604,110719062,Asia,124,7168,10
28,Sweden,885385,,13720,36,N/A,N/A,N/A,391,87243,1352,7847033,773218,10148535,Europe,11,740,1
29,Israel,836504,170,6312,3,827184,416,3008,219,90948,686,13914938,1512890,9197590,Asia,11,1457,1
30,Portugal,828857,684,16931,8,786469,660,25457,116,81473,1664,9608064,944432,10173374,Europe,12,601,1
31,Pakistan,734423,4503,15754,135,641912,3645,76757,4216,3275,70,10878086,48513,224230425,Asia,305,14233,21
32,Hungary,731675,3597,24265,285,435344,4220,272066,1204,75891,2517,5011794,519836,9641101,Europe,13,397,2
33,Bangladesh,703170,5185,9987,96,591299,5333,101884,,4237,60,5095613,30702,165971278,Asia,236,16619,33
34,Jordan,676175,4085,7987,50,617096,6482,51092,729,65761,777,6404559,622874,10282272,Asia,15,1287,2
35,Serbia,651899,3154,5846,38,571312,5190,74741,247,74847,671,3632392,417050,8709738,Europe,13,1490,2
36,Switzerland,627968,2601,10488,16,563438,1577,54042,209,72146,1205,6474822,743880,8704121,Europe,14,830,1
37,Austria,584205,2942,9779,31,544989,3203,29437,586,64577,1081,27703138,3062267,9046612,Europe,15,925,0
38,Japan,512169,3367,9469,44,471007,2237,31693,608,4059,75,10595999,83980,126172557,Asia,246,13325,12
39,Morocco,503664,703,8920,5,489928,640,4816,245,13520,239,6127022,164474,37252112,Africa,74,4176,6
40,Lebanon,502299,2460,6778,40,413175,1465,82346,821,73852,997,3759792,552793,6801443,Asia,14,1003,2
41,UAE,489495,1798,1541,4,473398,1492,14556,,49029,154,40925902,4099278,9983685,Asia,20,6479,0
42,Saudi Arabia,401157,929,6781,8,385441,806,8935,986,11385,192,15973019,453309,35236508,Asia,88,5196,2
43,Bulgaria,380576,2517,14871,125,296998,3647,68707,807,55097,2153,2319263,335768,6907330,Europe,18,464,3
44,Slovakia,373107,1069,10798,82,255300,,107009,488,68313,1977,2458340,450104,5461715,Europe,15,506,2
45,Malaysia,365829,1889,1353,8,347780,1485,16696,204,11191,41,8345401,255292,32689620,Asia,89,24161,4
46,Panama,359121,,6173,,348953,,3995,105,82222,1413,2252943,515818,4367710,North America,12,708,2
47,Ecuador,350539,2950,17400,49,298604,,34535,591,19636,975,1205869,67548,17851927,South America,51,1026,15
48,Belarus,338801,1166,2383,10,329135,1287,7283,,35864,252,5589696,591697,9446886,Europe,28,3964,2
49,Greece,304184,3081,9135,81,254804,,40245,809,29296,880,7249251,698180,10383068,Europe,34,1137,1
50,Croatia,297973,3099,6399,41,277694,1274,13880,185,72936,1566,1663542,407194,4085376,Europe,14,638,2
51,Azerbaijan,291894,2293,4009,31,255833,2071,32052,,28587,393,3054472,299147,10210604,Asia,35,2547,3
52,Georgia,291214,1085,3901,7,278683,432,8630,,73111,979,3758475,943592,3983159,Asia,14,1021,1
53,Bolivia,284183,1099,12496,27,233646,1224,38041,71,24089,1059,1010063,85619,11797242,South America,42,944,12
54,Nepal,281564,580,3061,3,274447,129,4056,,9530,104,2325959,78726,29544908,Asia,105,9652,13
55,Tunisia,276727,2123,9480,84,229754,1487,37493,446,23225,796,1198763,100608,11915218,Africa,43,1257,10
56,Kazakhstan,276054,2229,3286,26,237446,1584,35322,221,14566,173,9283107,489821,18952041,Asia,69,5768,2
57,Palestine,274690,1923,2923,22,239291,2245,32476,180,52891,563,1650739,317844,5193556,Asia,19,1777,3
58,Dominican Republic,259260,623,3402,5,217286,278,38572,156,23714,311,1357657,124181,10932898,North America,42,3214,8
59,Kuwait,250273,,1419,,233757,,15097,235,57936,328,2178279,504252,4319819,Asia,17,3044,2
60,Moldova,243365,1001,5466,28,226325,1289,11574,304,60439,1357,916328,227568,4026606,Europe,17,737,4
61,Ireland,242105,421,4812,9,23364,,213929,49,48607,966,4226847,848618,4980858,Europe,21,1035,1
62,Paraguay,240141,,4978,,196718,,38445,485,33349,691,988044,137211,7200926,South America,30,1447,7
63,Denmark,239532,663,2447,1,228685,678,8400,41,41240,421,30365290,5228025,5808176,Europe,24,2374,0
64,Ethiopia,234405,1893,3252,22,174591,773,56562,995,2000,28,2469593,21076,117174733,Africa,500,36032,47
65,Lithuania,229260,1284,3718,4,208123,732,17419,151,85152,1381,2536278,942023,2692373,Europe,12,724,1
66,Slovenia,229076,1233,4135,5,211485,1566,13456,154,110177,1989,1115238,536388,2079162,Europe,9,503,2
67,Costa Rica,225343,,3044,,196060,,26239,221,43922,593,842015,164120,5130473,North America,23,1685,6
68,Egypt,212130,,12526,,160431,,39173,90,2043,121,2677262,25783,103836905,Africa,489,8290,39
69,Guatemala,207127,1805,7089,32,187894,842,12144,5,11397,390,1128745,62109,18173591,North America,88,2564,16
70,Armenia,205128,1075,3794,19,184243,583,17091,,69123,1278,915473,308491,2967583,Asia,14,782,3
71,Honduras,196704,618,4873,12,76081,129,115750,576,19617,486,545442,54395,10027388,North America,51,2058,18
72,Qatar,192963,984,348,8,171388,601,21227,483,68724,124,1820083,648223,2807805,Asia,15,8068,2
73,Bosnia and Herzegovina,186372,708,7642,76,143944,1290,34786,,57086,2341,855428,262017,3264785,Europe,18,427,4
74,Venezuela,176972,,1815,,159547,,15610,237,6237,64,3359014,118389,28372704,South America,160,15632,8
75,Oman,175633,1269,1807,9,155645,874,18181,264,33727,347,1550000,297651,5207442,Asia,30,2882,3
76,Libya,170045,541,2834,4,155117,897,12094,,24487,408,921545,132707,6944187,Africa,41,2450,8
77,Nigeria,163911,,2061,,154225,,7625,11,780,10,1838174,8749,210106735,Africa,1282,101944,114
78,Bahrain,159964,1175,569,3,148093,931,11302,91,91549,326,3834581,2194575,1747300,Asia,11,3071,0
79,Uruguay,149430,,1595,,116533,,31302,486,42901,458,1561178,448208,3483158,South America,23,2184,2
80,Kenya,148128,981,2420,26,99580,,46128,269,2708,44,1578773,28867,54692071,Africa,369,22600,35
81,North Macedonia,144111,949,4322,33,119683,737,20106,124,69174,2075,677988,325438,2083307,Europe,14,482,3
82,Myanmar,142605,9,3206,,131874,5,7525,,2607,59,2556004,46732,54695129,Asia,384,17060,21
83,Albania,128959,207,2331,5,99441,538,27187,18,44850,811,592872,206193,2875332,Europe,22,1234,5
84,Algeria,118975,176,3141,4,82929,116,32905,19,2676,71,230861,5192,44467657,Africa,374,14157,193
85,Estonia,115629,549,1057,8,97889,1045,16683,68,87120,796,1209128,911013,1327234,Europe,11,1256,1
86,S. Korea,111419,731,1782,7,101983,651,7654,100,2172,35,8245388,160717,51303772,Asia,460,28790,6
87,Latvia,109088,733,2019,17,99840,,7229,94,58342,1080,2068890,1106484,1869788,Europe,17,926,1
88,Norway,105330,322,706,18,88952,,15672,53,19311,129,4923702,902705,5454387,Europe,52,7726,1
89,Sri Lanka,95719,99,602,,92151,225,2966,,4455,28,2374627,110532,21483547,Asia,224,35687,9
90,Montenegro,94859,216,1405,14,89615,380,3839,69,151019,2237,355916,566630,628128,Europe,7,447,2
91,Ghana,91477,67,763,2,89301,82,1413,10,2897,24,1034099,32748,31577420,Africa,345,41386,31
92,Kyrgyzstan,90839,240,1534,2,86313,161,2992,25,13747,232,913797,138285,6608070,Asia,73,4308,7
93,Zambia,90389,171,1229,,88241,97,919,49,4812,65,1321490,70355,18783167,Africa,208,15283,14
94,Cuba,89404,959,487,11,84114,1027,4803,75,7897,43,3277536,289504,11321194,North America,127,23247,3
95,Uzbekistan,85503,212,634,,83264,175,1605,23,2526,19,1377915,40710,33847485,Asia,396,53387,25
96,Finland,82964,400,881,4,46000,,36083,34,14955,159,4204546,757922,5547466,Europe,67,6297,1
97,Mozambique,68927,56,794,,59972,71,8161,68,2158,25,499500,15641,31934412,Africa,463,40220,64
98,El Salvador,66816,159,2057,3,63196,124,1563,60,10261,316,876378,134583,6511822,North America,97,3166,7
99,Luxembourg,64334,272,784,7,60203,191,3347,30,101487,1237,2530508,3991879,633914,Europe,10,809,0
100,Cameroon,61731,,919,,56926,,3886,385,2281,34,1257949,46489,27058922,Africa,438,29444,22
101,Singapore,60719,27,30,,60392,18,297,2,10315,5,9036706,1535205,5886318,Asia,97,196211,1
102,Afghanistan,57534,42,2533,1,52022,9,2979,1124,1453,64,375610,9483,39609752,Asia,688,15637,105
103,Cyprus,52652,,274,,39061,,13317,63,43362,226,4052674,3337641,1214233,Asia,23,4432,0
104,Namibia,46051,102,592,6,44162,178,1297,32,17872,230,366186,142112,2576737,Africa,56,4353,7
105,Ivory Coast,45265,,269,,44771,,225,,1684,10,557294,20728,26885472,Africa,594,99946,48
106,Botswana,43444,,663,,38923,,3858,1,18188,278,958802,401413,2388568,Africa,55,3603,2
107,Jamaica,43054,130,692,10,19248,112,23114,39,14490,233,308897,103961,2971286,North America,69,4294,10
108,Uganda,41237,33,338,1,40779,,120,24,880,7,974067,20787,46859327,Africa,1136,138637,48
109,Senegal,39495,,1081,,38241,,173,14,2312,63,456487,26717,17086304,Africa,433,15806,37
110,Zimbabwe,37369,39,1548,5,34946,14,875,12,2486,103,394257,26228,15031654,Africa,402,9710,38
111,Thailand,35910,1335,97,,28322,34,7491,1,513,1,8124896,116174,69937195,Asia,1948,721002,9
112,Malawi,33891,19,1134,1,31675,103,1082,20,1737,58,225576,11560,19513605,Africa,576,17208,87
113,Sudan,31700,,2194,,25451,,4055,,710,49,232965,5218,44644713,Africa,1408,20349,192
114,Malta,29778,58,403,,28797,41,578,,67300,911,838522,1895119,442464,Europe,15,1098,1
115,Australia,29442,5,910,,26380,19,2152,,1144,35,16210906,630017,25730890,Australia/Oceania,874,28276,2
116,Madagascar,29348,583,520,8,24695,285,4133,246,1039,18,158085,5597,28243550,Africa,962,54315,179
117,DRC,28714,49,745,,25841,,2128,,313,8,143603,1567,91670432,Africa,3193,123048,638
118,Maldives,25844,85,67,,23141,160,2636,82,47164,122,675941,1233561,547959,Asia,21,8178,1
119,Angola,23841,144,557,3,22144,29,1140,17,708,17,443086,13164,33657917,Africa,1412,60427,76
120,Rwanda,23672,69,317,1,21594,199,1761,7,1793,24,1237120,93710,13201519,Africa,558,41645,11
121,Guinea,21106,,136,,18686,,2284,24,1574,10,416078,31030,13409110,Africa,635,98596,32
122,Gabon,20971,,129,,17762,,3080,20,9252,57,669004,295166,2266534,Africa,108,17570,3
123,Syria,20555,120,1402,10,14335,105,4818,,1153,79,103566,5808,17830832,Asia,867,12718,172
124,Mayotte,19706,,167,,2964,,16575,8,70903,601,165683,596136,277928,Africa,14,1664,2
125,Cabo Verde,19231,,187,,17487,,1557,23,34298,334,136977,244295,560703,Africa,29,2998,4
126,French Polynesia,18678,,141,,4842,,13695,2,66192,500,26355,93398,282179,Australia/Oceania,15,2001,11
127,Runion,18425,,135,,16794,,1496,54,20465,150,100098,111182,900309,Africa,49,6669,9
128,Eswatini,18402,,669,,17682,,51,3,15734,572,174638,149321,1169548,Africa,64,1748,7
129,Mauritania,18052,,451,,17398,,203,14,3805,95,217078,45754,4744494,Africa,263,10520,22
130,French Guiana,17883,77,95,,9995,,7793,11,58692,312,172132,564941,304690,South America,17,3207,2
131,Mongolia,17823,1220,29,2,10253,366,7541,88,5369,9,2503759,754273,3319434,Asia,186,114463,1
132,Tajikistan,13308,,90,,13218,,0,,1371,9,,,9704150,Asia,729,107824,
133,Burkina Faso,12989,,153,,12627,,209,,608,7,175352,8214,21347826,Africa,1644,139528,122
134,Haiti,12855,,251,,11513,,1091,,1117,22,60085,5220,11511033,North America,895,45861,192
135,Guadeloupe,12717,,176,,2242,,10299,13,31778,440,164128,410137,400178,North America,31,2274,2
136,Andorra,12641,27,121,,11989,57,531,29,163401,1564,193595,2502456,77362,Europe,6,639,0
137,Somalia,12566,,618,,5270,,6678,,774,38,100631,6198,16237049,Africa,1292,26274,161
138,Belize,12513,,318,,12137,,58,1,31030,789,107277,266032,403249,North America,32,1268,4
139,Mali,12467,288,419,2,7238,44,4810,,602,20,243860,11779,20702944,Africa,1661,49410,85
140,Togo,12125,91,117,1,9464,161,2544,,1438,14,293694,34841,8429471,Africa,695,72047,29
141,Hong Kong,11613,5,209,1,11237,10,167,6,1539,28,11193673,1483680,7544535,Asia,650,36098,1
142,Curaao,11430,,74,,7189,,4167,22,69433,450,85774,521049,164618,North America,14,2225,2
143,Guyana,11277,,258,,9796,,1223,15,14283,327,101263,128258,789523,South America,70,3060,8
144,Lesotho,10709,,315,,5028,,5366,,4968,146,71629,33230,2155527,Africa,201,6843,30
145,South Sudan,10403,16,114,,10148,,141,,921,10,140929,12476,11296186,Africa,1086,99089,80
146,Aruba,10122,,92,,9515,,515,14,94491,859,137229,1281065,107121,North America,11,1164,1
147,Congo,10084,,137,,8208,,1739,,1793,24,92500,16449,5623557,Africa,558,41048,61
148,Djibouti,10077,,102,,8394,,1581,,10085,102,141406,141519,999205,Africa,99,9796,7
149,Martinique,9890,,64,,98,,9728,24,26371,171,140946,375819,375037,North America,38,5860,3
150,Bahamas,9505,,190,,8965,,350,3,23992,480,80704,203705,396180,North America,42,2085,5
151,Suriname,9363,,184,,8711,,468,9,15850,311,46424,78586,590740,South America,63,3211,13
152,Papua New Guinea,8984,170,71,2,846,,8067,,990,8,70260,7739,9078952,Australia/Oceania,1011,127873,129
153,Trinidad and Tobago,8596,85,148,2,7818,19,630,14,6127,105,118602,84532,1403038,North America,163,9480,12
154,Benin,7515,,93,,6452,,970,35,608,8,548484,44341,12369609,Africa,1646,133007,23
155,Equatorial Guinea,7259,40,106,,6885,86,268,11,5046,74,116266,80816,1438649,Africa,198,13572,12
156,Nicaragua,6778,,180,,4225,,2373,,1014,27,,,6686084,North America,986,37145,
157,Iceland,6275,1,29,,6163,11,83,,18296,85,566304,1651148,342976,Europe,55,11827,1
158,CAR,5682,,75,,5112,,495,2,1161,15,40907,8357,4895176,Africa,862,65269,120
159,Gambia,5602,,168,,5145,,289,3,2269,68,59297,24014,2469309,Africa,441,14698,42
160,Yemen,5582,75,1083,10,2128,58,2371,23,184,36,22934,756,30336633,Asia,5435,28012,1323
161,Niger,5081,,189,,4760,,132,1,204,8,93751,3768,24883615,Africa,4897,131659,265
162,San Marino,5004,18,86,,4625,57,293,8,147233,2530,57223,1683673,33987,Europe,7,395,1
163,Cambodia,4874,178,35,2,2290,38,2549,,288,2,788973,46686,16899460,Asia,3467,482842,21
164,Chad,4662,10,167,,4312,6,183,,278,10,110863,6602,16791222,Africa,3602,100546,151
165,Seychelles,4633,,25,,4310,,298,,46882,253,21504,217601,98823,Africa,21,3953,5
