State,Confirmed,Deaths
Baden-Wrttemberg,31336,0
Bayern,41830,0
Berlin,5734,0
Brandenburg,2768,0
Bremen,797,0
Hamburg,4525,0
Hessen,8184,0
"Mecklenburg-
Vorpommern",687,0
Niedersachsen,9972,0
Nordrhein-Westfalen,32429,0
Rheinland-Pfalz,5982,0
Saarland,2514,0
Sachsen,4509,0
Sachsen-Anhalt,1525,0
Schleswig-Holstein,2679,0
Thringen,2170,0
