State,Confirmed,Deaths
Baden-Wrttemberg,20680,0
Bayern,27564,0
Berlin,4028,0
Brandenburg,1472,0
Bremen,424,0
Hamburg,3165,0
Hessen,4965,0
"Mecklenburg-
Vorpommern",555,0
Niedersachsen,6385,0
Nordrhein-Westfalen,20929,0
Rheinland-Pfalz,4148,0
Saarland,1637,0
Sachsen,3144,0
Sachsen-Anhalt,1020,0
Schleswig-Holstein,1827,0
Thringen,1285,0
