#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,4413457,7260,194264,736,2125197,5003,2093996,20158,,,,,,North America,,,
,South America,3174230,1946,115082,65,2088225,903,970923,13661,,,,,,South America,,,
,Asia,3255882,61,76510,1,2296323,80,883049,19980,,,,,,Asia,,,
,Europe,2644929,,198616,,1571596,300,874717,5277,,,,,,Europe,,,
,Africa,686889,,14714,,363443,,308732,1030,,,,,,Africa,,,
,Oceania,12910,1,138,,9730,,3042,32,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,14189018,9268,599339,802,8455165,6286,5134514,60142,1820,76.9,,,,All,,,
1,USA,3770012,,142064,,1741233,,1886715,16660,11387,429,46608707,140773,331092264,North America,88,2331,7
2,Brazil,2048697,,77932,,1366775,,603990,8318,9635,367,4911063,23097,212628252,South America,104,2728,43
3,India,1040457,,26285,,654078,,360094,8944,754,19,13072718,9469,1380604191,Asia,1327,52524,106
4,Russia,759203,,12123,,539373,,207707,2300,5202,83,24364568,166952,145937516,Europe,192,12038,6
5,Peru,345537,,12799,,233982,,98756,1314,10474,388,2023996,61350,32991214,South America,95,2578,16
6,South Africa,337594,,4804,,178183,,154607,539,5689,81,2373053,39990,59340708,Africa,176,12352,25
7,Mexico,331298,7257,38310,736,208436,4972,84552,378,2568,297,799178,6196,128992183,North America,389,3367,161
8,Chile,326539,,8347,,296814,,21378,1796,17075,436,1370603,71671,19123557,South America,59,2291,14
9,Spain,307335,,28420,,N/A,N/A,N/A,617,6573,608,6026446,128892,46755662,Europe,152,1645,8
10,UK,293239,,45233,,N/A,N/A,N/A,142,4319,666,12892406,189866,67902582,Europe,232,1501,5
11,Iran,269440,,13791,,232873,,22776,3509,3206,164,2073791,24677,84038878,Asia,312,6094,41
12,Pakistan,259999,,5475,,183737,,70787,1895,1176,25,1676090,7582,221061085,Asia,850,40376,132
13,Saudi Arabia,245851,,2407,,191161,,52283,2188,7057,69,2494873,71617,34836271,Asia,142,14473,14
14,Italy,243967,,35028,,196483,,12456,50,4035,579,6154259,101795,60457407,Europe,248,1726,10
15,Turkey,217799,,5458,,199834,,12507,1226,2581,65,4191124,49670,84378767,Asia,387,15460,20
16,Germany,202345,,9160,,187500,300,5685,249,2415,109,6884614,82159,83796659,Europe,414,9148,12
17,Bangladesh,199357,,2547,,108725,,88085,1,1210,15,1006751,6110,164761811,Asia,826,64689,164
18,Colombia,182140,,6288,,80637,,95215,1027,3578,124,1159562,22778,50906643,South America,279,8096,44
19,France,174674,,30152,,79233,,65289,477,2676,462,2618722,40115,65280436,Europe,374,2165,25
20,Argentina,119301,,2178,,49780,,67343,752,2639,48,519281,11485,45214244,South America,379,20760,87
21,Canada,109669,,8839,,96689,,4141,2177,2905,234,3438041,91057,37756958,North America,344,4272,11
22,Qatar,105898,,153,,102597,,3148,132,37716,54,435584,155133,2807805,Asia,27,18352,6
23,Iraq,88171,,3616,,56495,,28060,382,2190,90,744847,18502,40256584,Asia,457,11133,54
24,Egypt,86474,,4188,,27302,,54984,41,844,41,135000,1318,102410895,Africa,1184,24453,759
25,Indonesia,83130,,3957,,41834,,37339,,304,14,1175462,4295,273650409,Asia,3292,69156,233
26,Sweden,77281,,5619,,N/A,N/A,N/A,62,7650,556,681820,67492,10102161,Europe,131,1798,15
27,Ecuador,72444,,5250,,31404,,35790,313,4104,297,199115,11279,17654176,South America,244,3363,89
28,Kazakhstan,66895,,375,,40256,,26264,221,3561,20,1737546,92490,18786397,Asia,281,50097,11
29,Belarus,65782,,491,,57370,,7921,89,6962,52,1162280,123003,9449170,Europe,144,19245,8
30,Oman,64193,,298,,41450,,22445,157,12559,58,262869,51429,5111327,Asia,80,17152,19
31,Belgium,63238,,9795,,17269,,36174,28,5455,845,1429053,123279,11591989,Europe,183,1183,8
