#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,3605183,49930,177477,1339,1634583,27604,1793123,18427,,,,,,North America,,,
,South America,2599479,49962,96404,1479,1669487,102872,833588,13593,,,,,,South America,,,
,Asia,2680054,49937,64441,1148,1821385,43070,794228,19571,,,,,,Asia,,,
,Europe,2504625,11595,194548,556,1451335,13910,858742,5461,,,,,,Europe,,,
,Africa,509658,15948,11999,350,246338,7874,251321,950,,,,,,Africa,,,
,Oceania,10406,173,128,,9054,37,1224,10,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,11910126,177545,545012,4872,6832833,195367,4532281,58016,1528,69.9,,,,All,,,
1,USA,3083114,42922,133775,796,1346795,21848,1602544,15242,9314,404,38750645,117059,331034037,North America,107,2475,9
2,Brazil,1668589,42518,66741,1185,1072229,93614,529619,8318,7849,314,4316284,20304,212582910,South America,127,3185,49
3,India,743481,23135,20653,479,457045,16895,265783,8944,539,15,10211092,7398,1380196747,Asia,1856,66828,135
4,Russia,694230,6368,10494,198,463880,9551,219856,2300,4757,72,21537771,147584,145935642,Europe,210,13907,7
5,Peru,309278,3575,10952,180,200938,3319,97388,1265,9378,332,1821328,55230,32977406,South America,107,3011,18
6,Chile,301019,2462,6434,50,268245,3874,26340,2060,15745,337,1210326,63306,19118631,South America,64,2972,16
7,Spain,299210,341,28392,4,N/A,N/A,N/A,617,6400,607,5734599,122652,46755120,Europe,156,1647,8
8,UK,286349,581,44391,155,N/A,N/A,N/A,209,4218,654,10777399,158744,67891886,Europe,237,1529,6
9,Mexico,261750,4902,31119,480,159657,4053,70974,378,2030,241,641142,4972,128951496,North America,493,4144,201
10,Iran,245688,2637,11931,200,207000,2917,26757,3270,2925,142,1846793,21984,84006568,Asia,342,7041,45
11,Italy,241956,137,34899,30,192815,574,14242,70,4002,577,5703673,94338,60460068,Europe,250,1732,11
12,Pakistan,234509,2691,4839,77,134957,3308,94713,2306,1061,22,1445153,6541,220931964,Asia,942,45657,153
13,Saudi Arabia,217108,3392,2017,49,154839,5205,60252,2268,6235,58,2018657,57974,34819965,Asia,160,17263,17
14,South Africa,215855,10134,3502,192,102299,4451,110054,539,3639,59,1907532,32158,59318236,Africa,275,16938,31
