#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,10115798,50452,335218,506,6728086,38039,3052494,18938,,,,,,North America,,,
,Asia,12596915,81937,225490,1463,10996739,105673,1374686,20809,,,,,,Asia,,,
,South America,9018189,17148,279986,338,7962861,33001,775342,17452,,,,,,South America,,,
,Europe,7157384,133511,240244,1053,3227627,23529,3689513,13526,,,,,,Europe,,,
,Africa,1662279,7195,39918,111,1366911,5056,255450,1840,,,,,,Africa,,,
,Oceania,33726,8,953,1,30373,5,2400,11,,,,,,Australia/Oceania,,,
,,721,,15,,659,,47,4,,,,,,,,,
,World,40585012,290251,1121824,3472,30313256,205303,9149932,72580,5207,143.9,,,,All,,,
1,USA,8440477,42907,225129,355,5489078,31394,2726270,15362,25455,679,126826280,382485,331584544,North America,39,1473,3
2,India,7594284,46046,115235,593,6730379,70484,748670,8944,5487,83,95083976,68700,1384048939,Asia,182,12011,15
3,Brazil,5250727,15383,154176,271,4681659,31629,414892,8318,24650,724,17900000,84033,213011598,South America,41,1382,12
4,Russia,1415316,15982,24366,179,1075904,5328,315046,2300,9697,167,54300208,372038,145953362,Europe,103,5990,3
5,Spain,1015795,12214,33992,73,N/A,N/A,N/A,1857,21723,727,15503165,331546,46760248,Europe,46,1376,3
6,Argentina,989680,,26267,,803965,,159448,4387,21838,580,2373496,52372,45319522,South America,46,1725,19
7,Colombia,959572,,28970,,858294,,72308,2115,18799,568,4433518,86856,51044371,South America,53,1762,12
8,France,910277,13243,33623,146,105935,1239,770719,2099,13936,515,13765883,210755,65317031,Europe,72,1943,5
9,Peru,868675,,33759,,779779,,55137,1068,26238,1020,4230353,127775,33107952,South America,38,981,8
10,Mexico,851227,4119,86167,108,619036,3356,146024,2617,6582,666,2183272,16881,129336175,North America,152,1501,59
11,UK,741212,18804,43726,80,N/A,N/A,N/A,592,10901,643,29922135,440077,67993010,Europe,92,1555,2
12,South Africa,705254,1461,18492,21,635257,714,51505,546,11847,311,4565980,76700,59530699,Africa,84,3219,13
13,Iran,534631,4251,30712,337,431360,3960,72559,4771,6341,364,4540455,53853,84312043,Asia,158,2745,19
14,Chile,493305,1545,13676,41,465021,1078,14608,769,25740,714,3929612,205039,19165205,South America,39,1401,5
15,Iraq,430678,4044,10317,63,363532,3055,56829,454,10638,255,2644770,65325,40486486,Asia,94,3924,15
16,Italy,423578,9338,36616,73,252959,1498,134003,797,7009,606,13639444,225688,60434905,Europe,143,1651,4
17,Bangladesh,390206,1637,5681,21,305599,1627,78926,,2362,34,2178714,13190,165178405,Asia,423,29076,76
18,Germany,373821,6840,9896,30,294800,2900,69125,851,4457,118,19276507,229853,83864554,Europe,224,8475,4
19,Indonesia,365240,3373,12617,106,289243,3919,63380,,1331,46,4092595,14916,274384901,Asia,751,21747,67
20,Philippines,359169,2638,6675,26,310303,226,42191,1562,3265,61,4398498,39981,110013651,Asia,306,16481,25
21,Turkey,349519,2026,9371,75,305427,1424,34721,1447,4131,111,12524561,148028,84609240,Asia,242,9029,7
22,Saudi Arabia,342583,381,5201,16,328895,357,8487,844,9795,149,7403020,211671,34974131,Asia,102,6725,5
23,Pakistan,323452,433,6659,5,307409,340,9384,526,1456,30,4101115,18461,222152747,Asia,687,33361,54
24,Israel,304876,1767,2263,54,278394,10301,24219,634,33147,246,4226477,459520,9197590,Asia,30,4064,2
25,Ukraine,303638,4766,5673,66,126489,1112,171476,177,6956,130,2765787,63357,43653729,Europe,144,7695,16
26,Netherlands,236226,7992,6768,17,N/A,N/A,N/A,406,13777,395,2872319,167518,17146296,Europe,73,2533,6
27,Belgium,222253,9138,10413,21,21157,83,190683,412,19152,897,4112480,354378,11604776,Europe,52,1114,3
28,Canada,199970,1822,9772,12,168699,1587,21499,188,5284,258,8698704,229875,37840952,North America,189,3872,4
29,Poland,183248,7482,3614,41,94014,1363,85620,672,4843,96,4008471,105949,37834066,Europe,206,10469,9
30,Romania,182854,2466,5931,59,132082,1188,44841,757,9524,309,2860226,148981,19198567,Europe,105,3237,7
31,Czechia,177974,4089,1501,79,72553,419,103920,587,16610,140,1814002,169296,10714970,Europe,60,7139,6
32,Morocco,175749,2117,2976,48,146421,2449,26352,539,4745,80,3061219,82645,37040595,Africa,211,12446,12
33,Ecuador,153423,134,12395,8,134187,,6841,366,8657,699,495852,27979,17722290,South America,116,1430,36
34,Bolivia,139771,61,8481,18,104483,281,26807,71,11926,724,321061,27394,11720223,South America,84,1382,37
35,Nepal,136036,3790,757,18,94501,2335,40778,,4644,26,1300918,44413,29291145,Asia,215,38694,23
36,Qatar,129671,240,224,,126650,244,2797,49,46182,80,886186,315615,2807805,Asia,22,12535,3
37,Panama,124745,,2564,,101041,,21140,107,28777,591,582974,134486,4334839,North America,35,1691,7
38,Dominican Republic,121667,320,2203,4,98880,673,20584,152,11182,202,545492,50136,10880329,North America,89,4939,20
39,Kuwait,116832,686,710,9,108606,746,7516,133,27238,166,834167,194478,4289261,Asia,37,6041,5
40,UAE,116517,915,466,3,108811,1295,7240,,11739,47,11770455,1185832,9925908,Asia,85,21300,1
41,Oman,110594,641,1114,13,96400,776,13080,201,21498,217,376700,73225,5144433,Asia,47,4618,14
42,Kazakhstan,109508,102,1768,,105001,,2739,221,5811,94,3175675,168529,18843452,Asia,172,10658,6
43,Egypt,105424,,6120,,98247,,1057,41,1025,59,135000,1312,102902076,Africa,976,16814,762
44,Sweden,103200,,5918,,N/A,N/A,N/A,30,10200,585,1925218,190274,10118134,Europe,98,1710,5
45,Portugal,101860,1949,2198,17,59966,966,39696,165,9998,216,3035073,297916,10187689,Europe,100,4635,3
46,Guatemala,101599,239,3541,11,91032,422,7026,5,5640,197,390147,21659,18013093,North America,177,5087,46
47,Costa Rica,95514,,1183,,58816,,35515,217,18699,232,271394,53131,5107999,North America,53,4318,19
48,Japan,93127,471,1674,4,85941,456,5512,144,737,13,2441150,19319,126358975,Asia,1357,75483,52
