Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80652,100,3070,28,22061,55521,5489
S. Korea,7041,448,48,5,6875,118,36
Italy,5883,1247,233,36,5061,589,567
Iran,5823,1076,145,21,4009,1669,
France,949,296,16,7,921,12,21
Germany,800,130,,,782,18,9
Diamond Princess,696,,6,,445,245,32
Spain,503,102,10,2,463,30,9
Japan,461,41,6,,379,76,28
USA,373,54,17,2,341,15,8
Switzerland,268,54,1,,264,3,
UK,206,42,2,,186,18,
Netherlands,188,60,1,,187,,1
Belgium,169,60,,,168,1,1
Sweden,161,24,,,160,1,
Norway,155,28,,,154,1,
Singapore,138,8,,,48,90,8
Hong Kong,108,,2,,55,51,6
Malaysia,93,10,,,70,23,
Bahrain,85,25,,,81,4,
Austria,79,13,,,77,2,1
Australia,64,1,2,,40,22,1
Kuwait,61,3,,,60,1,
Canada,60,6,,,52,8,1
Iraq,54,8,4,,49,1,
Thailand,50,2,1,,18,31,1
Iceland,50,5,,,49,1,
Egypt,48,33,,,47,1,
Greece,46,1,,,46,,1
Taiwan,45,,1,,29,15,
UAE,45,,,,38,7,2
India,34,3,,,31,3,
Lebanon,28,6,,,27,1,3
Denmark,27,6,,,26,1,
San Marino,23,,1,,22,,4
Czechia,21,2,,,21,,
Israel,21,,,,19,2,
Portugal,20,7,,,20,,
Vietnam,20,3,,,4,16,
Algeria,19,2,,,19,,
Finland,19,4,,,18,1,
Ireland,19,1,,,19,,
Palestine,19,3,,,19,,
Oman,16,,,,14,2,
Brazil,14,1,,,14,,
Ecuador,14,1,,,14,,1
Russia,14,1,,,12,2,
Georgia,13,4,,,13,,1
Romania,13,4,,,10,3,
Croatia,12,1,,,12,,
Qatar,12,1,,,12,,
Slovenia,12,4,,,12,,
Macao,10,,,,0,10,
Estonia,10,,,,10,,
Azerbaijan,9,,,,9,,
Argentina,8,,,,8,,
Saudi Arabia,7,2,,,6,1,
Philippines,6,1,1,,3,2,1
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,,,,5,1,
Poland,6,1,,,6,,
New Zealand,5,1,,,5,,
Chile,5,,,,5,,
Hungary,5,1,,,5,,
Afghanistan,4,3,,,4,,
Indonesia,4,,,,4,,
Senegal,4,,,,3,1,
Luxembourg,3,,,,3,,
North Macedonia,3,,,,3,,
Bosnia and Herzegovina,3,,,,3,,
Slovakia,3,2,,,3,,
Cambodia,2,1,,,1,1,
Dominican Republic,2,,,,2,,
Morocco,2,,,,2,,1
Cameroon,2,,,,2,,
Faeroe Islands,2,,,,2,,
Maldives,2,2,,,2,,
South Africa,2,1,,,2,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,,,,1,,
Colombia,1,,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,1
Vatican City,1,,,,1,,
Liechtenstein,1,,,,1,,
Malta,1,1,,,1,,
Paraguay,1,1,,,1,,
Peru,1,,,,1,,
Serbia,1,,,,1,,
Togo,1,,,,1,,
