Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80651,99,3070,28,22071,55510,5489
S. Korea,7041,448,48,5,6875,118,36
Iran,4747,,124,,3710,913,
Italy,4636,,197,,3916,523,462
Diamond Princess,696,,6,,478,212,34
Germany,692,22,,,674,18,8
France,653,,9,,632,12,23
Japan,435,15,6,,380,49,34
Spain,402,1,8,,388,6,9
USA,335,16,17,2,303,15,8
Switzerland,216,2,1,,212,3,
UK,164,,2,,144,18,
Sweden,137,,,,136,1,
Norway,136,9,,,135,1,
Singapore,130,,,,48,82,9
Netherlands,128,,1,,127,,1
Belgium,109,,,,108,1,1
Hong Kong,108,,2,,55,51,6
Malaysia,83,,,,60,23,
Austria,74,8,,,72,2,1
Australia,64,1,2,,40,22,1
Kuwait,61,3,,,60,1,
Bahrain,60,,,,56,4,
Canada,54,,,,46,8,1
Thailand,50,2,1,,18,31,1
Iraq,46,,4,,41,1,
Greece,46,1,,,46,,1
Taiwan,45,,1,,29,15,
Iceland,45,,,,44,1,
UAE,45,,,,38,7,2
India,31,,,,28,3,
San Marino,23,,1,,22,,4
Denmark,23,,,,22,1,
Lebanon,22,,,,21,1,1
Israel,21,,,,19,2,
Algeria,19,2,,,19,,
Czechia,19,,,,19,,
Ireland,18,,,,18,,
Vietnam,17,,,,1,16,
Oman,16,,,,14,2,
Palestine,16,,,,16,,
Egypt,15,,,,14,1,
Finland,15,,,,14,1,
Portugal,15,2,,,15,,
Brazil,14,1,,,14,,
Ecuador,14,1,,,14,,1
Russia,13,,,,11,2,
Croatia,11,,,,11,,
Qatar,11,,,,11,,
Macao,10,,,,0,10,
Estonia,10,,,,10,,
Azerbaijan,9,,,,9,,
Georgia,9,,,,9,,1
Romania,9,,,,6,3,
Argentina,8,,,,8,,
Slovenia,8,,,,8,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,,,,5,1,
Philippines,5,,1,,2,2,1
New Zealand,5,1,,,5,,
Saudi Arabia,5,,,,4,1,
Chile,5,,,,5,,
Hungary,5,1,,,5,,
Poland,5,,,,5,,
Indonesia,4,,,,4,,
Senegal,4,,,,3,1,
Luxembourg,3,,,,3,,
North Macedonia,3,,,,3,,
Bosnia and Herzegovina,3,,,,3,,
Dominican Republic,2,,,,2,,
Morocco,2,,,,2,,1
Cameroon,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,,,,1,,
Colombia,1,,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,1
Vatican City,1,,,,1,,
Liechtenstein,1,,,,1,,
Malta,1,1,,,1,,
Peru,1,,,,1,,
Serbia,1,,,,1,,
Slovakia,1,,,,1,,
South Africa,1,,,,1,,
Togo,1,,,,1,,
