Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80430,160,3013,32,25190,52227,5952
S. Korea,5766,145,42,7,5636,88,52
Iran,3513,591,107,15,2854,552,
Italy,3089,,107,,2706,276,295
Diamond Princess,706,,6,,488,212,35
Germany,349,87,,,333,16,2
Japan,331,,6,,282,43,29
France,285,,4,,269,12,15
Spain,248,20,3,1,243,2,7
USA,160,2,11,,140,9,8
Singapore,112,,,,33,79,7
Hong Kong,105,2,2,,66,37,6
Switzerland,93,,1,1,89,3,
U.K.,90,3,,,82,8,
Norway,66,7,,,66,,
Sweden,60,8,,,59,1,
Kuwait,58,2,,,58,,
Australia,52,,2,,29,21,1
Bahrain,52,,,,51,1,
Belgium,50,27,,,49,1,1
Malaysia,50,,,,28,22,
Thailand,47,4,1,,15,31,1
Taiwan,42,,1,,29,12,
Netherlands,38,,,,38,,1
Austria,37,8,,,37,,
Iraq,35,,2,,33,,
Canada,34,,,,27,7,1
India,30,1,,,27,3,
U.A.E.,28,,,,23,5,2
Iceland,26,,,,25,1,
Algeria,17,,,,17,,
San Marino,16,,1,,15,,3
Vietnam,16,,,,0,16,
Denmark,15,,,,15,,
Israel,15,,,,14,1,
Lebanon,15,,,,15,,1
Oman,15,,,,13,2,
Finland,12,5,,,11,1,
Macao,10,,,,1,9,
Croatia,10,,,,10,,
Ecuador,10,,,,10,,1
Greece,10,1,,,10,,
Czechia,8,,,,8,,
Portugal,8,2,,,8,,
Qatar,8,,,,8,,
Belarus,6,,,,6,,
Ireland,6,,,,6,,
Mexico,6,,,,5,1,
Romania,6,,,,5,1,
Pakistan,5,,,,5,,
Russia,4,1,,,2,2,
Senegal,4,,,,4,,
State of Palestine,4,4,,,4,,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Brazil,3,,,,3,,
Georgia,3,,,,3,,
New Zealand,3,,,,3,,
Chile,3,,,,3,,
Egypt,2,,,,1,1,
Estonia,2,,,,2,,
Indonesia,2,,,,2,,
Morocco,2,1,,,2,,
Saudi Arabia,2,,,,2,,
Bosnia and Herzegovina,2,2,,,2,,
Hungary,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Argentina,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
Slovenia,1,,,,1,,
