Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80814,21,3177,8,64151,13486,4020,56.1
Italy,15113,,1016,,1258,12839,1153,250.0
Iran,10075,,429,,3276,6370,,120.0
S. Korea,7979,110,71,5,510,7398,93,155.6
Spain,3779,633,87,1,189,3503,190,80.8
France,2876,,61,,12,2803,129,44.1
Germany,2750,5,6,,25,2719,9,32.8
USA,1762,65,41,,31,1690,10,5.3
Switzerland,868,,7,,4,857,,100.3
Norway,828,28,1,,1,826,,152.7
Denmark,785,111,,,1,784,2,135.5
Japan,701,10,19,,118,564,29,5.5
Diamond Princess,696,,7,,325,364,32,
Sweden,688,1,1,,1,686,2,68.1
Netherlands,614,,5,,2,607,1,35.8
UK,590,,10,,18,562,20,8.7
Austria,428,67,1,,4,423,1,47.5
Belgium,399,,3,,1,395,2,34.4
Qatar,262,,,,,262,,90.9
Bahrain,197,,,,35,162,1,115.8
Singapore,187,,,,96,91,12,32.0
Australia,160,4,3,,26,131,1,6.3
Canada,158,16,1,,11,146,1,4.2
Malaysia,158,,,,32,126,3,4.9
Finland,155,46,,,1,154,,28.0
Hong Kong,132,1,4,1,77,51,4,17.6
Israel,126,17,,,4,122,2,14.6
Greece,117,,1,,,116,2,11.2
Czechia,117,1,,,,117,2,10.9
Iceland,117,,,,,117,,
Slovenia,96,,,,,96,,46.2
UAE,85,,,,20,65,2,8.6
Iraq,83,,8,,24,51,,2.1
Egypt,80,,2,,27,51,,0.8
Kuwait,80,,,,5,75,4,18.7
India,78,4,1,,4,73,,0.1
Portugal,78,,,,1,77,1,7.6
San Marino,77,5,5,,,72,3,
Lebanon,77,9,3,,1,73,3,11.3
Brazil,77,,,,,77,2,0.4
Thailand,75,5,1,,35,39,1,1.1
Ireland,70,,1,,,69,6,14.2
Romania,70,11,,,7,63,1,3.6
Indonesia,69,35,4,3,3,62,,0.3
Saudi Arabia,62,17,,,1,61,,1.8
Poland,61,10,1,,,60,3,1.6
Philippines,52,,5,,2,45,1,0.5
Taiwan,50,1,1,,20,29,,2.1
Vietnam,44,,,,16,28,,0.5
Estonia,41,14,,,,41,,30.9
Palestine,35,4,,,,35,,6.9
Russia,34,,,,3,31,,0.2
Chile,33,,,,,33,,1.7
Argentina,31,,1,,,30,1,0.7
Croatia,31,4,,,1,30,,7.6
Serbia,31,7,,,,31,1,3.5
Panama,27,13,1,,,26,,6.3
Algeria,26,,2,,10,14,,0.6
Luxembourg,26,,,,,26,1,
Georgia,25,,,,,25,1,6.3
Brunei,25,,,,,25,,
Albania,23,,1,,,22,,8.0
Bulgaria,23,,1,,,22,,3.3
Costa Rica,23,,,,,23,1,4.5
Pakistan,22,1,,,2,20,,0.1
Peru,22,,,,,22,,0.7
Belarus,21,,,,3,18,,2.2
Slovakia,21,,,,,21,,3.8
Ecuador,19,2,,,,19,1,1.1
Oman,19,1,,,9,10,,3.7
Cyprus,19,9,,,,19,,15.7
Hungary,19,3,,,,19,,2.0
Latvia,17,1,,,1,16,,9.0
South Africa,16,,,,,16,,0.3
Azerbaijan,15,,1,,3,11,,1.5
Tunisia,13,,,,,13,2,1.1
Mexico,12,,,,4,8,1,0.1
Malta,12,3,,,,12,,
Bosnia and Herzegovina,11,,,,,11,,3.4
Macao,10,,,,10,0,,
Senegal,10,,,,1,9,,0.6
North Macedonia,9,,,,1,8,,4.3
Colombia,9,,,,,9,,0.2
Jamaica,8,6,,,,8,,2.7
Maldives,8,,,,,8,,
Morocco,7,1,1,,,6,1,0.2
Afghanistan,7,,,,,7,,0.2
Armenia,6,,,,,6,,2.0
French Guiana,6,,,,,6,,
Moldova,6,,,,,6,,1.5
Paraguay,6,,,,,6,1,0.8
Cambodia,5,,,,1,4,,0.3
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
Réunion,5,1,,,,5,,
Liechtenstein,4,,,,,4,,
Lithuania,3,,,,,3,,1.1
Sri Lanka,3,,,,1,2,,0.1
Ukraine,3,,,,,3,,0.1
Bangladesh,3,,,,,3,,
Bolivia,3,,,,,3,,0.3
Channel Islands,3,,,,,3,,
Cuba,3,,,,,3,,0.3
Faeroe Islands,3,1,,,,3,,
French Polynesia,3,2,,,,3,,
Martinique,3,,,,,3,,
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Ghana,2,,,,,2,,0.1
Honduras,2,,,,,2,,0.2
Kazakhstan,2,2,,,,2,,0.1
Saint Martin,2,,,,,2,,
Turkey,2,1,,,,2,,
Guyana,1,,1,,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,,1,,0.1
Nepal,1,,,,1,0,,
Bhutan,1,,,,,1,,
Cayman Islands,1,1,,,,1,,
Ivory Coast,1,,,,,1,,
DRC,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Togo,1,,,,,1,,0.1
Trinidad and Tobago,1,,,,,1,,0.7
