Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,81008,41,3255,7,71740,6013,1927,56
Italy,53578,6557,4825,793,6072,42681,2857,886
Spain,25374,3803,1378,285,2125,21871,1612,543
USA,22132,2749,282,26,147,21703,64,67
Germany,21854,2006,77,9,209,21568,2,261
Iran,20610,966,1556,123,7635,11419,,245
France,12612,,450,,1587,10575,1297,193
S. Korea,8799,147,102,8,2612,6085,59,172
Switzerland,6373,758,74,18,15,6284,141,736
UK,4094,111,180,3,65,3849,20,60
Netherlands,3631,637,136,30,2,3493,354,212
Austria,2847,198,8,2,9,2830,15,316
Belgium,2815,558,67,30,263,2485,288,243
Norway,2118,159,7,,1,2110,28,391
Sweden,1764,125,20,4,16,1728,69,175
Denmark,1326,71,13,4,1,1312,42,229
Portugal,1280,260,12,6,5,1263,26,126
Malaysia,1183,153,8,5,114,1061,26,37
Canada,1087,,13,1,14,1060,1,29
Australia,1072,144,7,,46,1019,2,42
Brazil,1021,51,18,7,2,1001,18,5
Japan,1007,,35,,215,757,55,8
Czechia,925,92,,,6,919,7,86
Israel,883,178,1,,36,846,15,102
Pakistan,720,219,3,,13,704,,3
Diamond Princess,712,,8,,567,137,15,
Ireland,683,,3,,5,675,6,138
Turkey,670,,9,,,661,,8
Luxembourg,670,186,8,3,6,656,3,1070
Chile,537,103,,,8,529,7,28
Greece,530,35,13,3,19,498,20,51
Finland,521,71,1,1,10,510,2,94
Iceland,473,64,1,1,5,467,1,1386
Qatar,470,,,,10,460,6,163
Poland,452,27,5,,13,434,3,12
Indonesia,450,81,38,6,20,392,,2
Singapore,432,47,2,2,140,290,14,74
Ecuador,426,,7,,3,416,2,24
Thailand,411,89,1,,44,366,7,6
Saudi Arabia,392,48,,,16,376,,11
Slovenia,383,42,1,,,382,12,184
Romania,367,59,,,52,315,14,19
India,329,80,5,,23,301,,0.2
Bahrain,309,11,1,,125,183,4,182
Philippines,307,77,19,1,13,275,1,3
Russia,306,53,1,,16,289,,2
Estonia,306,23,,,2,304,1,231
Egypt,285,,8,,42,235,,3
Hong Kong,273,17,4,,98,171,4,36
Peru,263,,4,,1,258,5,8
South Africa,240,38,,,2,238,,4
Iraq,214,6,17,,51,146,,5
Lebanon,206,29,4,,8,194,4,30
Croatia,206,76,1,,5,200,,50
Mexico,203,39,2,1,4,197,1,2
Panama,200,,1,,1,198,7,46
Colombia,196,51,,,1,195,,4
Kuwait,176,17,,,27,149,5,41
Serbia,171,36,1,,2,168,4,20
Bulgaria,163,36,3,,3,157,3,23
Armenia,160,24,,,1,159,2,54
Argentina,158,,4,1,3,151,,3
Taiwan,153,18,2,,28,123,,6
UAE,153,13,2,,38,113,2,15
San Marino,151,,20,6,4,127,12,4450
Slovakia,146,9,,,7,139,2,27
Algeria,139,45,15,4,65,59,,3
Latvia,124,13,,,1,123,,66
Costa Rica,113,,2,,2,109,2,22
Dominican Republic,112,40,3,1,,109,,10
Uruguay,110,,,,,110,,32
Hungary,103,18,4,,7,92,6,11
Vietnam,94,3,,,17,77,2,1.0
Bosnia and Herzegovina,93,4,1,1,2,90,1,28
Faeroe Islands,92,12,,,3,89,,1883
Andorra,88,13,,,1,87,2,1139
Morocco,86,,3,,2,81,1,2
Jordan,85,,,,1,84,,8
North Macedonia,85,9,,,1,84,1,41
Cyprus,84,9,,,,84,1,70
Lithuania,83,14,1,,1,81,1,30
Brunei,83,5,,,1,82,2,190
Moldova,80,14,1,,1,78,3,20
Sri Lanka,77,4,,,3,74,2,4
Albania,76,6,2,,2,72,2,26
Belarus,76,7,,,15,61,,8
Malta,73,9,,,2,71,1,165
Venezuela,65,,,,1,64,,2
Burkina Faso,64,24,3,2,5,56,,3
Tunisia,60,6,1,,1,58,7,5
Azerbaijan,53,9,1,,11,41,,5
Cambodia,53,2,,,2,51,,3
Kazakhstan,53,1,,,,53,,3
New Zealand,52,,,,,52,,11
Oman,52,4,,,13,39,,10
Palestine,52,4,,,17,35,,10
Guadeloupe,51,,1,,,50,4,127
Georgia,49,5,,,1,48,1,12
Trinidad and Tobago,49,40,,,,49,,35
Senegal,47,,,,5,42,,3
Runion,45,7,,,,45,,50
Ukraine,41,,3,,1,37,,0.9
Uzbekistan,41,8,,,,41,,1
Liechtenstein,37,9,,,,37,,970
Martinique,32,,1,,,31,7,85
Cameroon,27,,,,2,25,,1
Bangladesh,24,4,2,1,3,19,,0.1
Afghanistan,24,,,,1,23,,0.6
Honduras,24,,,,,24,,2
DRC,23,5,,,,23,,0.3
Nigeria,22,10,,,1,21,,0.1
Cuba,21,,1,,,20,,2
Jamaica,19,,1,,2,16,,6
Bolivia,19,3,,,,19,,2
Ghana,19,3,,,,19,,0.6
Paraguay,18,,1,1,,17,1,3
Macao,18,1,,,10,8,,28
Puerto Rico,17,3,,,,17,,6
Rwanda,17,,,,,17,,1
Togo,16,7,,,,16,,2
French Guiana,15,,,,,15,,50
French Polynesia,15,4,,,,15,,53
Guam,15,1,,,,15,,89
Mauritius,14,2,1,1,,13,,11
Channel Islands,14,2,,,,14,,81
Ivory Coast,14,5,,,1,13,,0.5
Kyrgyzstan,14,8,,,,14,,2
Montenegro,14,,,,,14,,22
Guatemala,13,1,1,,,12,,0.7
Maldives,13,,,,3,10,,24
Monaco,11,,,,,11,,280
Gibraltar,10,,,,2,8,,297
Mongolia,10,4,,,,10,,3
Ethiopia,9,,,,,9,,0.08
Kenya,7,,,,,7,,0.1
Mayotte,7,,,,,7,,26
Seychelles,7,,,,,7,,71
Barbados,6,,,,,6,,21
Equatorial Guinea,6,,,,,6,,4
Tanzania,6,,,,,6,,0.1
U.S. Virgin Islands,6,3,,,,6,,57
Guyana,5,,1,,,4,,6
Aruba,5,,,,1,4,,47
Gabon,4,,1,,,3,,2
Bahamas,4,,,,,4,,10
New Caledonia,4,2,,,,4,,14
Saint Martin,4,,,,,4,,103
Suriname,4,,,,,4,,7
Cayman Islands,3,,1,,,2,,46
Curaao,3,,1,,,2,,18
Cabo Verde,3,2,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,2,,,,3,,0.5
