Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80555,146,3042,30,23749,53764,5737
S. Korea,6284,,40,,6109,135,52
Italy,3858,,148,,3296,414,351
Iran,3513,,108,,2666,739,
Diamond Princess,696,,6,,478,212,
Germany,545,,,,528,17,2
France,423,,7,,404,12,23
Japan,364,,6,,315,43,29
Spain,282,,3,,276,3,7
USA,233,12,14,2,210,9,8
Switzerland,120,,1,,116,3,
Singapore,117,,,,36,81,7
UK,116,,1,,97,18,
Hong Kong,105,,2,,66,37,6
Sweden,94,,,,93,1,
Norway,91,,,,91,,
Netherlands,82,,,,82,,1
Australia,60,,2,,36,22,1
Kuwait,58,,,,58,,
Bahrain,55,,,,51,4,
Malaysia,55,,,,33,22,
Belgium,50,,,,49,1,1
Canada,48,11,,,40,8,1
Thailand,47,,1,,15,31,1
Taiwan,44,,1,,31,12,
Austria,43,,,,41,2,1
Iraq,36,,3,,33,,
Iceland,35,,,,35,,
Greece,31,,,,31,,
India,30,,,,27,3,
UAE,28,,,,23,5,2
San Marino,21,,1,,20,,3
Denmark,20,,,,19,1,
Algeria,17,,,,17,,
Israel,17,,,,15,2,
Lebanon,16,,,,16,,1
Oman,16,,,,14,2,
Vietnam,16,,,,0,16,
Ecuador,13,,,,13,,1
Ireland,13,,,,13,,
Czechia,12,,,,12,,
Finland,12,,,,11,1,
Macao,10,,,,1,9,
Croatia,10,,,,10,,
Georgia,9,,,,9,,1
Portugal,9,,,,9,,
Brazil,8,,,,8,,
Qatar,8,,,,8,,
Palestine,7,,,,7,,
Azerbaijan,6,,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Romania,6,,,,5,1,
Slovenia,6,,,,6,,
Philippines,5,2,1,,2,2,1
Estonia,5,,,,5,,
Pakistan,5,,,,5,,
Saudi Arabia,5,,,,4,1,
New Zealand,4,,,,4,,
Russia,4,,,,2,2,
Senegal,4,,,,4,,
Chile,4,,,,4,,
Hungary,4,,,,4,,
Egypt,3,,,,2,1,
Indonesia,2,,,,2,,
Luxembourg,2,,,,2,,
Morocco,2,,,,2,,1
Argentina,2,,,,2,,
Bosnia and Herzegovina,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,1,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
South Africa,1,,,,1,,
