Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80796,18,3169,11,62826,14801,4257,56.1
Italy,15113,2651,1016,189,1258,12839,1153,250.0
Iran,10075,1075,429,75,3276,6370,,120.0
S. Korea,7869,114,66,6,333,7470,54,153.5
Spain,3059,782,86,31,189,2784,190,65.4
Germany,2512,546,5,2,25,2482,9,30.0
France,2281,,48,,12,2221,105,34.9
USA,1508,207,40,2,15,1453,10,4.6
Switzerland,868,216,7,3,4,857,,100.3
Norway,736,107,1,1,1,734,,135.8
Diamond Princess,696,,7,,325,364,32,
Japan,691,52,19,4,118,554,29,5.5
Sweden,683,183,1,,1,681,2,67.6
Denmark,674,160,,,1,673,2,116.4
Netherlands,614,111,5,,2,607,1,35.8
UK,590,130,10,2,18,562,20,8.7
Belgium,399,85,3,,1,395,2,34.4
Austria,361,115,1,1,4,356,1,40.1
Qatar,262,,,,,262,,90.9
Bahrain,195,,,,35,160,1,114.6
Singapore,187,9,,,96,91,12,32.0
Malaysia,158,9,,,26,132,2,4.9
Australia,156,28,3,,26,127,1,6.1
Hong Kong,130,,3,,77,50,6,17.3
Canada,122,12,1,,9,112,1,3.2
Greece,117,18,1,1,,116,2,11.2
Czechia,109,15,,,,109,,10.2
Finland,109,44,,,1,108,,19.7
Iceland,109,24,,,,109,,
Israel,100,3,,,4,96,2,11.6
Slovenia,89,32,,,,89,,42.8
UAE,85,11,,,20,65,2,8.6
Iraq,83,12,8,1,24,51,,2.1
Kuwait,80,8,,,5,75,4,18.7
Portugal,78,17,,,1,77,1,7.6
India,74,12,,,4,70,,0.1
Thailand,70,11,1,,35,34,1,1.0
San Marino,69,,3,,,66,3,
Brazil,69,17,,,,69,2,0.3
Lebanon,68,,3,1,1,64,3,10.0
Egypt,67,,1,,27,39,,0.7
Philippines,52,3,2,,2,48,1,0.5
Romania,52,5,,,6,46,1,2.7
Poland,51,20,1,1,,50,3,1.3
Taiwan,49,1,1,,20,28,,2.1
Saudi Arabia,45,,,,1,44,,1.3
Ireland,43,,1,,,42,,8.7
Vietnam,39,,,,16,23,,0.4
Indonesia,34,,1,,3,30,,0.1
Russia,34,6,,,3,31,,0.2
Palestine,31,1,,,,31,,6.1
Georgia,25,1,,,,25,1,6.3
Brunei,25,14,,,,25,,
Algeria,24,4,1,1,8,15,,0.5
Albania,23,8,1,,,22,,8.0
Bulgaria,23,16,1,,,22,,3.3
Chile,23,,,,,23,,1.2
Costa Rica,22,,,,,22,1,4.3
Peru,22,5,,,,22,,0.7
Argentina,21,,1,,,20,1,0.5
Pakistan,21,1,,,2,19,,0.1
Slovakia,21,11,,,,21,,3.8
Croatia,19,,,,1,18,,4.6
Estonia,19,3,,,,19,,14.3
Luxembourg,19,12,,,,19,,
Serbia,19,1,,,,19,,2.2
Oman,18,,,,9,9,,3.5
Ecuador,17,,,,,17,1,1.0
South Africa,17,4,,,,17,,0.3
Latvia,16,6,,,1,15,,8.5
Hungary,16,3,,,,16,,1.7
Azerbaijan,15,4,1,1,3,11,,1.5
Panama,14,,1,,,13,,3.2
Belarus,12,3,,,3,9,,1.3
Mexico,12,1,,,4,8,1,0.1
Bosnia and Herzegovina,11,4,,,,11,,3.4
Macao,10,,,,10,0,,
North Macedonia,9,,,,1,8,,4.3
Colombia,9,,,,,9,,0.2
Malta,9,2,,,,9,,
Maldives,8,,,,,8,,
Afghanistan,7,,,,,7,,0.2
Tunisia,7,,,,,7,1,0.6
Cyprus,7,1,,,,7,,5.8
Morocco,6,,1,,,5,1,0.2
Armenia,6,5,,,,6,,2.0
French Guiana,6,,,,,6,,
Moldova,6,3,,,,6,,1.5
Cambodia,5,,,,1,4,,0.3
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
Senegal,5,1,,,1,4,,0.3
Paraguay,5,,,,,5,1,0.7
Liechtenstein,4,1,,,,4,,
Lithuania,3,,,,,3,,1.1
Sri Lanka,3,1,,,1,2,,0.1
Bangladesh,3,,,,,3,,
Bolivia,3,1,,,,3,,0.3
Channel Islands,3,1,,,,3,,
Cuba,3,,,,,3,,0.3
Martinique,3,,,,,3,,
Nigeria,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Faeroe Islands,2,,,,,2,,
Honduras,2,,,,,2,,0.2
Jamaica,2,,,,,2,,0.7
Saint Martin,2,,,,,2,,
Guyana,1,1,1,1,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,,1,,0.1
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Ivory Coast,1,,,,,1,,
DRC,1,,,,,1,,
French Polynesia,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
Réunion,1,,,,,1,,
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Togo,1,,,,,1,,0.1
Turkey,1,,,,,1,,
