Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80881,21,3226,13,68690,8965,3226,56.2
Italy,27980,,2158,,2749,23073,1851,462.8
Iran,14991,,853,,4996,9142,,178.5
Spain,9942,,342,,530,9070,272,212.6
S. Korea,8320,84,81,6,1401,6838,59,162.3
Germany,7272,,17,,67,7188,2,86.8
France,6633,,148,,12,6473,400,101.6
USA,4727,64,93,7,74,4560,12,14.3
Switzerland,2353,,19,,4,2330,,271.9
UK,1543,,55,,52,1436,20,22.7
Netherlands,1413,,24,,2,1387,45,82.5
Norway,1348,,3,,1,1344,27,248.7
Sweden,1121,,7,,1,1113,2,111.0
Belgium,1058,,10,,1,1047,33,91.3
Austria,1018,,3,,8,1007,12,113.0
Denmark,914,,4,,1,909,10,157.8
Japan,836,3,28,,144,664,41,6.6
Diamond Princess,696,,7,,456,233,15,
Malaysia,566,,,,42,524,9,17.5
Canada,441,,4,,11,426,1,11.7
Australia,440,39,5,,27,408,1,17.3
Qatar,439,,,,4,435,,152.4
Greece,352,,4,,8,340,5,33.8
Czechia,344,,,,3,341,2,32.1
Portugal,331,,1,,3,327,18,32.5
Israel,304,6,,,5,299,4,35.1
Finland,278,,,,10,268,1,50.2
Slovenia,253,,1,,,252,3,121.7
Singapore,243,,,,109,134,11,41.5
Brazil,234,,,,2,232,2,1.1
Bahrain,228,,1,,81,146,1,134.0
Ireland,223,,2,,5,216,6,45.2
Estonia,205,,,,1,204,,154.5
Iceland,199,,,,,199,1,
Pakistan,184,,1,,2,181,,0.8
Poland,177,,4,,,173,3,4.7
Romania,168,,,,9,159,2,8.7
Egypt,166,,4,,32,130,,1.6
Hong Kong,157,2,4,,81,72,4,20.9
Chile,156,,,,,156,,8.2
Thailand,147,,1,,35,111,1,2.1
Philippines,142,,12,,5,125,1,1.3
Indonesia,134,,5,,8,121,,0.5
Iraq,133,,10,,32,91,,3.3
Saudi Arabia,133,,,,6,127,,3.8
India,129,,3,1,13,113,,0.1
Kuwait,123,,,,9,114,4,28.8
San Marino,109,,7,,4,98,11,
Lebanon,109,,3,,3,103,3,16.0
UAE,98,,,,23,75,2,9.9
Russia,93,,,,8,85,,0.6
Peru,86,,,,1,85,8,2.6
Mexico,82,29,,,4,78,1,0.6
Luxembourg,81,,1,,,80,10,
Slovakia,72,,,,,72,,13.2
Panama,69,,1,,,68,,16.0
Taiwan,67,,1,,20,46,,2.8
Argentina,65,,2,,3,60,1,1.4
South Africa,64,,,,,64,,1.1
Bulgaria,62,,2,,,60,,8.9
Vietnam,61,,,,16,45,,0.6
Algeria,60,,4,,10,46,,1.4
Ecuador,58,,2,,,56,2,3.3
Croatia,57,,,,3,54,,13.9
Serbia,57,,,,1,56,2,6.5
Brunei,54,,,,,54,1,
Colombia,54,,,,1,53,,1.1
Armenia,52,,,,1,51,2,17.5
Albania,51,,1,,,50,2,17.7
Hungary,50,11,1,,2,47,,5.2
Turkey,47,,,,,47,,0.6
Cyprus,46,,,,,46,1,38.1
Costa Rica,41,,,,,41,3,8.0
Palestine,39,,,,,39,,7.6
Morocco,37,,1,,1,35,1,1.0
Belarus,36,,,,3,33,,3.8
Latvia,34,,,,1,33,,18.0
Georgia,33,,,,1,32,1,8.3
Jordan,33,4,,,1,32,,3.2
Venezuela,33,16,,,,33,,1.2
Malta,30,,,,2,28,,
Sri Lanka,29,1,,,1,28,,1.4
Moldova,29,,,,1,28,1,7.2
Uruguay,29,,,,,29,,8.3
