Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80282,131,2981,38,27316,49985,6416
S. Korea,5621,435,33,1,5547,41,27
Italy,2502,,79,,2263,160,229
Iran,2336,,77,,1824,435,
Diamond Princess,706,,6,,600,100,36
Japan,299,6,6,,250,43,23
Germany,240,37,,,224,16,2
France,212,,4,,196,12,8
Spain,165,,1,,162,2,3
USA,128,4,9,,110,9,8
Singapore,110,,,,32,78,7
Hong Kong,101,,2,,62,37,6
Switzerland,61,3,,,59,2,
Kuwait,56,,,,56,,
U.K.,53,2,,,45,8,
Malaysia,50,14,,,28,22,
Bahrain,49,,,,49,,
Thailand,43,,1,,12,30,1
Australia,42,3,1,,20,21,1
Taiwan,42,,1,,29,12,
Canada,33,3,,,26,7,
Norway,33,,,,33,,
Iraq,32,,1,1,31,,
Sweden,32,2,,,31,1,
India,28,21,,,25,3,
Austria,27,3,,,27,,
U.A.E.,27,,,,22,5,2
Netherlands,23,,,,23,,1
Iceland,16,2,,,15,1,
Vietnam,16,,,,0,16,
Belgium,15,,,,14,1,
Israel,15,3,,,14,1,
Lebanon,13,,,,13,,
Oman,12,,,,10,2,
San Marino,10,,1,,9,,1
Macao,10,,,,1,9,
Denmark,10,,,,10,,
Croatia,9,,,,9,,
Algeria,8,,,,8,,
Greece,8,1,,,8,,
Qatar,8,,,,8,,
Ecuador,7,,,,7,,1
Finland,7,,,,6,1,
Belarus,6,2,,,6,,
Mexico,6,,,,5,1,
Czechia,5,,,,5,,
Pakistan,5,,,,5,,
Portugal,5,1,,,5,,
Romania,4,,,,3,1,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Georgia,3,,,,3,,
Russia,3,,,,1,2,
Brazil,2,,,,2,,
Egypt,2,,,,1,1,
Estonia,2,,,,2,,
Indonesia,2,,,,2,,
Ireland,2,,,,2,,
New Zealand,2,,,,2,,
Senegal,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Saudi Arabia,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Argentina,1,,,,1,,
Chile,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,1,,,1,,
