Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80652,100,3070,28,22061,55521,5489
S. Korea,7041,448,48,5,6875,118,36
Iran,5823,1076,145,21,4009,1669,
Italy,4636,,197,,3916,523,462
Germany,717,47,,,699,18,9
France,716,63,11,2,693,12,23
Diamond Princess,696,,6,,445,245,32
Spain,500,99,10,2,460,30,9
Japan,435,15,6,,353,76,28
USA,335,16,17,2,303,15,8
Switzerland,268,54,1,,264,3,
Netherlands,188,60,1,,187,,1
Belgium,169,60,,,168,1,1
UK,164,,2,,144,18,
Sweden,161,24,,,160,1,
Singapore,138,8,,,48,90,9
Norway,136,9,,,135,1,
Hong Kong,108,,2,,55,51,6
Malaysia,93,10,,,70,23,
Austria,74,8,,,72,2,1
Bahrain,66,6,,,62,4,
Australia,64,1,2,,40,22,1
Kuwait,61,3,,,60,1,
Canada,54,,,,46,8,1
Thailand,50,2,1,,18,31,1
Iraq,46,,4,,41,1,
Greece,46,1,,,46,,1
Taiwan,45,,1,,29,15,
Iceland,45,,,,44,1,
UAE,45,,,,38,7,2
India,34,3,,,31,3,
Denmark,27,6,,,26,1,
San Marino,23,,1,,22,,4
Lebanon,22,,,,21,1,1
Israel,21,,,,19,2,
Vietnam,20,3,,,4,16,
Algeria,19,2,,,19,,
Czechia,19,,,,19,,
Finland,19,4,,,18,1,
Ireland,18,,,,18,,
Oman,16,,,,14,2,
Palestine,16,,,,16,,
Egypt,15,,,,14,1,
Portugal,15,2,,,15,,
Brazil,14,1,,,14,,
Ecuador,14,1,,,14,,1
Russia,13,,,,11,2,
Croatia,12,1,,,12,,
Georgia,12,3,,,12,,1
Qatar,12,1,,,12,,
Slovenia,12,4,,,12,,
Romania,11,2,,,8,3,
Macao,10,,,,0,10,
Estonia,10,,,,10,,
Azerbaijan,9,,,,9,,
Argentina,8,,,,8,,
Saudi Arabia,7,2,,,6,1,
Philippines,6,1,1,,3,2,1
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,,,,5,1,
Poland,6,1,,,6,,
New Zealand,5,1,,,5,,
Chile,5,,,,5,,
Hungary,5,1,,,5,,
Afghanistan,4,3,,,4,,
Indonesia,4,,,,4,,
Senegal,4,,,,3,1,
Luxembourg,3,,,,3,,
North Macedonia,3,,,,3,,
Bosnia and Herzegovina,3,,,,3,,
Slovakia,3,2,,,3,,
Cambodia,2,1,,,1,1,
Dominican Republic,2,,,,2,,
Morocco,2,,,,2,,1
Cameroon,2,,,,2,,
Faeroe Islands,2,,,,2,,
South Africa,2,1,,,2,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,,,,1,,
Colombia,1,,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,1
Vatican City,1,,,,1,,
Liechtenstein,1,,,,1,,
Malta,1,1,,,1,,
Peru,1,,,,1,,
Serbia,1,,,,1,,
Togo,1,,,,1,,
