Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80430,160,3012,31,25210,52208,5952
S. Korea,5766,145,35,,5643,88,52
Italy,3089,,107,,2706,276,295
Iran,2922,,92,,2278,552,
Diamond Princess,706,,6,,488,212,35
Japan,331,,6,,282,43,29
France,285,,4,,269,12,15
Germany,262,,,,246,16,2
Spain,228,,2,,224,2,7
USA,159,1,11,,139,9,8
Singapore,112,,,,33,79,7
Hong Kong,103,,2,,64,37,6
Switzerland,93,,,,90,3,
U.K.,87,,,,79,8,
Norway,59,,,,59,,
Kuwait,56,,,,56,,
Bahrain,52,,,,51,1,
Sweden,52,,,,51,1,
Australia,50,,2,,27,21,1
Malaysia,50,,,,28,22,
Thailand,43,,1,,12,30,1
Taiwan,42,,1,,29,12,
Netherlands,38,,,,38,,1
Iraq,35,,2,,33,,
Canada,34,,,,27,7,1
Austria,29,,,,29,,
India,29,,,,26,3,
U.A.E.,28,,,,23,5,2
Iceland,26,,,,25,1,
Belgium,23,,,,22,1,1
Algeria,17,,,,17,,
San Marino,16,,1,,15,,3
Vietnam,16,,,,0,16,
Denmark,15,,,,15,,
Israel,15,,,,14,1,
Lebanon,15,,,,15,,1
Oman,15,,,,13,2,
Macao,10,,,,1,9,
Croatia,10,,,,10,,
Ecuador,10,,,,10,,1
Greece,9,,,,9,,
Czechia,8,,,,8,,
Qatar,8,,,,8,,
Finland,7,,,,6,1,
Belarus,6,,,,6,,
Ireland,6,,,,6,,
Mexico,6,,,,5,1,
Portugal,6,,,,6,,
Romania,6,,,,5,1,
Pakistan,5,,,,5,,
Senegal,4,,,,4,,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Brazil,3,,,,3,,
Georgia,3,,,,3,,
New Zealand,3,,,,3,,
Russia,3,,,,1,2,
Chile,3,,,,3,,
Egypt,2,,,,1,1,
Estonia,2,,,,2,,
Indonesia,2,,,,2,,
Saudi Arabia,2,,,,2,,
Hungary,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Morocco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Argentina,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
Slovenia,1,,,,1,,
