Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80576,167,3042,30,23605,53929,5737
S. Korea,6593,309,43,1,6415,135,52
Iran,4747,1234,124,16,3710,913,
Italy,4636,778,197,49,3916,523,462
Diamond Princess,696,,6,,478,212,34
Germany,670,125,,,653,17,8
France,613,190,9,2,592,12,23
Japan,420,56,6,,368,46,34
Spain,387,105,5,2,379,3,9
USA,254,33,14,2,225,15,8
Switzerland,214,94,1,,210,3,
UK,163,47,2,1,143,18,
Sweden,136,42,,,135,1,
Singapore,130,13,,,49,81,7
Netherlands,128,46,1,1,127,,1
Norway,120,26,,,119,1,
Belgium,109,59,,,108,1,1
Hong Kong,105,,2,,66,37,6
Malaysia,83,28,,,60,23,
Australia,63,3,2,,39,22,1
Bahrain,60,5,,,56,4,
Kuwait,58,,,,57,1,
Austria,55,12,,,53,2,1
Canada,49,12,,,41,8,1
Thailand,48,1,1,,16,31,1
Taiwan,45,1,1,,29,15,
Greece,45,14,,,45,,
Iceland,43,8,,,43,,
Iraq,40,,3,,36,1,
India,31,1,,,28,3,
UAE,29,1,,,24,5,2
San Marino,23,2,1,,22,,4
Denmark,23,3,,,22,1,
Lebanon,22,6,,,22,,1
Israel,21,4,,,19,2,
Czechia,18,6,,,18,,
Algeria,17,,,,17,,
Vietnam,17,1,,,1,16,
Oman,16,,,,14,2,
Egypt,15,12,,,14,1,
Finland,15,3,,,14,1,
Ecuador,13,,,,13,,1
Ireland,13,,,,13,,
Portugal,13,4,,,13,,
Russia,13,6,,,11,2,
Croatia,11,1,,,11,,
Qatar,11,3,,,11,,
Macao,10,,,,1,9,
Estonia,10,5,,,10,,
Brazil,9,1,,,9,,
Georgia,9,,,,9,,1
Romania,9,3,,,6,3,
Slovenia,8,2,,,8,,
Palestine,7,,,,7,,
Azerbaijan,6,,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,1,,,5,1,
Philippines,5,2,1,,2,2,1
Saudi Arabia,5,,,,4,1,
Chile,5,1,,,5,,
Poland,5,4,,,5,,
Indonesia,4,2,,,4,,
New Zealand,4,,,,4,,
Senegal,4,,,,4,,
Hungary,4,,,,4,,
Bosnia and Herzegovina,3,1,,,3,,
Dominican Republic,2,1,,,2,,
Luxembourg,2,,,,2,,
Morocco,2,,,,2,,1
Argentina,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,1,,,1,,
Cameroon,1,1,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,1
Vatican City,1,1,,,1,,
Liechtenstein,1,,,,1,,
Peru,1,1,,,1,,
Serbia,1,1,,,1,,
Slovakia,1,1,,,1,,
South Africa,1,,,,1,,
Togo,1,1,,,1,,
