Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80860,16,3213,14,67752,9895,3226,56.2
Italy,24747,3590,1809,368,2335,20603,1672,409.3
Iran,13938,1209,724,113,4590,8624,,165.9
S. Korea,8236,150,75,3,1137,7024,59,160.6
Spain,7845,1454,292,96,517,7036,272,167.8
Germany,5813,1214,11,2,46,5756,2,69.4
France,5423,924,127,36,12,5284,400,83.1
USA,3777,834,69,12,73,3635,10,11.4
Switzerland,2217,842,14,1,4,2199,,256.2
UK,1391,251,35,14,20,1336,20,20.5
Norway,1256,147,3,,1,1252,27,231.7
Netherlands,1135,176,20,8,2,1113,45,66.2
Sweden,1040,79,3,1,1,1036,2,103.0
Belgium,886,197,4,,1,881,33,76.4
Denmark,864,28,2,1,1,861,2,149.2
Austria,860,205,1,,6,853,1,95.5
Japan,839,35,24,2,144,671,36,6.6
Diamond Princess,696,,7,,456,233,15,
Malaysia,428,190,,,42,386,9,13.2
Qatar,401,64,,,4,397,,139.2
Canada,341,89,1,,11,329,1,9.0
Greece,331,103,4,1,8,319,5,31.8
Australia,300,52,5,2,27,268,1,11.8
Czechia,293,104,,,,293,2,27.4
Portugal,245,76,,,3,242,9,24.0
Finland,244,19,,,10,234,,44.0
Singapore,226,14,,,105,121,11,38.6
Slovenia,219,38,1,,,218,3,105.3
Bahrain,214,2,,,77,137,2,125.8
Israel,213,20,,,4,209,2,24.6
Brazil,200,49,,,2,198,2,0.9
Iceland,180,19,,,,180,1,
Estonia,171,56,,,1,170,,128.9
Ireland,170,41,2,,1,167,6,34.4
Hong Kong,149,7,4,,81,64,4,19.9
Philippines,140,29,12,4,5,123,1,1.3
Romania,139,16,,,9,130,1,7.2
Egypt,126,16,2,,32,92,,1.2
Poland,125,21,3,,13,109,3,3.3
Iraq,124,14,10,,26,88,,3.1
Saudi Arabia,118,15,,,3,115,,3.4
Indonesia,117,21,5,,8,104,,0.4
India,114,14,2,,13,99,,0.1
Thailand,114,32,1,,35,78,1,1.6
Kuwait,112,8,,,9,103,4,26.2
Lebanon,110,17,3,,1,106,3,16.1
San Marino,109,8,7,2,4,98,11,
UAE,98,13,,,23,75,2,9.9
Luxembourg,77,26,1,,,76,,
Chile,75,14,,,,75,,3.9
Peru,71,28,,,,71,,2.2
Russia,63,4,,,8,55,,0.4
Slovakia,61,17,,,,61,,11.2
South Africa,61,23,,,,61,,1.0
Taiwan,59,6,1,,20,38,,2.5
Argentina,56,11,2,,,54,1,1.2
Vietnam,56,3,,,16,40,,0.6
Panama,55,12,1,,,54,,12.7
Algeria,54,15,4,1,10,40,,1.2
Pakistan,53,20,,,2,51,,0.2
Bulgaria,51,10,2,,,49,,7.3
Brunei,50,10,,,,50,,
Croatia,49,10,,,2,47,,11.9
Serbia,48,2,,,1,47,1,5.5
Mexico,43,17,,,4,39,1,0.3
Albania,42,4,1,,,41,2,14.6
Palestine,38,,,,,38,,7.4
Ecuador,37,9,2,,,35,1,2.1
Costa Rica,35,8,,,,35,3,6.9
Colombia,34,10,,,,34,,0.7
Georgia,33,3,,,1,32,1,8.3
Cyprus,33,7,,,,33,1,27.3
Hungary,32,2,1,1,1,30,,3.3
Latvia,30,4,,,1,29,,15.9
Morocco,28,10,1,,1,26,1,0.8
Armenia,28,8,,,,28,,9.4
Belarus,27,,,,3,24,,2.9
Senegal,24,,,,2,22,,1.4
Bosnia and Herzegovina,24,3,,,,24,,7.3
Azerbaijan,23,4,1,,6,16,,2.3
Moldova,23,11,,,,23,,5.7
Oman,22,2,,,9,13,,4.3
Malta,21,3,,,2,19,,
Tunisia,20,2,,,,20,2,1.7
North Macedonia,19,,,,1,18,,9.1
Sri Lanka,18,8,,,1,17,,0.8
Turkey,18,12,,,,18,,0.2
Venezuela,17,15,,,,17,,0.6
Afghanistan,16,5,,,1,15,,0.4
Lithuania,14,5,,,1,13,,5.1
Maldives,13,3,,,,13,,
Cambodia,12,5,,,1,11,,0.7
Jordan,12,11,,,1,11,,1.2
Macao,11,1,,,10,1,,
Dominican Republic,11,,,,,11,,1.0
Faeroe Islands,11,1,,,,11,,
Bolivia,10,,,,,10,,0.9
Jamaica,10,2,,,2,8,,3.4
Martinique,10,,,,,10,,
Kazakhstan,9,3,,,,9,,0.5
New Zealand,8,,,,,8,,1.7
Paraguay,8,1,,,,8,1,1.1
French Guiana,7,,,,,7,,
Liechtenstein,7,3,,,,7,,
Runion,7,1,,,,7,,
Ghana,6,4,,,,6,,0.2
Uruguay,6,,,,,6,,1.7
Andorra,5,4,,,,5,,
Bangladesh,5,,,,2,3,,
Guadeloupe,5,2,,,,5,,
Puerto Rico,5,1,,,,5,,1.7
Rwanda,5,4,,,,5,,0.4
Guyana,4,3,1,,,3,,
Cameroon,4,1,,,,4,,0.2
Ivory Coast,4,2,,,,4,,0.2
Cuba,4,,,,,4,,0.4
Ethiopia,4,3,,,,4,,
Uzbekistan,4,4,,,,4,,0.1
Ukraine,3,,1,,,2,,0.1
Burkina Faso,3,1,,,,3,,0.1
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Guam,3,3,,,,3,,
Honduras,3,,,,,3,,0.3
Kenya,3,2,,,,3,,0.1
Seychelles,3,1,,,,3,,
Monaco,2,,,,,2,,
