#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,6202974,26452,236922,1418,3332036,10435,2634016,24698,,,,,,North America,,,
,South America,4812506,13876,161520,309,3387839,9629,1263147,14720,,,,,,South America,,,
,Asia,5201796,80930,112556,1363,3950672,72634,1138568,18818,,,,,,Asia,,,
,Europe,3083267,18867,206686,289,1847467,10702,1029114,5179,,,,,,Europe,,,
,Africa,1064708,3610,23725,82,750341,2927,290642,1207,,,,,,Africa,,,
,Oceania,23659,317,357,18,13825,10,9477,56,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,20389631,144052,741781,3479,13282831,106337,6365019,64682,2616,95.2,,,,All,,,
1,USA,5270675,19229,166868,676,2719688,3754,2384119,17589,15913,504,66421668,200537,331219304,North America,63,1985,5
2,Brazil,3068138,10668,102034,177,2163812,,802292,8318,14423,480,13231548,62200,212727180,South America,69,2085,16
3,India,2325026,57873,46185,832,1635812,54172,643029,8944,1683,33,25281848,18300,1381493158,Asia,594,29912,55
4,Russia,897599,4945,15131,130,703175,6494,179293,2300,6150,104,31000000,212414,145941605,Europe,163,9645,5
5,South Africa,563598,,10621,,417200,,135777,539,9490,179,3267494,55018,59389738,Africa,105,5592,18
6,Mexico,485836,5558,53003,705,327993,5528,104840,3683,3764,411,1097077,8499,129080955,North America,266,2435,118
7,Peru,483133,,21276,,329404,,132453,1484,14631,644,2590078,78436,33021340,South America,68,1552,13
8,Colombia,397623,,13154,,221485,,162984,1493,7805,258,1942730,38136,50942186,South America,128,3873,26
9,Chile,376616,1572,10178,39,349541,2199,16897,1268,19683,532,1889616,98755,19134305,South America,51,1880,10
10,Spain,373692,3632,28581,5,N/A,N/A,N/A,617,7992,611,7472031,159806,46756846,Europe,125,1636,6
11,Iran,331189,2345,18800,184,288620,1978,23769,3983,3938,224,2736514,32535,84109372,Asia,254,4474,31
12,UK,312789,1148,46526,,N/A,N/A,N/A,67,4605,685,18868566,277782,67925918,Europe,217,1460,4
13,Saudi Arabia,291468,1521,3233,34,255118,1640,33117,1821,8358,93,3872599,111052,34871848,Asia,120,10786,9
14,Pakistan,285191,531,6112,15,261246,482,17833,780,1288,28,2165811,9785,221342804,Asia,776,36214,102
15,Bangladesh,263503,2996,3471,33,151972,1535,108060,,1598,21,1287988,7812,164869319,Asia,626,47499,128
16,Argentina,253868,,4785,21,181389,6415,67694,1569,5611,106,872643,19289,45241412,South America,178,9455,52
17,Italy,251237,412,35215,6,202461,213,13561,49,4156,583,7316918,121038,60451600,Europe,241,1717,8
18,Turkey,243180,1183,5873,15,226155,1185,11152,617,2880,70,5387751,63807,84438244,Asia,347,14377,16
19,Germany,219229,729,9267,2,198900,1000,11062,236,2616,111,8586648,102449,83814180,Europe,382,9044,10
20,France,204172,1397,30340,,82836,,90996,383,3127,465,5500000,84240,65289880,Europe,320,2152,12
21,Iraq,156995,3396,5531,67,112102,2312,39362,545,3894,137,1183950,29367,40315913,Asia,257,7289,34
22,Philippines,139538,2987,2312,19,68432,280,68794,389,1272,21,1830234,16678,109738661,Asia,786,47465,60
23,Indonesia,128776,1693,5824,59,83710,1474,39242,,470,21,1731634,6324,273839956,Asia,2126,47019,158
24,Canada,120256,124,8988,1,106524,169,4744,2282,3183,238,4505218,119253,37778634,North America,314,4203,8
25,Qatar,113646,384,188,,110324,331,3134,77,40475,67,529289,188506,2807805,Asia,25,14935,5
26,Kazakhstan,100164,722,1269,23,73702,1179,25193,221,5328,67,2183308,116126,18801121,Asia,188,14816,9
27,Egypt,95666,,5035,,53779,,36852,41,933,49,135000,1317,102537651,Africa,1072,20365,760
28,Ecuador,94701,,5932,,78608,,10161,369,5359,336,267795,15154,17671754,South America,187,2979,66
29,Bolivia,91635,1636,3712,72,30823,1015,57100,71,7839,318,194155,16608,11690199,South America,128,3149,60
30,Israel,86147,1425,622,9,60055,1057,25470,375,9366,68,1970047,214192,9197590,Asia,107,14787,5
31,Sweden,83126,,5770,5,N/A,N/A,N/A,35,8225,571,863315,85424,10106283,Europe,122,1752,12
32,Ukraine,83115,1158,1951,29,44934,575,36230,132,1902,45,1179434,26987,43703002,Europe,526,22400,37
33,Oman,82050,263,533,12,76720,596,4797,164,16026,104,309212,60395,5119870,Asia,62,9606,17
34,Dominican Republic,81094,595,1346,18,45666,756,34082,293,7467,124,300134,27637,10859836,North America,134,8068,36
35,Panama,75394,,1664,,49510,,24220,157,17444,385,252381,58394,4322025,North America,57,2597,17
36,Belgium,74620,468,9879,7,17792,12,46949,73,6435,852,1872714,161506,11595289,Europe,155,1174,6
37,Kuwait,73068,668,486,4,64759,731,7823,110,17083,114,539461,126120,4277349,Asia,59,8801,8
38,Belarus,69005,58,592,3,65219,228,3194,,7303,63,1377540,145787,9448967,Europe,137,15961,7
39,Romania,63762,1215,2764,35,30585,274,30413,485,3317,144,1404845,73083,19222629,Europe,301,6955,14
40,UAE,62966,262,358,1,56961,195,5647,,6358,36,5627515,568242,9903385,Asia,157,27663,2
41,Netherlands,59973,779,6159,2,N/A,N/A,N/A,30,3499,359,1195475,69751,17139169,Europe,286,2783,14
42,Guatemala,56987,,2222,,45589,,9176,5,3175,124,181801,10128,17950526,North America,315,8079,99
43,Singapore,55353,61,27,,50128,519,5198,,9453,5,1474372,251796,5855434,Asia,106,216868,4
44,Poland,52961,551,1821,12,37150,273,13990,74,1400,48,2257525,59657,37841850,Europe,715,20781,17
45,Portugal,52945,120,1761,2,38760,160,12424,29,5194,173,1753524,172028,10193270,Europe,193,5788,6
46,Japan,47990,,1047,,33058,,13885,162,380,8,1016197,8038,126431646,Asia,2635,120756,124
47,Honduras,47872,418,1506,11,6649,52,39717,45,4825,152,116246,11717,9921427,North America,207,6588,85
48,Nigeria,46867,,950,,33346,,12571,7,227,5,317496,1536,206662307,Africa,4410,217539,651
49,Bahrain,44397,,165,2,41209,,3023,36,26004,97,912111,534236,1707319,Asia,38,10347,2
50,Ghana,41404,192,215,,39055,328,2134,6,1330,7,416988,13390,31140586,Africa,752,144840,75
