#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,6519528,6345,246690,635,3555301,5719,2717537,24206,,,,,,North America,,,
,South America,5217726,1196,174592,64,3749201,915,1293933,14870,,,,,,South America,,,
,Asia,5577801,298,118661,,4270552,74,1188588,18943,,,,,,Asia,,,
,Europe,3148194,,202927,,1903735,,1041532,5180,,,,,,Europe,,,
,Africa,1112732,,25377,,827988,,259367,1196,,,,,,Africa,,,
,Oceania,25145,13,405,,15349,,9391,51,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,21601847,7852,768667,699,14322777,6708,6510403,64450,2771,98.6,,,,All,,,
1,USA,5529789,,172606,,2900188,,2456995,17186,16694,521,70224673,212002,331245770,North America,60,1919,5
2,Brazil,3317832,,107297,,2404272,,806263,8318,15595,504,13464336,63288,212747790,South America,64,1983,16
3,India,2589208,,50084,,1860672,,678452,8944,1874,36,28563095,20673,1381678359,Asia,534,27587,48
4,Russia,917884,,15617,,729411,,172856,2300,6289,107,32221546,220783,145942457,Europe,159,9345,5
5,South Africa,583653,,11677,,466941,,105035,539,9826,197,3378029,56869,59399953,Africa,102,5087,18
6,Mexico,517714,6345,56543,635,351372,5719,109799,3653,4010,438,1171007,9071,129099449,North America,249,2283,110
7,Peru,516296,,25856,,354232,,136208,1553,15632,783,2705122,81905,33027616,South America,64,1277,12
8,Colombia,456689,,14810,,274420,,167459,1493,8964,291,2143097,42063,50949591,South America,112,3440,24
9,Chile,383902,,10395,,356951,,16556,1207,20061,543,1988709,103922,19136544,South America,50,1841,10
10,Spain,358843,,28617,,N/A,N/A,N/A,617,7675,612,7472031,159805,46757092,Europe,130,1634,6
11,Iran,341070,,19492,,295630,,25948,3911,4054,232,2836252,33715,84124058,Asia,247,4316,30
12,UK,317379,,41361,,N/A,N/A,N/A,73,4672,609,14320621,210812,67930780,Europe,214,1642,5
13,Saudi Arabia,297315,,3369,,264487,,29459,1766,8524,97,4202076,120475,34879260,Asia,117,10353,8
14,Argentina,289100,,5637,,205697,,77766,1716,6389,125,949170,20977,45247072,South America,157,8027,48
15,Pakistan,288047,,6162,,265624,,16261,768,1301,28,2253131,10177,221401496,Asia,769,35930,98
16,Bangladesh,274525,,3625,,157635,,113265,,1665,22,1341648,8137,164891717,Asia,601,45487,123
17,Italy,253438,,35392,,203640,,14406,55,4192,585,7520610,124410,60450390,Europe,239,1708,8
18,Turkey,248117,,5955,,229972,,12190,668,2938,71,5659286,67013,84450635,Asia,340,14181,15
19,Germany,224478,,9290,,202900,,12288,224,2678,111,8586648,102444,83817831,Europe,373,9022,10
20,France,215521,,30409,,83848,,101264,367,3301,466,6000000,91895,65291847,Europe,303,2147,11
21,Iraq,172583,,5785,,122700,,44098,590,4279,143,1263650,31334,40328274,Asia,234,6971,32
22,Philippines,157918,,2600,,72209,,83109,461,1439,24,2003875,18257,109758588,Asia,695,42215,55
23,Indonesia,137468,,6071,,91321,,40076,,502,22,1862801,6802,273879444,Asia,1992,45113,147
24,Canada,121889,,9024,,108218,,4647,2296,3226,239,4741146,125483,37783150,North America,310,4187,8
25,Qatar,114809,,192,,111505,,3112,69,40889,68,546285,194559,2807805,Asia,24,14624,5
26,Kazakhstan,102287,,1269,,80716,,20302,221,5440,67,2252153,119769,18804188,Asia,184,14818,8
27,Ecuador,100688,,6065,,79354,,15269,352,5696,343,284704,16107,17675416,South America,176,2914,62
28,Bolivia,99146,1196,4003,64,35638,915,59505,71,8480,342,212019,18133,11692375,South America,118,2921,55
29,Egypt,96336,,5141,,58835,,32360,41,939,50,135000,1316,102564059,Africa,1065,19950,760
30,Israel,92233,,674,,67950,,23609,387,10028,73,2071380,225209,9197590,Asia,100,13646,4
31,Ukraine,89719,,2044,,47430,,40245,138,2053,47,1273821,29150,43699431,Europe,487,21379,34
32,Dominican Republic,85545,,1438,,51356,,32751,303,7876,132,317643,29245,10861321,North America,127,7553,34
33,Sweden,84294,,5783,,N/A,N/A,N/A,31,8340,572,917036,90731,10107142,Europe,120,1748,11
34,Oman,82924,,562,,77550,,4812,158,16191,110,309212,60374,5121650,Asia,62,9113,17
35,Panama,80665,,1746,,53857,,25062,156,18660,404,268180,62036,4322953,North America,54,2476,16
36,Belgium,77113,,9924,,17941,,49248,80,6650,856,1962386,169230,11595976,Europe,150,1168,6
37,Kuwait,75697,,498,,67519,,7680,115,17694,116,555937,129946,4278212,Asia,57,8591,8
38,Romania,69374,,2954,,32334,,34086,473,3609,154,1502042,78146,19220885,Europe,277,6507,13
39,Belarus,69308,,603,,66452,,2253,,7335,64,1402346,148413,9448925,Europe,136,15670,7
40,UAE,64102,,361,,57571,,6170,,6472,36,5929093,598595,9905017,Asia,155,27438,2
41,Netherlands,62495,,6169,,N/A,N/A,N/A,39,3646,360,1195475,69749,17139685,Europe,274,2778,14
42,Guatemala,62313,,2355,,50183,,9775,5,3470,131,200558,11170,17955060,North America,288,7624,90
43,Poland,56090,,1869,,38853,,15368,84,1482,49,2307735,60985,37841286,Europe,675,20247,16
44,Singapore,55661,,27,,51521,,4113,,9505,5,1610906,275083,5856062,Asia,105,216891,4
45,Portugal,53981,,1775,,39585,,12621,37,5296,174,1799226,176518,10192865,Europe,189,5742,6
46,Japan,53577,,1085,,38945,,13547,229,424,9,1164029,9207,126426380,Asia,2360,116522,109
