#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,6438349,63484,244045,1621,3503391,28849,2690913,24257,,,,,,North America,,,
,South America,5123493,50508,172506,1145,3687707,37305,1263280,14839,,,,,,South America,,,
,Asia,5485452,93240,117092,1457,4195027,79335,1173333,18996,,,,,,Asia,,,
,Europe,3128369,23060,202492,322,1891042,11154,1034835,5181,,,,,,Europe,,,
,Africa,1100736,11959,25132,405,812686,29069,262918,1190,,,,,,Africa,,,
,Oceania,24806,398,401,14,15065,349,9340,49,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,21301926,242649,761683,4964,14105569,186061,6434674,64516,2733,97.7,,,,All,,,
1,USA,5468522,52856,171360,945,2864673,21469,2432489,17216,16509,517,69329967,209307,331235184,North America,61,1933,5
2,Brazil,3275520,45899,106523,959,2384302,27662,784695,8318,15397,501,13464336,63290,212739546,South America,65,1997,16
3,India,2525222,65609,49134,990,1807556,56920,668532,8944,1828,36,27694416,20045,1381604279,Asia,547,28119,50
4,Russia,912823,5065,15498,114,722964,6568,174361,2300,6255,106,31903055,218601,145942116,Europe,160,9417,5
5,South Africa,579140,6275,11556,286,461734,24117,105850,539,9751,195,3351111,56420,59395867,Africa,103,5140,18
6,Peru,507996,,25648,,348006,,134342,1525,15382,777,2677014,81060,33025106,South America,65,1288,12
7,Mexico,505751,7371,55293,627,341507,4872,108951,3675,3918,428,1142045,8847,129092051,North America,255,2335,113
8,Colombia,433805,,14145,,250494,,169166,1493,8515,278,2063332,40500,50946629,South America,117,3602,25
9,Chile,382111,2077,10340,41,355037,1906,16734,1252,19969,540,1960210,102438,19135648,South America,50,1851,10
10,Spain,358843,2987,28617,12,N/A,N/A,N/A,617,7675,612,7472031,159806,46756994,Europe,130,1634,6
11,Iran,338825,2501,19331,169,293811,1753,25683,3956,4028,230,2812488,33435,84118184,Asia,248,4351,30
12,UK,316367,1440,41358,11,N/A,N/A,N/A,80,4657,609,14142736,208199,67928835,Europe,215,1642,5
13,Saudi Arabia,295902,1383,3338,35,262959,2566,29605,1782,8484,96,4071857,116751,34876295,Asia,118,10448,9
14,Pakistan,287300,626,6153,14,265215,1155,15932,774,1298,28,2229409,10071,221378019,Asia,771,35979,99
15,Argentina,276072,,5428,66,199005,6571,71639,1682,6102,120,930097,20557,45244808,South America,164,8335,49
16,Bangladesh,271881,2766,3591,34,156623,1752,111667,,1649,22,1328757,8059,164882758,Asia,606,45916,124
17,Italy,252809,574,35234,3,203326,403,14249,56,4182,583,7467487,123530,60450874,Europe,239,1716,8
18,Turkey,246861,1226,5934,22,228980,923,11947,656,2923,70,5592072,66221,84445678,Asia,342,14231,15
19,Germany,223774,1505,9289,8,200800,,13685,224,2670,111,8586648,102446,83816370,Europe,375,9023,10
20,France,212211,2846,30406,18,83848,376,97957,367,3250,466,6000000,91896,65291060,Europe,308,2147,11
21,Iraq,168290,4013,5709,68,120129,2921,42452,627,4174,142,1245355,30884,40323330,Asia,240,7063,32
22,Philippines,153660,6216,2442,16,71405,1038,79813,461,1400,22,1974976,17995,109750617,Asia,714,44943,56
23,Indonesia,135123,2307,6021,53,89618,2060,39484,,493,22,1835505,6702,273863649,Asia,2027,45485,149
24,Canada,121414,180,9019,4,107793,240,4602,2291,3214,239,4635105,122682,37781344,North America,311,4189,8
25,Qatar,114532,251,190,,111258,301,3084,71,40791,68,542518,193218,2807805,Asia,25,14778,5
26,Kazakhstan,101848,476,1269,,78633,1877,21946,221,5417,67,2252153,119777,18802961,Asia,185,14817,8
27,Ecuador,99409,1066,6030,20,79176,219,14203,343,5625,341,280484,15870,17673951,South America,178,2931,63
28,Bolivia,96459,1388,3884,57,33720,890,58855,71,8250,332,205423,17570,11691504,South America,121,3010,57
29,Egypt,96220,112,5124,17,57858,968,33238,41,938,50,135000,1316,102553496,Africa,1066,20014,760
30,Israel,91080,1258,665,14,66965,2219,23450,375,9903,72,2052630,223170,9197590,Asia,101,13831,4
31,Ukraine,87872,1732,2011,19,46797,581,39064,138,2011,46,1252842,28669,43700859,Europe,497,21731,35
32,Dominican Republic,84488,1354,1409,16,49539,1593,33540,303,7779,130,313291,28846,10860727,North America,129,7708,35
33,Sweden,84294,,5783,7,N/A,N/A,N/A,31,8340,572,917036,90735,10106798,Europe,120,1748,11
34,Oman,82743,212,557,6,77427,149,4759,153,16158,109,309212,60382,5120938,Asia,62,9194,17
35,Panama,78446,,1722,,52210,,24514,158,18148,398,261350,60462,4322582,North America,55,2510,17
36,Belgium,76191,544,9916,16,17913,30,48362,74,6571,855,1924348,165954,11595701,Europe,152,1169,6
37,Kuwait,75185,699,494,5,66740,641,7951,115,17575,115,552581,129172,4277867,Asia,57,8660,8
38,Belarus,69308,105,603,4,66452,274,2253,,7335,64,1402346,148413,9448942,Europe,136,15670,7
39,Romania,68046,1415,2904,44,31920,373,33222,473,3540,151,1478056,76896,19221582,Europe,282,6619,13
40,UAE,63819,330,359,1,57473,101,5987,,6444,36,5851453,590795,9904364,Asia,155,27589,2
41,Netherlands,61840,636,6167,2,N/A,N/A,N/A,38,3608,360,1195475,69750,17139479,Europe,277,2779,14
42,Guatemala,60284,,2296,,48305,,9683,5,3358,128,193147,10758,17953246,North America,298,7819,93
43,Singapore,55580,83,27,,51049,313,4504,,9491,5,1610906,275095,5855811,Asia,105,216882,4
44,Poland,55319,832,1858,14,38362,401,15099,79,1462,49,2307735,60984,37841512,Europe,684,20367,16
45,Portugal,53783,235,1772,2,39374,197,12637,39,5276,174,1799226,176515,10193027,Europe,190,5752,6
46,Japan,51147,,1063,,36134,,13950,203,405,8,1085322,8584,126428486,Asia,2472,118936,116
47,Honduras,49042,385,1542,9,7032,87,40468,37,4942,155,120181,12112,9922719,North America,202,6435,83
48,Nigeria,48116,,966,,34309,,12841,7,233,5,341421,1652,206704312,Africa,4296,213980,605
49,Bahrain,46052,326,168,1,42469,289,3415,40,26966,98,954192,558724,1707806,Asia,37,10166,2
50,Ghana,41847,122,223,,39718,223,1906,6,1344,7,421588,13536,31145913,Africa,744,139668,74
51,Kyrgyzstan,41373,304,1491,4,33592,304,6290,24,6329,228,267718,40957,6536539,Asia,158,4384,24
52,Armenia,41299,276,814,5,34164,267,6321,,13934,275,181962,61392,2963917,Asia,72,3641,16
53,Morocco,39241,1306,611,27,27644,957,10986,31,1062,17,1560527,42220,36961724,Africa,942,60494,24
54,Switzerland,37671,268,1991,,32900,200,2780,26,4349,230,868886,100308,8662161,Europe,230,4351,10
55,Algeria,37664,477,1351,10,26308,304,10005,44,857,31,,,43941243,Africa,1167,32525,
56,Afghanistan,37431,7,1363,,26714,,9354,31,959,35,97791,2506,39026255,Asia,1043,28633,399
57,Azerbaijan,34018,103,504,4,31490,221,2024,,3352,50,820002,80788,10149989,Asia,298,20139,12
58,Uzbekistan,33821,498,220,4,27825,612,5776,410,1009,7,1377915,41101,33525308,Asia,991,152388,24
59,Venezuela,30369,,259,,21385,,8725,81,1068,9,1618708,56945,28425965,South America,936,109753,18
60,Moldova,29483,396,884,6,20556,280,8043,362,7311,219,128076,31759,4032804,Europe,137,4562,31
61,Kenya,29334,580,465,5,15298,198,13571,44,544,9,381317,7074,53903866,Africa,1838,115922,141
62,Serbia,29233,235,665,4,26117,,2451,78,3347,76,789480,90402,8732995,Europe,299,13132,11
63,Ethiopia,27242,1038,492,13,11660,232,15090,195,236,4,567442,4922,115278364,Africa,4232,234306,203
64,Ireland,26995,66,1774,,23364,,1857,8,5460,359,699036,141383,4944255,Europe,183,2787,7
65,Costa Rica,26931,802,281,9,8785,373,17865,99,5281,55,112960,22151,5099619,North America,189,18148,45
66,Nepal,25551,594,99,4,17077,240,8375,,875,3,807015,27641,29196522,Asia,1143,294914,36
67,Austria,22876,282,725,,20499,153,1652,19,2538,80,1003432,111337,9012558,Europe,394,12431,9
68,Australia,22743,385,375,14,13350,349,9018,47,891,15,5179725,202852,25534521,Australia/Oceania,1123,68092,5
69,El Salvador,22314,321,595,11,10455,201,11264,448,3438,92,273509,42142,6490138,North America,291,10908,24
70,Czechia,19574,173,393,2,13731,157,5450,24,1827,37,783459,73143,10711398,Europe,547,27255,14
71,Cameroon,18469,161,401,,15320,,2748,30,694,15,149000,5598,26618864,Africa,1441,66381,179
72,Ivory Coast,16935,46,108,1,13721,199,3106,,640,4,112061,4237,26450480,Africa,1562,244912,236
73,Palestine,15834,343,106,,9382,196,6346,,3096,21,214862,42009,5114614,Asia,323,48251,24
74,Bosnia and Herzegovina,15535,351,469,11,9344,188,5722,,4739,143,159613,48688,3278262,Europe,211,6990,21
75,Denmark,15379,165,621,,13216,85,1542,1,2654,107,1869782,322673,5794668,Europe,377,9331,3
76,S. Korea,14873,103,305,,13863,46,705,14,290,6,1665084,32474,51274573,Asia,3447,168113,31
77,Bulgaria,14243,174,492,8,9114,213,4637,58,2052,71,330785,47651,6941860,Europe,487,14109,21
78,Madagascar,13643,121,164,2,12011,231,1468,89,491,6,50969,1835,27769368,Africa,2035,169325,545
79,North Macedonia,12515,158,535,3,9030,368,2950,6,6007,257,120950,58055,2083364,Europe,166,3894,17
80,Sudan,12162,47,793,1,6325,20,5044,,277,18,401,9,43963169,Africa,3615,55439,109634
81,Senegal,11872,132,249,5,7615,43,4008,55,707,15,127506,7593,16792345,Africa,1414,67439,132
82,Norway,9887,36,261,4,8857,,769,2,1822,48,530446,97755,5426280,Europe,549,20790,10
83,DRC,9605,16,238,4,8512,32,855,,107,3,,,89854494,Africa,9355,377540,
