#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,7043629,5494,262444,682,3992877,4592,2788308,20990,,,,,,North America,,,
,South America,5894935,851,192874,86,4492967,1825,1209094,14994,,,,,,South America,,,
,Asia,6481557,5868,133347,40,5166393,5148,1181817,18927,,,,,,Asia,,,
,Europe,3407688,355,205970,,2004080,449,1197638,5557,,,,,,Europe,,,
,Africa,1207623,,28334,,934192,,245097,1258,,,,,,Africa,,,
,Oceania,27741,156,576,24,22065,286,5100,58,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,24063894,12724,823560,832,16613225,12300,6627109,61788,3087,105.7,,,,All,,,
1,USA,5955728,,182404,,3254282,,2519042,16468,17977,551,77931407,235230,331298704,North America,56,1816,4
2,Brazil,3674176,,116666,,2848395,,709115,8318,17267,548,14172764,66605,212789010,South America,58,1824,15
3,India,3235725,3971,59632,20,2468688,1436,707405,8944,2341,43,37651512,27243,1382048762,Asia,427,23176,37
4,Russia,966189,,16568,,779747,,169874,2300,6620,114,34800000,238447,145944161,Europe,151,8809,4
5,South Africa,613017,,13308,,520381,,79328,539,10317,224,3578836,60229,59420382,Africa,97,4465,17
6,Peru,607382,,28001,,414577,,164804,1522,18383,847,3032744,91790,33040169,South America,54,1180,11
7,Mexico,568621,4916,61450,650,393101,3977,114070,3442,4403,476,1278436,9900,129136438,North America,227,2101,101
8,Colombia,562128,,17889,,395470,,148769,1493,11030,351,2546147,49959,50964400,South America,91,2849,20
9,Spain,423224,,28924,,N/A,N/A,N/A,677,9051,619,8517446,182162,46757585,Europe,110,1617,5
10,Chile,400985,,10958,,374463,,15564,1011,20949,572,2255966,117860,19141022,South America,48,1747,8
11,Iran,363363,,20901,,313058,,29404,3839,4318,248,3883313,46146,84153431,Asia,232,4026,22
12,Argentina,359638,,7563,,263202,,88873,1990,7946,167,1127098,24904,45258393,South America,126,5984,40
13,UK,327798,,41449,,N/A,N/A,N/A,72,4825,610,15177265,223391,67940503,Europe,207,1639,4
14,Saudi Arabia,309768,,3722,,283932,,22114,1639,8877,107,4792192,137335,34894083,Asia,113,9375,7
15,Bangladesh,299628,,4028,,186756,,108844,,1817,24,1470191,8914,164936512,Asia,550,40947,112
16,Pakistan,294193,482,6267,12,278939,514,8987,669,1328,28,2487744,11230,221518879,Asia,753,35347,89
17,Turkey,261194,,6163,,238795,,16236,811,3092,73,6521640,77202,84475417,Asia,323,13707,13
18,Italy,261174,,35445,,206015,,19714,66,4321,586,8125892,134428,60447970,Europe,231,1705,7
19,France,248158,,30544,,85524,,132090,410,3801,468,6000000,91890,65295782,Europe,263,2138,11
20,Germany,237572,,9345,,209600,,18627,245,2834,111,10197366,121650,83825131,Europe,353,8970,8
21,Iraq,211947,,6596,,153761,,51590,574,5252,163,1482187,36731,40352994,Asia,190,6118,27
22,Philippines,197164,,3038,,132396,,61730,717,1796,28,2378069,21658,109798441,Asia,557,36142,46
23,Indonesia,157859,,6858,,112867,,38134,,576,25,2056166,7505,273958422,Asia,1735,39947,133
24,Canada,125969,,9090,,112050,,4829,44,3333,241,5205086,137729,37792182,North America,300,4158,7
25,Qatar,117498,,194,,114318,,2986,68,41847,69,599447,213493,2807805,Asia,24,14473,5
26,Bolivia,110999,851,4664,86,48875,1825,57460,71,9490,399,236863,20250,11696726,South America,105,2508,49
27,Ecuador,109030,,6368,,95025,,7637,386,6166,360,311310,17605,17682740,South America,162,2777,57
28,Ukraine,108415,,2318,,52870,,53227,177,2481,53,1436206,32871,43692290,Europe,403,18849,30
29,Israel,107078,618,859,,85883,2061,20336,426,11642,93,2180096,237029,9197590,Asia,86,10707,4
30,Kazakhstan,105075,173,1523,,93990,585,9562,221,5586,81,2291327,121812,18810323,Asia,179,12351,8
31,Egypt,97619,,5298,,67717,,24604,41,951,52,135000,1316,102616874,Africa,1051,19369,760
32,Dominican Republic,92217,,1585,,62460,,28172,242,8488,146,350033,32219,10864291,North America,118,6854,31
