State,Confirmed,Deaths
Baden-Wrttemberg,34718,0
Bayern,46917,0
Berlin,6800,0
Brandenburg,3271,0
Bremen,1398,0
Hamburg,5087,0
Hessen,10033,0
"Meck-lenburg-
Vorpommern",761,0
Nieder-sachsen,11992,0
Nordrhein-Westfalen,38000,0
Rheinland-Pfalz,6694,0
Saarland,2724,0
Sachsen,5304,0
Sachsen-Anhalt,1705,0
Schleswig-Holstein,3094,0
Thringen,2984,0
